GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",PHX @ SAC,L,28,20,2,5,0,0,3
"Apr 11, 2025",PHX vs. SAS,W,29,15,6,6,1,0,1
"Apr 09, 2025",PHX vs. OKC,L,23,4,4,1,2,0,4
"Apr 08, 2025",PHX vs. GSW,L,18,12,1,1,1,0,1
"Apr 06, 2025",PHX @ NYK,L,22,15,6,1,0,0,2
"Apr 04, 2025",PHX @ BOS,L,17,8,1,1,0,0,1
"Apr 01, 2025",PHX @ MIL,L,34,23,4,3,1,0,2
"Mar 30, 2025",PHX vs. HOU,L,18,7,0,2,1,0,1
"Mar 28, 2025",PHX @ MIN,L,12,3,2,0,0,0,1
"Mar 26, 2025",PHX vs. BOS,L,14,2,1,1,1,0,1
"Mar 24, 2025",PHX vs. MIL,W,12,3,2,0,0,0,1
"Mar 10, 2025",PHX @ MEM,L,25,9,1,3,1,0,1
"Mar 09, 2025",PHX @ DAL,W,23,17,1,4,0,2,1
"Mar 07, 2025",PHX @ DEN,L,29,11,0,4,0,0,2
"Mar 04, 2025",PHX vs. LAC,W,24,8,3,2,2,0,0
"Mar 02, 2025",PHX vs. MIN,L,15,5,2,1,0,2,1
"Feb 27, 2025",PHX vs. NOP,L,16,0,1,2,1,0,1
"Feb 25, 2025",PHX @ MEM,L,30,21,3,3,0,1,2
"Feb 23, 2025",PHX @ TOR,L,23,9,4,1,0,0,2
"Feb 22, 2025",PHX @ CHI,W,24,3,3,4,0,0,1
"Feb 20, 2025",PHX @ SAS,L,33,11,2,3,1,1,2
"Feb 11, 2025",PHX vs. MEM,L,20,9,0,3,2,0,1
"Feb 07, 2025",PHX vs. UTA,W,36,21,7,6,2,1,0
"Feb 05, 2025",PHX @ OKC,L,30,9,2,3,0,0,2
"Feb 03, 2025",PHX @ POR,L,34,11,3,2,2,1,0
"Feb 01, 2025",PHX @ POR,L,23,3,4,2,2,0,2
"Jan 31, 2025",PHX @ GSW,W,23,11,6,7,1,0,0
"Jan 29, 2025",PHX vs. MIN,L,29,11,7,1,1,1,2
"Jan 27, 2025",PHX vs. LAC,W,28,18,6,0,1,1,0
"Jan 25, 2025",PHX vs. WAS,W,25,8,4,1,0,0,1
"Jan 22, 2025",PHX @ BKN,W,24,8,2,4,0,0,0
"Jan 20, 2025",PHX @ CLE,L,27,10,3,2,1,0,1
"Jan 18, 2025",PHX @ DET,W,29,7,3,3,0,0,2
"Jan 16, 2025",PHX @ WAS,W,28,21,5,0,3,0,2
"Jan 14, 2025",PHX @ ATL,L,27,9,4,2,1,0,1
"Jan 12, 2025",PHX vs. CHA,W,13,13,1,0,2,0,0
"Jan 11, 2025",PHX vs. UTA,W,30,14,4,4,2,0,1
"Jan 09, 2025",PHX vs. ATL,W,27,23,2,1,0,0,2
"Jan 07, 2025",PHX @ CHA,L,25,9,3,0,1,1,1
"Jan 06, 2025",PHX @ PHI,W,14,6,1,0,1,0,1
"Jan 04, 2025",PHX @ IND,L,31,13,4,6,0,1,1
"Dec 21, 2024",PHX vs. DET,L,20,2,3,2,1,0,1
"Dec 19, 2024",PHX vs. IND,L,29,8,10,0,2,1,0
"Dec 15, 2024",PHX vs. POR,W,24,12,2,1,1,0,0
"Dec 13, 2024",PHX @ UTA,W,25,8,4,2,2,0,0
"Dec 08, 2024",PHX @ ORL,L,22,13,4,2,1,0,3
"Dec 07, 2024",PHX @ MIA,L,30,16,2,4,2,0,1
"Dec 05, 2024",PHX @ NOP,L,30,13,6,10,0,1,1
"Dec 03, 2024",PHX vs. SAS,W,24,8,3,3,1,0,0
"Nov 30, 2024",PHX vs. GSW,W,32,17,4,3,1,0,1
"Nov 27, 2024",PHX vs. BKN,L,30,9,5,1,2,1,1
"Nov 26, 2024",PHX vs. LAL,W,23,10,2,2,0,0,0
"Nov 20, 2024",PHX vs. NYK,L,21,8,1,1,0,0,2
"Nov 18, 2024",PHX vs. ORL,L,29,17,4,1,0,0,4
"Nov 17, 2024",PHX @ MIN,L,24,18,5,1,0,0,2
"Nov 12, 2024",PHX @ UTA,W,26,15,1,0,0,0,1
"Nov 10, 2024",PHX vs. SAC,L,27,9,1,3,0,0,2
"Nov 08, 2024",PHX @ DAL,W,19,0,3,0,2,0,1
"Nov 06, 2024",PHX vs. MIA,W,22,12,2,0,0,0,1
"Nov 04, 2024",PHX vs. PHI,W,24,14,2,0,0,0,0
"Nov 02, 2024",PHX vs. POR,W,19,18,2,0,0,3,2
"Oct 31, 2024",PHX @ LAC,W,19,2,5,3,4,0,0
"Oct 28, 2024",PHX vs. LAL,W,12,3,2,0,0,0,0
"Oct 23, 2024",PHX @ LAC,W,21,8,1,3,1,1,1
