GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 29, 2025",SAC @ ORL,L,2,0,0,0,0,0,0
"Mar 27, 2025",SAC vs. POR,W,2,0,0,0,0,1,0
"Mar 25, 2025",SAC vs. OKC,L,2,0,0,1,0,0,0
"Mar 24, 2025",SAC vs. BOS,L,3,0,0,0,0,0,0
"Mar 17, 2025",SAC vs. MEM,W,0,1,0,0,0,0,0
"Mar 14, 2025",SAC @ PHX,L,1,0,0,0,0,0,0
"Mar 13, 2025",SAC @ GSW,L,3,0,0,0,0,0,0
"Mar 10, 2025",SAC vs. NYK,L,6,5,1,0,0,0,1
"Mar 07, 2025",SAC vs. SAS,W,2,0,0,0,0,0,0
"Feb 24, 2025",SAC vs. CHA,W,7,2,2,0,1,1,0
"Feb 21, 2025",SAC vs. GSW,L,4,2,1,0,0,0,0
"Feb 05, 2025",SAC vs. ORL,L,5,1,1,0,0,0,0
"Jan 19, 2025",SAC vs. WAS,W,3,2,2,0,0,0,0
"Dec 30, 2024",SAC vs. DAL,W,1,0,0,0,0,0,0
"Dec 08, 2024",SAC vs. UTA,W,5,0,1,0,0,0,0
