GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 12, 2025",CHA @ ORL,L,16,7,0,1,0,0,1
"Feb 09, 2025",CHA @ DET,L,24,17,2,1,1,0,2
"Feb 05, 2025",CHA vs. MIL,L,16,6,0,2,1,0,0
"Feb 03, 2025",CHA vs. WAS,L,5,3,0,1,0,0,2
"Feb 01, 2025",CHA vs. DEN,L,11,0,3,3,0,0,0
"Jan 29, 2025",CHA vs. BKN,L,19,8,2,0,1,0,1
"Jan 27, 2025",CHA vs. LAL,L,6,5,0,1,1,0,0
"Jan 25, 2025",CHA vs. NOP,W,3,3,1,0,1,0,0
"Jan 24, 2025",CHA vs. POR,L,16,4,1,0,0,0,1
"Jan 22, 2025",CHA @ MEM,L,6,6,1,1,0,0,1
"Dec 30, 2024",CHA vs. CHI,L,17,2,3,1,1,0,1
"Dec 28, 2024",CHA vs. OKC,L,19,10,0,1,1,0,1
"Dec 26, 2024",CHA @ WAS,L,5,0,0,0,0,0,0
"Dec 23, 2024",CHA vs. HOU,L,8,2,2,2,1,0,0
"Dec 20, 2024",CHA @ PHI,L,16,11,1,4,0,0,2
"Dec 19, 2024",CHA @ WAS,L,13,2,3,2,0,0,1
"Dec 16, 2024",CHA vs. PHI,L,14,7,2,0,0,0,1
"Dec 13, 2024",CHA @ CHI,L,22,9,6,4,1,0,1
"Dec 08, 2024",CHA @ IND,W,18,9,3,4,1,0,2
"Dec 07, 2024",CHA vs. CLE,L,11,9,2,0,1,0,1
