GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",LAC @ GSW,W,42,22,17,3,1,1,0
"Apr 11, 2025",LAC @ SAC,W,36,17,11,0,0,0,1
"Apr 09, 2025",LAC vs. HOU,W,35,20,11,10,1,0,2
"Apr 08, 2025",LAC vs. SAS,W,39,24,20,5,1,0,2
"Apr 05, 2025",LAC vs. DAL,W,28,25,10,2,0,1,0
"Apr 04, 2025",LAC vs. DAL,W,27,14,13,2,1,1,2
"Apr 02, 2025",LAC vs. NOP,W,33,17,10,6,0,0,1
"Mar 31, 2025",LAC @ ORL,W,38,18,20,5,0,0,1
"Mar 30, 2025",LAC @ CLE,L,37,14,13,2,0,2,1
"Mar 28, 2025",LAC @ BKN,W,25,21,12,1,0,1,1
"Mar 26, 2025",LAC @ NYK,W,31,18,10,2,2,2,2
"Mar 23, 2025",LAC vs. OKC,L,33,15,11,3,0,2,1
"Mar 21, 2025",LAC vs. MEM,W,34,17,10,1,0,2,2
"Mar 18, 2025",LAC vs. CLE,W,35,28,20,1,0,1,1
"Mar 16, 2025",LAC vs. CHA,W,28,17,14,8,1,2,5
"Mar 14, 2025",LAC @ ATL,W,30,18,6,2,0,0,2
"Mar 12, 2025",LAC @ MIA,W,38,26,14,1,0,0,2
"Mar 11, 2025",LAC @ NOP,L,38,19,11,5,0,4,1
"Mar 09, 2025",LAC vs. SAC,W,44,22,14,2,1,1,0
"Mar 07, 2025",LAC vs. NYK,W,39,16,14,3,0,1,1
"Mar 05, 2025",LAC vs. DET,W,34,22,11,3,0,0,0
"Mar 04, 2025",LAC @ PHX,L,37,35,10,3,1,1,0
"Mar 02, 2025",LAC @ LAL,L,34,12,10,3,1,0,2
"Feb 28, 2025",LAC @ LAL,L,38,27,16,0,0,1,3
"Feb 26, 2025",LAC @ CHI,W,30,10,10,3,0,2,1
"Feb 24, 2025",LAC @ DET,L,37,13,15,5,1,3,3
"Feb 23, 2025",LAC @ IND,L,30,22,6,2,0,0,0
"Feb 20, 2025",LAC @ MIL,L,37,20,15,1,1,4,2
"Feb 13, 2025",LAC @ UTA,W,25,10,8,0,2,1,1
"Feb 12, 2025",LAC vs. MEM,W,32,12,13,3,3,1,2
"Feb 08, 2025",LAC vs. UTA,W,33,26,15,5,2,1,1
"Feb 06, 2025",LAC vs. IND,L,35,18,15,2,1,0,2
"Feb 04, 2025",LAC vs. LAL,L,28,8,10,3,1,0,2
"Feb 02, 2025",LAC @ TOR,L,40,18,8,1,1,3,0
"Jan 31, 2025",LAC @ CHA,W,32,14,11,1,1,0,1
"Jan 29, 2025",LAC @ SAS,W,34,21,22,3,1,0,1
"Jan 27, 2025",LAC @ PHX,L,34,25,16,4,1,1,3
"Jan 25, 2025",LAC vs. MIL,W,28,12,10,1,2,0,1
"Jan 23, 2025",LAC vs. WAS,W,29,11,9,2,0,0,1
"Jan 19, 2025",LAC vs. LAL,W,35,21,19,3,1,3,2
"Jan 16, 2025",LAC @ POR,W,28,10,8,3,2,2,1
"Jan 15, 2025",LAC vs. BKN,W,22,11,9,4,1,1,2
"Jan 13, 2025",LAC vs. MIA,W,32,21,20,1,0,2,1
"Jan 08, 2025",LAC @ DEN,L,29,10,8,3,0,1,2
"Jan 06, 2025",LAC @ MIN,L,35,17,16,2,1,6,2
"Jan 04, 2025",LAC vs. ATL,W,32,18,18,4,0,1,1
"Jan 02, 2025",LAC @ OKC,L,23,11,9,2,0,0,2
"Dec 31, 2024",LAC @ SAS,L,22,5,7,2,0,0,1
"Dec 30, 2024",LAC @ NOP,W,36,20,16,4,1,0,0
"Dec 27, 2024",LAC vs. GSW,W,36,17,11,2,0,5,2
"Dec 23, 2024",LAC @ MEM,W,40,20,19,1,4,1,1
"Dec 21, 2024",LAC @ DAL,L,34,13,15,3,1,1,2
"Dec 19, 2024",LAC @ DAL,W,33,21,15,5,2,0,1
"Dec 16, 2024",LAC vs. UTA,W,26,19,12,4,1,2,1
"Dec 13, 2024",LAC @ DEN,L,32,13,13,4,1,0,2
"Dec 08, 2024",LAC vs. HOU,L,37,21,12,1,0,2,0
"Dec 04, 2024",LAC vs. MIN,L,26,4,10,1,0,0,1
"Dec 03, 2024",LAC vs. POR,W,28,8,10,2,0,2,1
"Dec 01, 2024",LAC vs. DEN,W,35,6,8,5,0,0,3
"Nov 29, 2024",LAC @ MIN,L,34,16,13,1,1,0,1
"Nov 27, 2024",LAC @ WAS,W,24,18,16,1,0,1,1
"Nov 25, 2024",LAC @ BOS,L,29,23,10,1,0,1,1
"Nov 24, 2024",LAC @ PHI,W,25,16,12,4,0,1,2
"Nov 22, 2024",LAC vs. SAC,W,31,10,15,4,0,1,4
"Nov 20, 2024",LAC vs. ORL,W,31,17,12,3,1,0,4
"Nov 18, 2024",LAC vs. GSW,W,36,8,17,4,2,1,1
"Nov 17, 2024",LAC vs. UTA,W,33,22,11,2,0,2,5
"Nov 15, 2024",LAC @ HOU,L,30,6,11,0,0,1,2
"Nov 13, 2024",LAC @ HOU,L,27,8,6,1,1,1,0
"Nov 11, 2024",LAC @ OKC,L,34,22,14,0,0,3,4
"Nov 09, 2024",LAC vs. TOR,W,38,14,12,1,2,3,1
"Nov 08, 2024",LAC @ SAC,W,37,13,15,5,0,2,1
"Nov 06, 2024",LAC vs. PHI,W,33,15,9,3,1,0,1
"Nov 04, 2024",LAC vs. SAS,W,37,17,13,4,0,0,4
"Nov 02, 2024",LAC vs. OKC,L,28,9,12,0,1,1,1
"Oct 31, 2024",LAC vs. PHX,L,36,22,12,1,1,0,2
"Oct 30, 2024",LAC vs. POR,L,31,6,12,1,1,2,0
"Oct 27, 2024",LAC @ GSW,W,38,23,18,6,2,1,4
"Oct 26, 2024",LAC @ DEN,W,39,24,15,4,0,1,3
"Oct 23, 2024",LAC vs. PHX,L,34,21,9,3,0,0,3
