GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 11, 2025",WAS @ CHI,L,24,3,4,0,1,0,1
"Apr 09, 2025",WAS vs. PHI,L,4,0,2,0,0,0,0
"Apr 08, 2025",WAS @ IND,L,25,7,6,0,0,3,0
"Apr 06, 2025",WAS @ BOS,L,22,3,2,0,0,0,0
"Apr 02, 2025",WAS vs. SAC,W,26,3,7,1,1,0,2
"Mar 29, 2025",WAS vs. BKN,L,23,5,6,0,1,0,0
"Mar 26, 2025",WAS @ PHI,W,20,4,4,1,0,1,0
"Mar 24, 2025",WAS vs. TOR,L,16,5,3,0,0,1,0
"Mar 21, 2025",WAS vs. ORL,L,7,2,0,0,0,1,0
"Mar 19, 2025",WAS @ UTA,L,30,8,3,3,3,0,0
"Mar 10, 2025",WAS @ TOR,L,8,3,5,0,0,0,0
"Jan 30, 2025",CLE vs. ATL,W,4,0,0,0,0,0,0
"Jan 20, 2025",CLE vs. PHX,W,6,0,0,1,0,0,2
"Jan 05, 2025",CLE vs. CHA,W,3,0,0,0,0,0,1
"Jan 03, 2025",CLE @ DAL,W,4,3,2,0,0,0,1
"Dec 30, 2024",CLE @ GSW,W,4,2,1,0,0,0,0
"Dec 16, 2024",CLE @ BKN,W,5,4,1,0,0,1,0
"Dec 08, 2024",CLE @ MIA,L,2,5,0,0,0,0,0
"Nov 20, 2024",CLE vs. NOP,W,13,12,2,0,2,1,2
"Nov 17, 2024",CLE vs. CHA,W,2,2,0,0,0,1,0
