GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 06, 2025",TOR @ BKN,W,18,8,5,2,2,1,2
"Apr 04, 2025",TOR vs. DET,L,32,22,3,1,3,0,2
"Apr 03, 2025",TOR vs. POR,L,30,9,7,3,1,0,1
"Apr 01, 2025",TOR @ CHI,L,27,17,4,4,1,0,2
"Mar 30, 2025",TOR @ PHI,W,34,17,8,4,3,1,1
"Mar 28, 2025",TOR vs. CHA,W,30,11,2,1,2,0,1
"Mar 26, 2025",TOR @ BKN,W,30,11,2,6,0,0,0
"Mar 23, 2025",TOR vs. SAS,L,25,10,3,4,0,0,1
"Mar 07, 2025",TOR vs. UTA,W,18,14,5,2,1,0,0
"Mar 04, 2025",TOR @ ORL,W,28,17,3,0,1,1,4
"Mar 02, 2025",TOR @ ORL,W,31,7,4,1,1,0,2
"Feb 28, 2025",TOR @ CHI,L,22,7,4,1,0,0,1
"Feb 26, 2025",TOR @ IND,L,23,3,8,1,1,0,2
"Feb 25, 2025",TOR vs. BOS,L,16,6,3,0,1,0,0
"Feb 23, 2025",TOR vs. PHX,W,18,6,4,0,1,0,0
"Feb 21, 2025",TOR vs. MIA,L,17,8,4,0,0,0,1
"Feb 12, 2025",TOR vs. CLE,L,22,6,4,2,1,0,2
"Feb 11, 2025",TOR @ PHI,W,20,5,5,1,1,0,1
"Feb 09, 2025",TOR @ HOU,L,25,10,3,0,1,0,1
"Feb 07, 2025",TOR @ OKC,L,23,12,2,1,1,1,1
"Feb 05, 2025",TOR vs. MEM,L,28,14,3,3,2,0,1
"Feb 04, 2025",TOR vs. NYK,L,29,13,1,0,2,0,2
"Feb 02, 2025",TOR vs. LAC,W,21,10,4,2,1,0,1
"Jan 31, 2025",TOR vs. CHI,L,18,14,4,2,1,0,0
"Jan 29, 2025",TOR @ WAS,W,22,4,0,2,1,0,0
"Jan 25, 2025",TOR @ ATL,W,16,7,3,3,2,0,0
"Jan 23, 2025",TOR @ ATL,W,7,0,1,0,0,0,0
"Jan 21, 2025",TOR vs. ORL,W,18,3,3,1,0,0,0
"Jan 11, 2025",TOR @ DET,L,4,0,0,0,0,0,0
"Jan 09, 2025",TOR @ CLE,L,15,4,0,1,0,0,0
"Jan 08, 2025",TOR @ NYK,L,22,0,1,1,2,0,0
"Jan 06, 2025",TOR vs. MIL,L,11,8,2,1,0,0,3
"Jan 03, 2025",TOR vs. ORL,L,18,5,2,0,0,0,0
"Jan 01, 2025",TOR vs. BKN,W,18,11,3,3,0,0,0
"Dec 31, 2024",TOR @ BOS,L,22,3,2,2,0,1,1
"Dec 29, 2024",TOR vs. ATL,L,16,5,0,1,1,0,2
"Dec 23, 2024",TOR @ NYK,L,25,16,1,0,0,2,1
"Dec 22, 2024",TOR vs. HOU,L,28,27,2,3,0,0,1
"Dec 19, 2024",TOR vs. BKN,L,24,7,4,2,0,0,0
"Dec 16, 2024",TOR vs. CHI,L,24,6,3,2,2,0,1
"Dec 12, 2024",TOR @ MIA,L,26,9,2,1,1,1,1
"Dec 09, 2024",TOR vs. NYK,L,22,19,1,2,0,0,2
"Dec 07, 2024",TOR vs. DAL,L,21,8,0,3,2,0,1
"Dec 05, 2024",TOR vs. OKC,L,23,6,6,2,0,0,3
"Dec 03, 2024",TOR vs. IND,W,17,2,1,0,1,0,1
"Dec 01, 2024",TOR vs. MIA,W,17,12,3,0,0,0,0
"Nov 29, 2024",TOR @ MIA,L,26,6,3,2,1,1,1
"Nov 27, 2024",TOR @ NOP,W,28,14,11,5,2,0,3
"Nov 06, 2024",TOR @ SAC,L,8,2,1,0,0,0,0
"Nov 04, 2024",TOR @ DEN,L,9,3,2,1,0,0,0
"Nov 02, 2024",TOR vs. SAC,W,10,0,2,1,0,0,0
"Nov 01, 2024",TOR vs. LAL,L,22,5,6,1,0,1,0
