GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",ATL vs. ORL,W,27,17,4,2,0,0,1
"Feb 01, 2025",NYK vs. LAL,L,2,0,1,0,0,0,0
"Jan 27, 2025",NYK vs. MEM,W,4,0,1,0,0,0,0
"Jan 25, 2025",NYK vs. SAC,W,3,0,0,0,1,0,0
"Jan 12, 2025",NYK vs. MIL,W,5,2,1,0,1,0,1
"Jan 10, 2025",NYK vs. OKC,L,6,2,3,0,0,0,0
"Jan 08, 2025",NYK vs. TOR,W,2,0,1,0,0,0,0
"Jan 04, 2025",NYK @ CHI,L,2,0,0,0,0,0,0
"Dec 30, 2024",NYK @ WAS,W,2,0,1,2,0,0,0
"Dec 23, 2024",NYK vs. TOR,W,1,0,0,0,0,0,0
"Dec 05, 2024",NYK vs. CHA,W,2,0,0,0,0,0,0
"Dec 01, 2024",NYK vs. NOP,W,5,0,1,0,0,0,1
"Nov 20, 2024",NYK @ PHX,W,2,0,0,0,0,0,0
"Nov 18, 2024",NYK vs. WAS,W,3,0,1,1,0,0,0
"Nov 01, 2024",NYK @ DET,W,5,2,1,1,0,0,0
"Oct 25, 2024",NYK vs. IND,W,2,0,0,0,0,0,0
"Oct 22, 2024",NYK @ BOS,L,3,0,0,0,0,0,0
