GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",DET @ MIL,L,8,4,1,2,0,0,1
"Apr 11, 2025",DET vs. MIL,L,39,11,16,5,0,1,2
"Apr 10, 2025",DET vs. NYK,W,26,18,13,2,1,1,3
"Apr 07, 2025",DET vs. SAC,L,20,6,9,6,1,1,0
"Apr 04, 2025",DET @ TOR,W,36,21,18,6,1,4,0
"Apr 02, 2025",DET @ OKC,L,34,13,13,3,1,2,6
"Mar 30, 2025",DET @ MIN,L,26,13,11,3,1,0,2
"Mar 28, 2025",DET vs. CLE,W,27,16,13,0,1,1,0
"Mar 25, 2025",DET vs. SAS,W,24,14,4,7,0,0,1
"Mar 23, 2025",DET vs. NOP,W,29,22,12,2,0,0,3
"Mar 21, 2025",DET @ DAL,L,27,14,9,3,0,2,1
"Mar 19, 2025",DET @ MIA,W,28,15,11,1,0,0,0
"Mar 17, 2025",DET @ NOP,W,22,9,7,6,0,2,0
"Mar 15, 2025",DET vs. OKC,L,29,8,5,2,0,0,3
"Mar 13, 2025",DET vs. WAS,L,30,18,14,0,0,1,0
"Mar 11, 2025",DET vs. WAS,W,25,15,13,0,0,2,1
"Mar 09, 2025",DET @ POR,W,29,18,12,2,2,0,1
"Mar 08, 2025",DET @ GSW,L,29,13,13,2,1,0,1
"Mar 05, 2025",DET @ LAC,L,26,7,3,4,1,0,2
"Mar 03, 2025",DET @ UTA,W,30,16,12,2,2,4,3
"Mar 01, 2025",DET vs. BKN,W,30,18,11,2,2,6,3
"Feb 28, 2025",DET vs. DEN,L,16,8,8,2,1,0,1
"Feb 26, 2025",DET vs. BOS,W,26,13,11,2,1,0,1
"Feb 24, 2025",DET vs. LAC,W,31,12,19,2,1,1,2
"Feb 23, 2025",DET @ ATL,W,23,13,5,6,1,0,1
"Feb 21, 2025",DET @ SAS,W,27,21,15,5,1,1,1
"Feb 12, 2025",DET @ CHI,W,30,16,14,5,2,2,2
"Feb 11, 2025",DET @ CHI,W,23,4,11,5,0,1,0
"Feb 09, 2025",DET vs. CHA,W,31,16,12,6,1,0,1
"Feb 07, 2025",DET vs. PHI,W,20,13,13,7,1,0,4
"Feb 05, 2025",DET vs. CLE,L,22,8,10,0,1,1,1
"Feb 03, 2025",DET vs. ATL,L,29,18,9,1,0,2,2
"Feb 02, 2025",DET vs. CHI,W,30,21,13,4,1,0,1
"Jan 31, 2025",DET vs. DAL,W,30,16,13,5,2,0,1
"Jan 29, 2025",DET @ IND,L,31,14,10,3,0,1,2
"Jan 27, 2025",DET @ CLE,L,29,12,16,1,1,3,3
"Jan 25, 2025",DET @ ORL,L,32,10,8,1,1,1,3
"Jan 22, 2025",DET @ ATL,W,26,14,12,2,0,2,4
"Jan 20, 2025",DET @ HOU,W,30,16,14,3,4,2,3
"Jan 18, 2025",DET vs. PHX,L,25,15,10,2,0,0,1
"Jan 16, 2025",DET vs. IND,L,27,17,17,0,0,2,1
"Jan 13, 2025",DET @ NYK,W,20,10,8,3,0,0,1
"Jan 11, 2025",DET vs. TOR,W,28,10,9,2,0,1,1
"Jan 09, 2025",DET vs. GSW,L,31,8,12,3,1,3,2
"Jan 08, 2025",DET @ BKN,W,22,8,9,3,2,2,1
"Jan 06, 2025",DET vs. POR,W,27,14,12,4,0,0,3
"Jan 04, 2025",DET vs. MIN,W,23,5,7,3,2,1,0
"Jan 03, 2025",DET vs. CHA,W,25,10,14,1,0,3,2
"Jan 01, 2025",DET vs. ORL,W,27,18,11,1,1,0,1
"Dec 28, 2024",DET @ DEN,L,20,12,7,2,0,0,1
"Dec 26, 2024",DET @ SAC,W,32,13,10,3,2,2,1
"Dec 23, 2024",DET @ LAL,W,27,6,9,2,1,1,2
"Dec 21, 2024",DET @ PHX,W,34,17,11,2,0,0,2
"Dec 19, 2024",DET vs. UTA,L,26,8,7,2,2,0,1
"Dec 16, 2024",DET vs. MIA,W,32,9,16,2,1,1,5
"Dec 07, 2024",DET @ NYK,W,25,12,3,0,2,0,1
"Dec 04, 2024",DET @ BOS,L,25,5,5,2,1,0,4
"Dec 03, 2024",DET vs. MIL,L,20,11,6,2,1,3,3
"Nov 30, 2024",DET vs. PHI,L,13,4,0,2,0,0,4
"Nov 29, 2024",DET @ IND,W,26,14,12,2,0,4,1
"Nov 27, 2024",DET @ MEM,L,21,6,7,3,0,1,2
"Nov 25, 2024",DET vs. TOR,W,25,13,12,4,0,4,2
"Nov 23, 2024",DET @ ORL,L,25,7,4,1,0,1,3
"Nov 21, 2024",DET @ CHA,L,24,5,9,0,1,0,1
"Nov 18, 2024",DET vs. CHI,L,30,15,22,3,0,2,0
"Nov 17, 2024",DET @ WAS,W,18,11,10,1,1,0,1
"Nov 15, 2024",DET @ TOR,W,24,12,8,1,0,1,1
"Nov 13, 2024",DET @ MIL,L,34,9,9,6,0,0,5
"Nov 12, 2024",DET vs. MIA,W,30,8,11,5,0,2,1
"Nov 06, 2024",DET @ CHA,L,8,0,3,1,0,0,0
"Nov 04, 2024",DET vs. LAL,W,24,11,14,1,1,1,2
"Nov 03, 2024",DET @ BKN,W,33,13,17,4,1,3,4
