GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",TOR @ SAS,L,36,11,4,9,0,0,3
"Apr 11, 2025",TOR @ DAL,L,33,9,0,5,2,0,3
"Apr 06, 2025",TOR @ BKN,W,29,9,4,12,3,0,3
"Apr 04, 2025",TOR vs. DET,L,26,14,1,9,2,0,0
"Apr 03, 2025",TOR vs. POR,L,25,10,3,3,2,0,2
"Apr 01, 2025",TOR @ CHI,L,20,9,0,5,1,0,2
"Mar 30, 2025",TOR @ PHI,W,28,11,2,9,3,1,1
"Mar 28, 2025",TOR vs. CHA,W,22,17,4,4,2,0,0
"Mar 26, 2025",TOR @ BKN,W,24,7,5,8,3,0,1
"Mar 24, 2025",TOR @ WAS,W,20,14,2,3,1,0,0
"Mar 23, 2025",TOR vs. SAS,L,27,17,2,6,1,0,3
"Mar 20, 2025",TOR @ GSW,L,27,11,4,6,1,0,5
"Mar 17, 2025",TOR @ PHX,L,23,3,1,4,1,0,1
"Mar 16, 2025",TOR @ POR,L,25,10,2,6,1,0,0
"Mar 14, 2025",TOR @ UTA,W,27,11,2,5,3,2,2
"Mar 12, 2025",TOR vs. PHI,W,12,5,0,5,0,0,1
"Mar 10, 2025",TOR vs. WAS,W,27,8,4,1,0,1,0
"Mar 08, 2025",TOR vs. WAS,L,29,11,5,9,1,0,1
"Mar 07, 2025",TOR vs. UTA,W,26,8,2,5,0,0,1
"Mar 04, 2025",TOR @ ORL,W,22,8,1,5,1,0,3
"Mar 02, 2025",TOR @ ORL,W,17,12,2,4,2,0,1
"Feb 28, 2025",TOR @ CHI,L,23,5,2,2,0,0,1
"Feb 26, 2025",TOR @ IND,L,20,0,1,4,0,0,7
"Feb 25, 2025",TOR vs. BOS,L,18,6,2,6,0,1,1
"Feb 23, 2025",TOR vs. PHX,W,18,6,1,2,0,0,1
"Feb 21, 2025",TOR vs. MIA,L,18,9,2,5,1,0,1
"Feb 12, 2025",TOR vs. CLE,L,18,2,0,2,1,0,2
"Feb 11, 2025",TOR @ PHI,W,17,6,3,5,0,0,3
"Feb 09, 2025",TOR @ HOU,L,19,14,0,2,0,0,1
"Feb 07, 2025",TOR @ OKC,L,22,7,3,6,0,0,0
"Feb 05, 2025",TOR vs. MEM,L,30,14,0,4,1,0,2
"Feb 04, 2025",TOR vs. NYK,L,23,16,3,9,0,0,2
"Jan 29, 2025",TOR @ WAS,W,21,10,2,4,1,0,1
"Jan 27, 2025",TOR vs. NOP,W,24,5,2,5,0,1,3
"Jan 25, 2025",TOR @ ATL,W,22,5,0,6,0,0,3
"Jan 23, 2025",TOR @ ATL,W,17,2,2,2,0,0,0
"Jan 21, 2025",TOR vs. ORL,W,22,6,2,1,1,0,1
"Jan 17, 2025",TOR @ MIL,L,18,2,1,1,0,0,1
"Jan 15, 2025",TOR vs. BOS,W,15,8,0,1,0,0,3
"Jan 13, 2025",TOR vs. GSW,W,18,9,1,2,0,0,1
"Jan 11, 2025",TOR @ DET,L,17,10,0,5,2,0,0
"Jan 09, 2025",TOR @ CLE,L,15,15,0,3,0,0,1
"Jan 08, 2025",TOR @ NYK,L,16,4,0,4,0,0,2
"Jan 06, 2025",TOR vs. MIL,L,18,3,2,6,2,0,1
"Jan 03, 2025",TOR vs. ORL,L,14,2,1,6,1,0,2
"Jan 01, 2025",TOR vs. BKN,W,18,7,0,5,1,0,3
"Dec 31, 2024",TOR @ BOS,L,25,5,1,3,2,0,3
"Dec 29, 2024",TOR vs. ATL,L,25,5,2,6,0,1,1
"Dec 22, 2024",TOR vs. HOU,L,33,11,6,10,2,1,3
"Dec 19, 2024",TOR vs. BKN,L,26,5,1,4,1,0,2
"Dec 16, 2024",TOR vs. CHI,L,12,10,4,6,1,0,1
"Dec 12, 2024",TOR @ MIA,L,14,5,0,1,1,0,1
"Dec 05, 2024",TOR vs. OKC,L,12,0,1,2,0,0,1
"Dec 03, 2024",TOR vs. IND,W,10,6,1,0,0,0,1
"Dec 01, 2024",TOR vs. MIA,W,4,2,0,0,0,0,1
"Nov 29, 2024",TOR @ MIA,L,7,0,0,3,0,0,0
"Nov 27, 2024",TOR @ NOP,W,15,8,1,4,2,0,1
"Nov 25, 2024",TOR @ DET,L,17,8,2,4,1,0,0
"Nov 24, 2024",TOR @ CLE,L,16,6,2,2,1,0,2
"Nov 21, 2024",TOR vs. MIN,W,8,0,1,0,1,0,0
"Nov 18, 2024",TOR vs. IND,W,14,4,0,2,0,0,3
"Nov 16, 2024",TOR @ BOS,L,21,6,1,4,0,0,1
"Nov 15, 2024",TOR vs. DET,L,10,4,1,1,0,0,0
"Nov 12, 2024",TOR @ MIL,L,12,0,1,2,1,0,2
"Nov 10, 2024",TOR @ LAL,L,9,2,0,1,0,0,3
"Nov 09, 2024",TOR @ LAC,L,5,0,0,0,0,0,0
"Nov 06, 2024",TOR @ SAC,L,16,5,1,2,0,1,1
"Nov 04, 2024",TOR @ DEN,L,17,8,2,3,1,0,0
"Nov 02, 2024",TOR vs. SAC,W,14,0,0,6,0,0,1
"Nov 01, 2024",TOR vs. LAL,L,15,4,1,1,0,0,1
"Oct 30, 2024",TOR @ CHA,L,20,7,2,9,1,0,1
"Oct 28, 2024",TOR vs. DEN,L,18,8,1,5,1,0,1
"Oct 26, 2024",TOR @ MIN,L,19,5,0,5,0,0,1
"Oct 25, 2024",TOR vs. PHI,W,25,11,2,5,0,0,7
"Oct 23, 2024",TOR vs. CLE,L,19,10,1,4,1,1,2
