GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",PHI vs. CHI,L,26,19,1,5,1,1,4
"Apr 11, 2025",PHI vs. ATL,L,29,25,4,7,2,0,4
"Apr 09, 2025",PHI @ WAS,W,29,13,6,4,1,0,2
"Apr 07, 2025",PHI @ MIA,L,25,8,3,4,4,1,0
"Apr 05, 2025",PHI vs. MIN,L,32,16,1,8,1,0,3
"Apr 03, 2025",PHI vs. MIL,L,31,14,1,4,1,1,2
"Apr 01, 2025",PHI @ NYK,L,24,5,2,7,1,0,3
"Mar 30, 2025",PHI vs. TOR,L,27,15,1,6,2,0,2
"Mar 29, 2025",PHI vs. MIA,L,30,19,2,10,1,0,2
"Mar 26, 2025",PHI vs. WAS,L,26,14,5,4,0,0,0
"Mar 24, 2025",PHI @ NOP,L,33,19,2,2,3,0,3
"Mar 23, 2025",PHI @ ATL,L,22,8,0,5,2,0,0
"Mar 21, 2025",PHI @ SAS,L,28,5,3,4,1,0,4
"Mar 19, 2025",PHI @ OKC,L,24,7,2,4,1,0,0
"Mar 17, 2025",PHI @ HOU,L,37,21,2,5,2,1,1
"Mar 16, 2025",PHI @ DAL,W,28,8,1,7,1,0,0
"Mar 14, 2025",PHI vs. IND,L,33,17,3,4,0,1,4
"Mar 12, 2025",PHI @ TOR,L,35,9,6,8,2,0,2
"Mar 10, 2025",PHI @ ATL,L,24,11,3,6,0,0,1
"Mar 09, 2025",PHI vs. UTA,W,29,15,0,9,1,1,3
"Mar 06, 2025",PHI @ BOS,L,11,5,5,1,0,0,1
"Mar 04, 2025",PHI @ MIN,L,25,11,3,4,0,0,3
"Mar 03, 2025",PHI vs. POR,L,5,0,1,1,0,0,0
"Feb 24, 2025",PHI vs. CHI,L,14,7,4,5,1,0,2
"Feb 20, 2025",PHI vs. BOS,L,3,0,0,0,1,0,0
"Feb 12, 2025",PHI @ BKN,L,25,8,2,9,0,2,4
"Feb 11, 2025",PHI vs. TOR,L,16,15,4,4,1,0,0
"Feb 09, 2025",PHI @ MIL,L,11,7,2,1,0,0,1
"Jan 30, 2025",WAS vs. LAL,L,17,8,0,3,0,0,2
"Jan 19, 2025",WAS @ SAC,L,7,0,1,1,0,0,0
"Jan 16, 2025",WAS vs. PHX,L,12,6,2,2,2,0,0
"Jan 13, 2025",WAS vs. MIN,L,7,7,0,0,0,0,1
"Jan 12, 2025",WAS vs. OKC,L,8,6,4,2,0,1,1
"Jan 10, 2025",WAS @ CHI,L,21,18,6,4,0,1,1
"Jan 08, 2025",WAS @ PHI,L,20,26,4,7,1,0,1
"Jan 07, 2025",WAS vs. HOU,L,22,14,0,5,1,1,3
"Jan 05, 2025",WAS vs. NOP,L,20,17,4,5,1,0,2
"Jan 03, 2025",WAS @ NOP,L,1,0,0,1,0,0,0
"Jan 01, 2025",WAS vs. CHI,W,2,0,0,1,0,0,0
"Dec 30, 2024",WAS vs. NYK,L,5,2,0,1,0,0,0
"Dec 23, 2024",WAS @ OKC,L,8,5,1,1,0,0,3
"Dec 15, 2024",WAS vs. BOS,L,14,7,3,0,1,0,2
"Dec 13, 2024",WAS @ CLE,L,18,7,1,3,0,0,1
"Dec 08, 2024",WAS vs. MEM,L,26,14,5,7,0,0,3
"Dec 07, 2024",WAS vs. DEN,W,17,12,2,4,0,0,2
"Dec 05, 2024",WAS vs. DAL,L,19,5,0,5,0,0,0
"Dec 03, 2024",WAS @ CLE,L,17,10,0,1,0,0,0
"Nov 27, 2024",WAS vs. LAC,L,8,6,0,0,0,0,1
"Nov 26, 2024",WAS vs. CHI,L,6,2,1,4,0,0,2
"Nov 24, 2024",WAS @ IND,L,5,0,0,1,0,0,1
"Nov 18, 2024",WAS @ NYK,L,6,4,0,4,1,0,1
"Nov 17, 2024",WAS vs. DET,L,4,3,0,0,0,0,0
"Nov 11, 2024",WAS @ HOU,L,5,4,0,1,0,0,0
"Nov 10, 2024",WAS @ ORL,L,9,4,1,1,0,1,0
"Nov 08, 2024",WAS @ MEM,L,14,5,3,6,2,0,0
"Nov 04, 2024",WAS vs. GSW,L,8,7,0,3,0,0,0
"Nov 02, 2024",WAS vs. MIA,L,7,5,0,2,1,0,1
"Oct 30, 2024",WAS vs. ATL,W,10,2,2,2,0,0,1
"Oct 26, 2024",WAS vs. CLE,L,11,8,1,3,1,1,0
"Oct 24, 2024",WAS vs. BOS,L,9,6,0,2,1,0,0
