GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",CLE vs. IND,L,1,0,0,1,0,0,0
"Apr 11, 2025",CLE @ NYK,W,33,11,13,2,1,0,1
"Apr 10, 2025",CLE @ IND,L,16,3,10,1,0,0,0
"Apr 08, 2025",CLE vs. CHI,W,29,12,9,3,3,2,2
"Apr 06, 2025",CLE vs. SAC,L,31,17,5,4,0,0,4
"Apr 04, 2025",CLE @ SAS,W,16,4,4,3,0,0,1
"Apr 02, 2025",CLE vs. NYK,W,32,21,8,0,1,1,2
"Mar 30, 2025",CLE vs. LAC,W,31,25,12,3,2,0,0
"Mar 28, 2025",CLE @ DET,L,19,8,4,0,0,1,0
"Mar 27, 2025",CLE vs. SAS,W,30,29,15,0,1,1,2
"Mar 25, 2025",CLE @ POR,W,29,14,8,2,1,0,3
"Mar 23, 2025",CLE @ UTA,W,26,18,6,4,1,1,1
"Mar 21, 2025",CLE @ PHX,L,22,6,6,1,0,2,1
"Mar 19, 2025",CLE @ SAC,L,30,10,5,2,1,0,2
"Mar 18, 2025",CLE @ LAC,L,32,8,8,1,1,0,0
"Mar 16, 2025",CLE vs. ORL,L,32,20,12,2,0,1,0
"Mar 14, 2025",CLE @ MEM,W,25,16,6,3,1,1,2
"Mar 11, 2025",CLE vs. BKN,W,34,23,13,1,0,3,1
"Mar 09, 2025",CLE @ MIL,W,30,11,6,3,3,1,1
"Mar 07, 2025",CLE @ CHA,W,32,14,11,0,5,1,1
"Mar 05, 2025",CLE vs. MIA,W,25,4,8,1,0,2,1
"Mar 04, 2025",CLE @ CHI,W,30,25,17,3,2,0,1
"Mar 02, 2025",CLE vs. POR,W,26,12,10,4,1,2,2
"Feb 28, 2025",CLE @ BOS,W,24,10,4,1,1,0,1
"Feb 25, 2025",CLE @ ORL,W,25,8,7,1,0,1,0
"Feb 23, 2025",CLE vs. MEM,W,31,13,10,1,1,0,3
"Feb 21, 2025",CLE vs. NYK,W,20,10,3,0,0,0,0
"Feb 20, 2025",CLE @ BKN,W,25,16,20,0,1,1,2
"Feb 12, 2025",CLE @ TOR,W,28,13,10,3,1,2,2
"Feb 10, 2025",CLE vs. MIN,W,27,14,13,3,1,0,1
"Feb 07, 2025",CLE @ WAS,W,27,12,12,4,0,2,2
"Feb 05, 2025",CLE @ DET,W,32,6,13,6,3,1,4
"Feb 04, 2025",CLE vs. BOS,L,33,17,18,2,0,1,1
"Feb 02, 2025",CLE vs. DAL,W,20,14,9,0,0,2,0
"Jan 30, 2025",CLE vs. ATL,W,31,9,15,2,0,0,0
"Jan 29, 2025",CLE @ MIA,W,29,12,10,1,2,0,1
"Jan 27, 2025",CLE vs. DET,W,31,15,11,4,1,1,2
"Jan 25, 2025",CLE vs. HOU,L,29,8,5,2,0,1,1
"Jan 24, 2025",CLE @ PHI,L,34,8,10,1,1,1,3
"Jan 22, 2025",CLE @ HOU,L,32,17,13,3,2,3,3
"Jan 20, 2025",CLE vs. PHX,W,22,12,11,2,0,0,1
"Jan 18, 2025",CLE @ MIN,W,36,14,4,1,0,1,1
"Jan 16, 2025",CLE @ OKC,L,16,13,7,0,0,0,2
"Jan 14, 2025",CLE @ IND,W,32,16,9,2,1,1,1
"Jan 12, 2025",CLE vs. IND,L,25,11,9,3,0,1,1
"Jan 09, 2025",CLE vs. TOR,W,29,18,15,3,1,2,0
"Jan 08, 2025",CLE vs. OKC,W,32,25,11,6,3,1,0
"Jan 05, 2025",CLE vs. CHA,W,28,19,11,2,0,2,1
"Jan 03, 2025",CLE @ DAL,W,22,11,9,0,0,1,0
"Dec 31, 2024",CLE @ LAL,W,31,27,14,1,1,3,1
"Dec 30, 2024",CLE @ GSW,W,25,12,9,1,1,2,1
"Dec 27, 2024",CLE @ DEN,W,31,22,10,4,3,1,2
"Dec 23, 2024",CLE vs. UTA,W,27,7,6,2,0,0,1
"Dec 21, 2024",CLE vs. PHI,W,25,6,6,2,1,0,2
"Dec 20, 2024",CLE vs. MIL,W,25,10,10,0,2,0,1
"Dec 16, 2024",CLE @ BKN,W,24,12,8,4,2,0,1
"Dec 13, 2024",CLE vs. WAS,W,33,21,11,2,1,1,1
"Dec 08, 2024",CLE @ MIA,L,29,6,7,1,0,0,1
"Dec 07, 2024",CLE @ CHA,W,33,11,10,3,0,1,0
"Dec 05, 2024",CLE vs. DEN,W,35,8,15,6,2,0,2
"Dec 03, 2024",CLE vs. WAS,W,25,11,3,1,2,0,2
"Dec 01, 2024",CLE vs. BOS,W,32,8,10,0,1,0,1
"Nov 29, 2024",CLE @ ATL,L,25,6,5,0,0,0,1
"Nov 27, 2024",CLE vs. ATL,L,32,17,10,1,1,0,1
"Nov 24, 2024",CLE vs. TOR,W,32,23,13,2,1,1,0
"Nov 20, 2024",CLE vs. NOP,W,21,16,11,4,0,1,0
"Nov 19, 2024",CLE @ BOS,L,28,10,11,2,1,0,0
"Nov 17, 2024",CLE vs. CHA,W,31,21,15,0,1,1,2
"Nov 15, 2024",CLE vs. CHI,W,37,24,10,3,3,2,2
"Nov 13, 2024",CLE @ PHI,W,32,11,12,1,1,0,0
"Nov 11, 2024",CLE @ CHI,W,26,9,5,2,0,1,0
"Nov 09, 2024",CLE vs. BKN,W,21,4,3,0,1,1,3
"Nov 08, 2024",CLE vs. GSW,W,30,13,12,3,0,1,3
"Nov 06, 2024",CLE @ NOP,W,35,16,14,2,1,2,0
"Nov 04, 2024",CLE vs. MIL,W,35,14,15,6,2,1,0
"Nov 02, 2024",CLE @ MIL,W,32,15,12,1,1,0,2
"Nov 01, 2024",CLE vs. ORL,W,28,2,11,1,1,1,2
"Oct 30, 2024",CLE vs. LAL,W,31,20,17,1,0,2,0
"Oct 28, 2024",CLE @ NYK,W,31,15,15,1,1,0,2
"Oct 26, 2024",CLE @ WAS,W,25,23,5,1,1,2,0
"Oct 25, 2024",CLE vs. DET,W,31,17,11,2,1,1,1
"Oct 23, 2024",CLE @ TOR,W,26,14,7,1,1,4,1
