GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 08, 2025",MEM @ CHA,W,11,3,5,2,1,0,0
"Apr 05, 2025",MEM @ DET,W,38,7,3,1,1,0,1
"Apr 03, 2025",MEM @ MIA,W,26,13,7,3,0,0,1
"Apr 01, 2025",MEM vs. GSW,L,30,5,4,1,1,0,0
"Mar 31, 2025",MEM vs. BOS,L,26,10,4,2,0,0,0
"Mar 29, 2025",MEM vs. LAL,L,24,11,3,3,1,0,0
"Mar 27, 2025",MEM @ OKC,L,28,13,5,0,0,0,1
"Mar 25, 2025",MEM @ UTA,W,29,10,6,5,1,0,1
"Mar 21, 2025",MEM @ LAC,L,15,3,3,2,0,0,0
"Mar 19, 2025",MEM @ POR,L,21,2,1,0,0,0,0
"Mar 17, 2025",MEM @ SAC,L,34,14,4,2,1,0,0
"Mar 15, 2025",MEM vs. MIA,W,26,8,3,2,0,0,1
"Mar 14, 2025",MEM vs. CLE,L,17,7,0,0,0,0,1
"Mar 12, 2025",MEM vs. UTA,W,24,3,4,2,1,0,1
"Mar 10, 2025",MEM vs. PHX,W,23,2,6,2,0,0,0
"Mar 09, 2025",MEM @ NOP,W,33,9,7,2,1,1,4
"Mar 07, 2025",MEM @ DAL,W,21,5,5,1,0,1,0
"Mar 05, 2025",MEM vs. OKC,L,26,3,5,1,1,0,2
"Mar 03, 2025",MEM vs. ATL,L,33,12,2,6,2,0,1
"Mar 01, 2025",MEM vs. SAS,L,39,18,2,3,0,0,0
"Feb 28, 2025",MEM vs. NYK,L,22,3,1,2,0,0,1
"Feb 25, 2025",MEM vs. PHX,W,40,19,5,2,0,0,0
"Feb 23, 2025",MEM @ CLE,L,22,14,4,0,0,0,3
"Feb 21, 2025",MEM @ ORL,W,17,7,3,1,0,0,0
"Feb 20, 2025",MEM @ IND,L,27,17,4,0,1,0,0
"Feb 12, 2025",MEM @ LAC,L,31,18,3,1,2,0,2
"Feb 11, 2025",MEM @ PHX,W,19,8,4,1,0,0,0
"Feb 08, 2025",MEM vs. OKC,L,12,2,3,0,0,0,0
"Feb 05, 2025",MEM @ TOR,W,21,7,4,1,1,0,1
"Feb 03, 2025",MEM vs. SAS,W,22,2,1,1,0,0,1
"Feb 02, 2025",MEM @ MIL,W,31,6,2,4,1,0,0
"Jan 30, 2025",MEM vs. HOU,W,30,11,3,3,1,1,0
