GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 30, 2025",SAS vs. GSW,L,18,2,2,1,0,0,1
"Mar 29, 2025",SAS vs. BOS,L,31,18,8,3,2,0,2
"Mar 27, 2025",SAS @ CLE,L,23,13,5,2,0,1,1
"Mar 25, 2025",SAS @ DET,L,15,2,4,0,1,1,0
"Mar 23, 2025",SAS @ TOR,W,20,9,5,2,2,1,2
"Mar 21, 2025",SAS vs. PHI,W,35,23,9,2,0,0,1
"Mar 19, 2025",SAS vs. NYK,W,38,10,6,3,1,0,2
"Mar 17, 2025",SAS @ LAL,L,26,15,3,1,0,0,3
"Mar 15, 2025",SAS vs. NOP,W,31,14,5,4,1,1,3
"Mar 14, 2025",SAS vs. CHA,L,16,14,4,2,2,0,0
"Mar 12, 2025",SAS vs. DAL,W,24,18,7,2,0,0,0
"Mar 09, 2025",SAS @ MIN,L,18,5,3,0,1,0,2
"Mar 07, 2025",SAS @ SAC,L,25,9,8,2,0,0,1
"Mar 04, 2025",SAS vs. BKN,W,22,2,2,3,0,1,0
"Mar 02, 2025",SAS vs. OKC,L,25,17,4,4,1,1,3
"Mar 01, 2025",SAS @ MEM,W,30,18,11,3,1,0,2
"Feb 26, 2025",SAS @ HOU,L,12,7,5,0,0,0,1
"Feb 25, 2025",SAS @ NOP,L,19,12,9,2,0,2,2
"Feb 23, 2025",SAS @ NOP,L,21,4,8,3,1,1,0
"Feb 21, 2025",SAS vs. DET,L,28,8,3,3,1,0,0
"Feb 20, 2025",SAS vs. PHX,W,28,12,5,4,1,0,1
"Feb 12, 2025",SAS @ BOS,L,13,4,3,0,0,0,1
"Feb 10, 2025",SAS @ WAS,W,21,14,5,3,3,0,2
"Feb 08, 2025",SAS @ ORL,L,19,7,2,3,0,2,2
"Feb 07, 2025",SAS @ CHA,L,24,11,12,2,0,0,1
"Feb 05, 2025",SAS @ ATL,W,27,15,4,2,1,0,1
"Feb 03, 2025",SAS @ MEM,L,21,14,8,3,1,0,3
"Feb 01, 2025",SAS vs. MIA,L,19,2,5,3,1,0,1
"Jan 31, 2025",SAS vs. MIL,W,22,2,7,2,0,1,0
"Jan 29, 2025",SAS vs. LAC,L,26,7,0,4,2,1,1
"Jan 25, 2025",SAS vs. IND,L,14,2,4,0,2,0,4
"Jan 23, 2025",SAS @ IND,W,18,13,9,3,0,0,1
"Jan 06, 2025",SAS @ CHI,L,27,11,4,2,1,1,2
"Jan 04, 2025",SAS vs. DEN,L,26,5,8,0,1,0,0
"Dec 31, 2024",SAS vs. LAC,W,15,4,5,2,1,0,1
"Dec 29, 2024",SAS @ MIN,L,37,5,4,1,0,1,3
"Dec 27, 2024",SAS @ BKN,W,34,12,14,3,0,1,1
"Dec 25, 2024",SAS @ NYK,L,33,21,9,2,0,0,5
"Dec 23, 2024",SAS @ PHI,L,32,15,8,3,0,0,0
"Dec 21, 2024",SAS vs. POR,W,24,10,7,5,1,1,1
"Dec 19, 2024",SAS vs. ATL,W,42,20,8,4,1,2,1
"Dec 15, 2024",SAS vs. MIN,L,30,17,15,4,2,1,5
"Dec 13, 2024",SAS @ POR,W,32,15,5,3,2,1,1
"Dec 08, 2024",SAS vs. NOP,W,23,7,5,1,2,2,0
"Dec 06, 2024",SAS vs. SAC,L,21,14,5,2,0,0,2
"Dec 05, 2024",SAS vs. CHI,L,32,16,14,2,1,0,2
"Dec 03, 2024",SAS @ PHX,L,22,14,12,2,1,1,0
"Nov 04, 2024",SAS @ LAC,L,12,4,3,1,1,0,2
"Nov 02, 2024",SAS vs. MIN,W,33,19,10,4,1,1,3
"Oct 31, 2024",SAS @ UTA,W,31,11,5,3,2,1,1
"Oct 30, 2024",SAS @ OKC,L,31,17,9,4,1,0,1
"Oct 28, 2024",SAS vs. HOU,L,34,22,9,4,0,1,2
"Oct 26, 2024",SAS vs. HOU,W,37,17,12,3,2,0,3
"Oct 24, 2024",SAS @ DAL,L,27,18,6,2,0,0,4
