GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 12, 2025",UTA @ MEM,L,28,22,7,0,0,0,1
"Mar 10, 2025",UTA @ BOS,L,34,28,10,2,2,0,2
"Feb 28, 2025",UTA vs. MIN,W,27,29,12,1,0,1,3
"Feb 21, 2025",UTA vs. OKC,L,31,26,3,1,1,0,1
"Feb 13, 2025",UTA vs. LAC,L,41,17,7,1,1,1,2
"Feb 12, 2025",UTA vs. LAL,W,27,17,8,1,0,2,3
"Feb 10, 2025",UTA @ LAL,L,36,17,11,0,2,1,5
"Feb 07, 2025",UTA @ PHX,L,39,21,6,2,1,2,1
"Feb 05, 2025",UTA vs. GSW,W,30,19,5,2,1,2,3
"Feb 03, 2025",UTA vs. IND,L,32,21,12,0,0,1,2
"Feb 01, 2025",UTA vs. ORL,W,33,19,6,0,0,2,3
"Jan 30, 2025",UTA vs. MIN,L,28,16,5,1,1,2,3
"Jan 22, 2025",UTA @ OKC,L,26,22,12,1,0,1,6
"Jan 04, 2025",UTA @ MIA,W,28,24,9,3,1,3,1
"Dec 21, 2024",UTA @ BKN,W,35,13,11,2,1,0,5
"Dec 19, 2024",UTA @ DET,W,37,16,9,0,0,1,6
"Dec 16, 2024",UTA @ LAC,L,38,14,5,2,2,1,2
"Dec 13, 2024",UTA vs. PHX,L,35,22,6,6,2,2,1
"Dec 08, 2024",UTA @ SAC,L,23,19,7,3,0,1,1
"Dec 06, 2024",UTA @ POR,W,28,20,3,2,0,1,0
"Dec 03, 2024",UTA @ OKC,L,31,15,5,2,0,1,5
"Dec 01, 2024",UTA vs. LAL,L,36,21,9,3,0,1,0
"Nov 30, 2024",UTA vs. DAL,L,37,16,9,2,1,1,2
"Nov 26, 2024",UTA vs. SAS,L,33,20,13,3,0,1,3
"Nov 23, 2024",UTA vs. NYK,W,33,20,13,1,2,1,4
"Nov 21, 2024",UTA @ SAS,L,33,18,14,3,1,1,1
"Nov 19, 2024",UTA @ LAL,L,29,18,8,2,1,0,2
"Nov 17, 2024",UTA @ LAC,L,31,13,8,2,2,0,3
"Nov 16, 2024",UTA @ SAC,L,32,16,8,2,3,2,2
"Nov 14, 2024",UTA vs. DAL,W,36,28,9,3,2,0,4
"Nov 12, 2024",UTA vs. PHX,L,34,29,10,4,3,1,2
"Nov 09, 2024",UTA @ SAS,W,29,15,10,2,3,0,5
"Nov 07, 2024",UTA @ MIL,L,25,11,3,1,0,0,4
"Nov 04, 2024",UTA @ CHI,W,31,28,13,5,0,1,2
"Nov 02, 2024",UTA @ DEN,L,22,15,5,5,1,1,2
"Oct 31, 2024",UTA vs. SAS,L,28,14,11,3,1,1,2
"Oct 29, 2024",UTA vs. SAC,L,23,18,7,0,1,1,2
"Oct 28, 2024",UTA @ DAL,L,19,16,6,3,1,1,2
"Oct 25, 2024",UTA vs. GSW,L,24,14,7,4,1,1,3
"Oct 23, 2024",UTA vs. MEM,L,18,11,5,0,1,1,2
