GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 11, 2025",GSW @ POR,W,17,10,5,0,1,1,1
"Apr 09, 2025",GSW vs. SAS,L,18,12,3,1,0,0,1
"Apr 08, 2025",GSW @ PHX,W,21,10,3,3,0,0,2
"Apr 06, 2025",GSW vs. HOU,L,19,9,7,3,1,0,3
"Apr 04, 2025",GSW vs. DEN,W,18,6,1,1,0,0,2
"Apr 03, 2025",GSW @ LAL,W,25,18,9,4,0,1,0
"Mar 30, 2025",GSW @ SAS,W,7,4,1,0,0,0,1
"Mar 28, 2025",GSW @ NOP,W,23,16,8,3,1,0,1
"Mar 25, 2025",GSW @ MIA,L,25,15,2,2,2,0,1
"Mar 22, 2025",GSW @ ATL,L,22,16,2,2,0,0,1
"Mar 20, 2025",GSW vs. TOR,W,25,16,4,3,2,0,2
"Mar 18, 2025",GSW vs. MIL,W,24,10,2,2,0,0,2
"Mar 17, 2025",GSW vs. DEN,L,28,13,3,4,1,0,3
"Mar 15, 2025",GSW vs. NYK,W,20,10,5,5,0,1,1
"Mar 13, 2025",GSW vs. SAC,W,20,18,3,1,1,0,0
"Jan 04, 2025",GSW vs. MEM,W,15,13,2,2,0,0,4
"Jan 02, 2025",GSW vs. PHI,W,25,20,5,5,1,0,1
"Dec 30, 2024",GSW vs. CLE,L,32,18,10,2,1,1,0
"Dec 28, 2024",GSW vs. PHX,W,34,34,9,3,1,0,1
"Dec 27, 2024",GSW @ LAC,L,37,34,10,5,2,1,3
"Dec 25, 2024",GSW vs. LAL,L,28,14,6,0,1,0,1
"Dec 23, 2024",GSW vs. IND,L,30,26,8,4,0,1,1
"Dec 21, 2024",GSW @ MIN,W,23,11,4,2,0,1,1
"Dec 19, 2024",GSW @ MEM,L,28,11,4,2,1,0,4
"Dec 15, 2024",GSW vs. DAL,L,30,20,3,6,0,0,0
"Dec 11, 2024",GSW @ HOU,L,36,20,7,1,0,1,1
"Dec 08, 2024",GSW vs. MIN,W,36,20,7,2,2,3,3
"Dec 06, 2024",GSW vs. MIN,L,29,13,2,1,1,1,3
"Dec 05, 2024",GSW vs. HOU,W,33,33,7,2,0,1,3
"Dec 03, 2024",GSW @ DEN,L,29,19,5,2,1,1,0
"Nov 30, 2024",GSW @ PHX,L,19,12,2,1,1,0,0
"Nov 27, 2024",GSW vs. OKC,L,28,19,4,2,2,0,2
"Nov 22, 2024",GSW @ NOP,W,20,7,4,2,0,1,1
"Nov 20, 2024",GSW vs. ATL,W,15,10,6,2,2,1,1
"Nov 18, 2024",GSW @ LAC,L,19,12,2,3,3,0,1
"Nov 15, 2024",GSW vs. MEM,W,18,8,4,2,0,0,1
"Nov 12, 2024",GSW vs. DAL,W,28,16,5,1,1,0,0
"Nov 10, 2024",GSW @ OKC,W,26,20,5,1,0,1,2
"Nov 08, 2024",GSW @ CLE,L,29,21,5,5,2,1,3
"Nov 06, 2024",GSW @ BOS,W,18,10,4,1,0,0,1
"Nov 04, 2024",GSW @ WAS,W,25,15,6,2,1,0,0
"Nov 02, 2024",GSW @ HOU,W,26,23,6,1,0,0,4
"Oct 30, 2024",GSW vs. NOP,W,27,16,4,2,1,0,1
"Oct 29, 2024",GSW vs. NOP,W,28,17,3,3,2,1,2
"Oct 27, 2024",GSW vs. LAC,L,22,12,5,1,3,0,1
"Oct 25, 2024",GSW @ UTA,W,18,2,1,1,0,1,0
"Oct 23, 2024",GSW @ POR,W,20,10,4,1,0,1,4
