GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",WAS @ MIA,W,39,27,4,2,1,2,1
"Apr 11, 2025",WAS @ CHI,L,38,22,14,1,3,1,3
"Apr 09, 2025",WAS vs. PHI,L,38,14,12,1,2,1,2
"Apr 08, 2025",WAS @ IND,L,35,20,13,0,0,0,0
"Apr 06, 2025",WAS @ BOS,L,37,15,13,1,2,0,3
"Apr 03, 2025",WAS vs. ORL,L,23,8,1,0,1,1,0
"Apr 02, 2025",WAS vs. SAC,W,30,8,11,3,2,1,1
"Mar 31, 2025",WAS vs. MIA,L,29,5,5,1,3,1,1
"Mar 29, 2025",WAS vs. BKN,L,17,9,9,1,0,1,0
"Mar 27, 2025",WAS vs. IND,L,33,15,7,1,2,0,2
"Mar 26, 2025",WAS @ PHI,W,22,18,10,1,1,0,1
"Mar 24, 2025",WAS vs. TOR,L,21,0,5,2,0,1,0
"Mar 22, 2025",WAS @ NYK,L,22,7,2,0,1,0,1
"Mar 21, 2025",WAS vs. ORL,L,28,3,6,0,1,0,0
"Mar 17, 2025",WAS @ POR,L,19,5,5,2,1,0,0
"Mar 15, 2025",WAS @ DEN,W,39,16,13,2,2,0,1
"Mar 13, 2025",WAS @ DET,W,33,17,9,1,3,0,0
"Mar 11, 2025",WAS @ DET,L,31,5,8,1,1,1,0
"Mar 10, 2025",WAS @ TOR,L,24,6,9,2,2,2,2
"Mar 08, 2025",WAS @ TOR,W,4,0,0,0,0,1,0
"Mar 05, 2025",WAS vs. UTA,W,22,17,3,2,0,0,1
"Mar 03, 2025",WAS @ MIA,L,22,7,8,1,0,0,0
"Mar 01, 2025",WAS @ CHA,W,22,10,8,2,2,3,0
"Feb 26, 2025",WAS vs. POR,L,12,0,5,1,2,1,3
"Feb 24, 2025",WAS vs. BKN,W,13,6,7,1,0,0,1
"Feb 23, 2025",WAS @ ORL,L,31,6,6,0,0,1,0
"Feb 21, 2025",WAS vs. MIL,L,8,5,1,0,1,0,2
"Feb 12, 2025",WAS vs. IND,L,3,0,0,0,0,0,0
"Feb 10, 2025",WAS vs. SAS,L,18,14,5,1,0,1,0
"Feb 08, 2025",WAS vs. ATL,L,25,10,8,0,1,0,4
"Feb 05, 2025",WAS @ BKN,W,17,11,2,0,0,0,0
"Feb 03, 2025",WAS @ CHA,W,13,5,2,0,1,2,0
"Feb 01, 2025",WAS @ MIN,W,0,0,0,0,0,0,0
"Jan 30, 2025",WAS vs. LAL,L,16,6,3,1,0,1,1
"Jan 29, 2025",WAS vs. TOR,L,15,12,6,1,2,2,2
"Jan 27, 2025",WAS @ DAL,L,12,6,6,4,1,0,0
"Jan 25, 2025",WAS @ PHX,L,4,0,0,0,0,0,0
"Jan 23, 2025",WAS @ LAC,L,15,1,3,0,1,0,0
"Jan 21, 2025",WAS @ LAL,L,3,0,1,0,0,0,0
"Jan 19, 2025",WAS @ SAC,L,10,6,1,1,1,0,0
"Jan 16, 2025",WAS vs. PHX,L,10,10,3,0,2,0,1
"Jan 13, 2025",WAS vs. MIN,L,10,0,1,0,0,0,1
"Jan 12, 2025",WAS vs. OKC,L,13,2,2,1,1,0,0
"Jan 10, 2025",WAS @ CHI,L,11,11,2,1,1,0,0
"Jan 08, 2025",WAS @ PHI,L,17,5,2,1,0,1,0
"Jan 07, 2025",WAS vs. HOU,L,21,7,5,0,1,1,0
"Jan 05, 2025",WAS vs. NOP,L,27,3,5,4,0,1,1
"Jan 03, 2025",WAS @ NOP,L,30,12,7,1,3,0,3
"Jan 01, 2025",WAS vs. CHI,W,21,15,2,1,1,0,1
"Dec 30, 2024",WAS vs. NYK,L,25,3,8,0,1,2,1
"Dec 28, 2024",WAS vs. NYK,L,45,31,10,1,2,0,3
"Dec 26, 2024",WAS vs. CHA,W,13,8,6,0,1,2,2
"Dec 23, 2024",WAS @ OKC,L,29,3,8,2,0,3,0
"Dec 21, 2024",WAS @ MIL,L,17,3,6,0,1,0,2
"Dec 19, 2024",WAS vs. CHA,W,27,14,8,2,0,0,2
"Dec 15, 2024",WAS vs. BOS,L,39,13,14,3,3,2,0
"Dec 13, 2024",WAS @ CLE,L,36,16,8,1,1,1,0
"Dec 08, 2024",WAS vs. MEM,L,34,14,8,0,5,0,2
"Dec 07, 2024",WAS vs. DEN,W,37,23,8,1,2,2,2
"Dec 05, 2024",WAS vs. DAL,L,29,9,5,3,0,0,1
"Nov 13, 2024",WAS @ SAS,L,1,0,0,0,0,0,0
"Oct 24, 2024",WAS vs. BOS,L,4,0,2,1,0,0,0
