GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",ATL vs. ORL,W,37,15,11,15,5,0,3
"Apr 10, 2025",ATL @ BKN,W,3,0,0,1,0,0,0
"Apr 05, 2025",ATL vs. NYK,L,6,2,1,3,1,1,1
"Mar 10, 2025",ATL vs. PHI,W,31,7,2,6,0,0,1
"Mar 08, 2025",ATL vs. IND,W,2,0,0,0,0,0,0
"Mar 03, 2025",ATL @ MEM,W,3,3,1,1,0,0,0
"Feb 28, 2025",ATL vs. OKC,L,2,3,0,0,0,0,0
"Feb 07, 2025",ATL vs. MIL,W,19,3,1,3,0,1,1
"Feb 05, 2025",ATL vs. SAS,L,12,5,0,0,0,1,1
"Feb 03, 2025",ATL @ DET,W,13,2,0,4,0,0,1
"Feb 01, 2025",ATL @ IND,L,14,4,2,2,1,0,0
"Jan 30, 2025",ATL @ CLE,L,16,2,0,3,1,0,1
"Jan 28, 2025",ATL vs. HOU,L,22,7,1,0,1,0,3
"Jan 27, 2025",ATL @ MIN,L,35,13,3,7,2,0,3
"Jan 15, 2025",ATL @ CHI,W,38,27,6,6,4,0,1
"Dec 29, 2024",ATL @ TOR,W,16,9,1,2,2,0,1
"Dec 28, 2024",ATL vs. MIA,W,14,5,2,2,1,0,0
"Dec 23, 2024",ATL vs. MIN,W,1,0,0,0,0,0,1
"Dec 21, 2024",ATL vs. MEM,L,23,5,1,4,0,0,3
"Nov 17, 2024",ATL @ POR,L,17,0,1,2,1,0,1
"Nov 15, 2024",ATL vs. WAS,W,15,0,3,2,1,1,0
"Nov 12, 2024",ATL @ BOS,W,32,7,2,8,0,0,2
"Nov 09, 2024",ATL vs. CHI,L,19,4,1,2,0,1,1
"Nov 08, 2024",ATL @ DET,L,7,2,0,0,0,1,2
"Nov 06, 2024",ATL vs. NYK,W,13,7,0,0,1,0,1
"Nov 04, 2024",ATL vs. BOS,L,21,6,4,2,4,2,2
"Nov 03, 2024",ATL @ NOP,W,22,6,2,1,2,0,2
"Nov 01, 2024",ATL vs. SAC,L,29,14,3,3,1,1,1
"Oct 30, 2024",ATL @ WAS,L,15,8,1,2,0,0,0
"Oct 28, 2024",ATL vs. WAS,L,2,0,0,0,0,0,0
"Oct 27, 2024",ATL @ OKC,L,3,2,1,0,0,0,0
