GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",ORL @ ATL,L,5,2,0,1,1,0,0
"Apr 09, 2025",ORL vs. BOS,W,7,0,2,0,0,0,1
"Apr 08, 2025",ORL vs. ATL,W,33,15,3,2,3,0,1
"Apr 03, 2025",ORL @ WAS,W,33,13,3,5,2,1,1
"Apr 01, 2025",ORL @ SAS,W,31,23,1,3,3,0,2
"Mar 31, 2025",ORL vs. LAC,L,33,11,3,0,1,1,1
"Mar 29, 2025",ORL vs. SAC,W,24,8,3,2,2,1,1
"Mar 27, 2025",ORL vs. DAL,L,33,0,4,0,1,0,1
"Mar 25, 2025",ORL @ CHA,W,21,3,2,1,0,0,0
"Mar 24, 2025",ORL vs. LAL,W,34,9,4,3,0,0,0
"Mar 21, 2025",ORL @ WAS,W,28,11,5,1,1,1,0
"Mar 19, 2025",ORL vs. HOU,L,32,10,2,4,0,0,0
"Mar 16, 2025",ORL @ CLE,W,30,15,2,3,1,0,1
"Mar 13, 2025",ORL @ NOP,W,32,12,3,3,0,1,0
"Mar 10, 2025",ORL @ HOU,L,21,0,1,0,0,0,1
"Mar 08, 2025",ORL @ MIL,W,37,9,3,1,0,1,1
"Mar 06, 2025",ORL vs. CHI,L,32,19,4,2,2,0,2
"Mar 04, 2025",ORL vs. TOR,L,27,12,2,3,2,0,1
"Mar 02, 2025",ORL vs. TOR,L,39,12,3,1,1,0,2
"Feb 27, 2025",ORL vs. GSW,L,34,0,2,1,0,1,0
"Feb 25, 2025",ORL vs. CLE,L,22,9,0,2,0,0,0
"Feb 23, 2025",ORL vs. WAS,W,23,5,1,1,0,1,0
"Feb 21, 2025",ORL vs. MEM,L,34,9,2,3,1,1,0
"Feb 20, 2025",ORL @ ATL,W,30,6,4,0,0,0,1
"Feb 12, 2025",ORL vs. CHA,W,16,2,3,0,0,0,0
"Feb 10, 2025",ORL vs. ATL,L,35,6,2,1,2,0,2
"Feb 08, 2025",ORL vs. SAS,W,30,3,3,1,2,0,0
"Feb 06, 2025",ORL @ DEN,L,27,7,4,3,1,0,0
"Feb 05, 2025",ORL @ SAC,W,22,8,2,1,0,0,1
"Feb 03, 2025",ORL @ GSW,L,33,9,6,1,1,0,0
"Jan 30, 2025",ORL @ POR,L,24,4,2,0,0,0,0
"Jan 27, 2025",ORL @ MIA,L,36,6,1,1,0,0,1
"Jan 25, 2025",ORL vs. DET,W,37,7,2,0,2,0,1
"Jan 23, 2025",ORL vs. POR,L,34,7,2,0,2,0,1
"Jan 21, 2025",ORL @ TOR,L,37,20,1,1,2,0,1
"Jan 19, 2025",ORL vs. DEN,L,35,12,1,4,1,0,1
"Jan 17, 2025",ORL @ BOS,L,26,5,1,1,1,1,1
"Jan 15, 2025",ORL @ MIL,L,23,8,2,1,1,0,1
"Jan 10, 2025",ORL vs. MIL,L,11,3,1,3,1,0,3
"Jan 09, 2025",ORL vs. MIN,L,33,13,1,2,1,1,1
"Jan 06, 2025",ORL @ NYK,W,30,15,4,2,3,0,2
"Jan 05, 2025",ORL vs. UTA,L,28,2,2,2,0,0,1
"Jan 03, 2025",ORL @ TOR,W,33,15,1,2,2,1,0
"Jan 01, 2025",ORL @ DET,L,34,21,2,2,2,1,2
"Dec 29, 2024",ORL vs. BKN,W,34,5,1,5,2,1,0
"Dec 27, 2024",ORL vs. NYK,L,31,10,0,3,2,0,1
"Dec 26, 2024",ORL vs. MIA,L,32,11,2,2,3,0,1
"Dec 23, 2024",ORL vs. BOS,W,34,8,5,2,2,2,1
"Dec 21, 2024",ORL vs. MIA,W,36,24,2,2,0,2,0
"Dec 19, 2024",ORL vs. OKC,L,33,11,1,5,1,1,2
"Dec 15, 2024",ORL vs. NYK,L,33,4,2,2,1,1,2
"Dec 10, 2024",ORL @ MIL,L,31,7,1,1,1,0,0
"Dec 08, 2024",ORL vs. PHX,W,33,8,0,1,3,0,0
"Dec 06, 2024",ORL @ PHI,L,34,2,3,2,3,1,2
"Dec 04, 2024",ORL @ PHI,W,32,7,2,1,5,0,1
"Dec 03, 2024",ORL @ NYK,L,27,9,3,0,0,0,2
"Dec 01, 2024",ORL @ BKN,W,34,16,1,0,2,1,0
"Nov 29, 2024",ORL @ BKN,W,29,19,2,3,2,1,0
"Nov 27, 2024",ORL vs. CHI,W,34,24,1,2,4,0,1
"Nov 25, 2024",ORL @ CHA,W,29,3,4,2,1,1,1
"Nov 23, 2024",ORL vs. DET,W,24,8,0,2,1,2,1
"Nov 20, 2024",ORL @ LAC,L,30,2,2,1,1,0,0
"Nov 18, 2024",ORL @ PHX,W,34,9,1,2,1,0,1
"Nov 15, 2024",ORL vs. PHI,W,33,8,1,1,2,0,2
"Nov 13, 2024",ORL vs. IND,W,34,10,5,3,0,0,1
"Nov 12, 2024",ORL vs. CHA,W,25,6,1,3,0,0,1
"Nov 10, 2024",ORL vs. WAS,W,28,8,5,3,0,1,1
"Nov 08, 2024",ORL vs. NOP,W,29,7,3,5,4,1,0
"Nov 06, 2024",ORL @ IND,L,37,13,5,2,1,0,0
"Nov 04, 2024",ORL @ OKC,L,31,6,5,2,4,1,1
"Nov 03, 2024",ORL @ DAL,L,26,7,3,1,0,0,0
"Nov 01, 2024",ORL @ CLE,L,28,7,1,1,1,0,0
"Oct 30, 2024",ORL @ CHI,L,34,8,1,1,1,0,0
"Oct 28, 2024",ORL vs. IND,W,31,4,0,1,1,0,1
"Oct 26, 2024",ORL @ MEM,L,28,3,2,1,2,1,1
"Oct 25, 2024",ORL vs. BKN,W,26,10,1,2,2,2,0
"Oct 23, 2024",ORL @ MIA,W,25,3,1,2,1,2,2
