GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 25, 2025",DAL @ NYK,L,19,0,4,0,0,0,0
"Mar 19, 2025",DAL @ IND,L,21,9,2,1,1,0,1
"Mar 16, 2025",DAL vs. PHI,L,27,5,7,1,0,1,1
"Mar 14, 2025",DAL @ HOU,L,35,12,6,0,1,4,1
"Mar 12, 2025",DAL @ SAS,L,28,15,3,0,1,0,2
"Mar 10, 2025",DAL @ SAS,W,35,22,11,3,1,0,0
"Mar 09, 2025",DAL vs. PHX,L,31,10,3,2,0,1,0
"Mar 07, 2025",DAL vs. MEM,L,29,13,3,3,2,1,1
"Mar 05, 2025",DAL @ MIL,L,26,7,2,3,2,1,1
"Mar 03, 2025",DAL vs. SAC,L,22,6,4,4,0,0,0
"Feb 27, 2025",DAL vs. CHA,W,5,3,1,0,0,0,1
"Feb 25, 2025",DAL @ LAL,L,13,4,3,0,0,0,0
"Feb 23, 2025",DAL @ GSW,L,14,6,8,1,1,1,0
"Feb 21, 2025",DAL vs. NOP,W,12,2,4,1,0,0,1
"Feb 13, 2025",DAL vs. MIA,W,40,15,9,3,0,0,0
"Feb 12, 2025",DAL vs. GSW,W,33,4,6,6,2,3,2
"Feb 10, 2025",DAL vs. SAC,L,26,6,1,1,2,2,1
"Feb 08, 2025",DAL vs. HOU,W,1,0,0,0,0,0,0
"Feb 06, 2025",DAL @ BOS,W,15,3,3,3,0,1,0
"Feb 04, 2025",DAL @ PHI,L,23,0,4,0,1,1,1
"Feb 02, 2025",DAL @ CLE,L,22,8,7,1,0,0,1
"Jan 31, 2025",DAL @ DET,L,10,0,1,1,1,1,1
"Jan 29, 2025",DAL @ NOP,W,15,2,3,2,0,1,0
"Jan 27, 2025",DAL vs. WAS,W,23,5,7,2,1,0,0
"Jan 25, 2025",DAL vs. BOS,L,12,0,4,0,0,1,0
"Jan 23, 2025",DAL @ OKC,W,23,7,4,2,1,0,0
"Jan 22, 2025",DAL vs. MIN,L,15,4,2,1,1,0,0
"Jan 20, 2025",DAL @ CHA,L,9,0,1,0,1,0,0
"Dec 30, 2024",DAL @ SAC,L,2,0,0,0,0,0,0
"Dec 28, 2024",DAL @ POR,L,0,0,0,0,0,0,0
"Dec 27, 2024",DAL @ PHX,W,1,0,0,0,0,0,0
"Dec 23, 2024",DAL vs. POR,W,9,0,1,1,0,1,0
"Dec 21, 2024",DAL vs. LAC,W,1,0,0,0,0,0,0
"Dec 19, 2024",DAL vs. LAC,L,3,0,1,0,0,0,0
"Dec 15, 2024",DAL @ GSW,W,1,0,0,0,0,0,0
"Dec 10, 2024",DAL @ OKC,L,1,0,0,0,0,0,0
"Nov 30, 2024",DAL @ UTA,W,1,0,0,0,0,0,0
"Nov 08, 2024",DAL vs. PHX,L,2,0,0,0,0,0,1
"Nov 06, 2024",DAL vs. CHI,W,5,0,0,0,0,0,0
"Oct 28, 2024",DAL vs. UTA,W,1,0,0,0,0,0,0
