GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 09, 2025",LAC vs. HOU,W,10,5,3,0,0,0,0
"Apr 08, 2025",LAC vs. SAS,W,1,0,0,0,0,0,0
"Apr 05, 2025",LAC vs. DAL,W,7,3,3,0,1,0,0
"Apr 04, 2025",LAC vs. DAL,W,14,0,2,4,0,1,3
"Apr 02, 2025",LAC vs. NOP,W,3,0,1,0,0,0,0
"Mar 28, 2025",LAC @ BKN,W,8,1,0,0,0,0,1
"Mar 26, 2025",LAC @ NYK,W,1,0,0,0,0,0,0
"Mar 21, 2025",LAC vs. MEM,W,1,0,0,0,0,0,0
"Mar 16, 2025",LAC vs. CHA,W,7,2,1,1,1,0,0
"Mar 14, 2025",LAC @ ATL,W,2,0,1,1,1,0,0
"Mar 12, 2025",LAC @ MIA,W,1,0,1,0,0,0,1
"Mar 11, 2025",LAC @ NOP,L,4,0,0,1,0,0,0
"Mar 09, 2025",LAC vs. SAC,W,4,2,0,0,0,0,0
"Mar 05, 2025",LAC vs. DET,W,17,4,4,1,0,1,0
"Mar 02, 2025",LAC @ LAL,L,5,0,1,0,0,0,0
"Feb 24, 2025",LAC @ DET,L,0,0,0,0,0,0,0
"Feb 23, 2025",LAC @ IND,L,13,0,1,0,1,0,0
"Feb 13, 2025",LAC @ UTA,W,4,0,0,0,0,0,0
"Feb 12, 2025",LAC vs. MEM,W,3,0,1,2,0,0,0
"Feb 08, 2025",LAC vs. UTA,W,8,7,1,0,0,0,1
"Feb 04, 2025",LAC vs. LAL,L,7,0,1,2,0,0,1
"Feb 02, 2025",LAC @ TOR,L,0,0,0,0,0,0,0
"Jan 31, 2025",LAC @ CHA,W,7,2,1,0,0,0,0
"Jan 29, 2025",LAC @ SAS,W,1,2,0,0,0,0,0
"Jan 25, 2025",LAC vs. MIL,W,1,0,0,0,0,0,0
"Jan 23, 2025",LAC vs. WAS,W,3,0,1,0,0,0,0
"Jan 22, 2025",LAC vs. BOS,L,38,4,11,2,1,2,3
"Jan 20, 2025",LAC vs. CHI,L,11,5,3,4,0,0,0
"Jan 16, 2025",LAC @ POR,W,7,4,2,0,1,0,1
"Jan 08, 2025",LAC @ DEN,L,11,6,3,0,0,0,0
"Jan 04, 2025",LAC vs. ATL,W,5,5,4,1,0,0,1
"Jan 02, 2025",LAC @ OKC,L,9,0,3,1,0,0,0
"Dec 31, 2024",LAC @ SAS,L,12,5,0,0,0,0,0
"Nov 25, 2024",LAC @ BOS,L,5,3,0,0,0,0,0
"Nov 24, 2024",LAC @ PHI,W,13,6,4,2,0,0,0
"Nov 20, 2024",LAC vs. ORL,W,3,0,2,0,0,0,0
"Nov 15, 2024",LAC @ HOU,L,10,5,4,0,1,0,0
"Nov 13, 2024",LAC @ HOU,L,8,4,5,1,0,0,0
"Nov 06, 2024",LAC vs. PHI,W,3,2,0,0,0,0,0
"Nov 02, 2024",LAC vs. OKC,L,4,0,1,1,0,0,0
