GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",MEM vs. DAL,W,36,31,6,3,0,0,3
"Apr 11, 2025",MEM @ DEN,L,0,0,0,0,0,0,0
"Apr 10, 2025",MEM vs. MIN,L,4,0,3,0,0,0,0
"Apr 08, 2025",MEM @ CHA,W,5,3,0,0,0,0,0
"Apr 03, 2025",MEM @ MIA,W,2,0,0,0,1,0,0
"Mar 31, 2025",MEM vs. BOS,L,1,0,0,0,0,0,0
"Mar 29, 2025",MEM vs. LAL,L,8,0,0,0,0,0,1
"Mar 27, 2025",MEM @ OKC,L,2,2,0,0,0,0,0
"Mar 17, 2025",MEM @ SAC,L,3,0,1,0,0,0,3
"Mar 15, 2025",MEM vs. MIA,W,19,7,5,1,1,1,0
"Mar 14, 2025",MEM vs. CLE,L,15,7,5,1,0,0,0
"Mar 12, 2025",MEM vs. UTA,W,12,2,6,0,1,1,1
"Mar 10, 2025",MEM vs. PHX,W,22,13,5,3,1,1,1
"Mar 09, 2025",MEM @ NOP,W,4,1,2,0,0,0,0
"Mar 05, 2025",MEM vs. OKC,L,2,2,0,0,0,0,0
"Mar 03, 2025",MEM vs. ATL,L,3,0,1,0,1,0,1
"Mar 01, 2025",MEM vs. SAS,L,16,6,4,0,0,0,0
