GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 28, 2025",CHI vs. TOR,W,34,14,2,2,1,0,2
"Feb 26, 2025",CHI vs. LAC,L,28,15,4,3,2,1,0
"Feb 24, 2025",CHI @ PHI,W,8,6,2,1,0,0,0
"Feb 22, 2025",CHI vs. PHX,L,29,3,3,1,0,1,2
"Feb 20, 2025",CHI @ NYK,L,30,14,4,4,0,0,1
"Feb 04, 2025",CHI vs. MIA,W,29,5,5,2,1,0,2
"Feb 02, 2025",CHI @ DET,L,28,13,4,2,1,0,1
"Jan 31, 2025",CHI @ TOR,W,25,5,3,5,0,1,0
"Jan 29, 2025",CHI @ BOS,L,23,9,3,4,1,0,3
"Jan 27, 2025",CHI vs. DEN,W,25,18,4,0,1,1,0
"Jan 25, 2025",CHI vs. PHI,L,24,9,4,2,2,0,0
"Jan 23, 2025",CHI @ GSW,L,23,9,3,4,1,0,3
"Jan 20, 2025",CHI @ LAC,W,26,5,4,3,3,1,2
"Jan 17, 2025",CHI vs. CHA,L,25,6,3,3,3,0,0
"Jan 14, 2025",CHI vs. NOP,L,25,11,8,6,1,1,3
"Jan 12, 2025",CHI vs. SAC,L,26,15,1,3,0,1,0
"Jan 10, 2025",CHI vs. WAS,W,22,12,1,6,3,1,1
"Jan 08, 2025",CHI @ IND,L,19,5,3,1,2,1,2
"Jan 06, 2025",CHI vs. SAS,W,24,5,4,2,3,0,3
"Jan 04, 2025",CHI vs. NYK,W,25,8,2,6,2,0,0
"Jan 01, 2025",CHI @ WAS,L,22,5,8,4,3,1,1
"Dec 30, 2024",CHI @ CHA,W,26,4,3,5,3,0,1
"Dec 28, 2024",CHI vs. MIL,W,19,9,3,3,1,0,2
"Dec 21, 2024",CHI vs. BOS,L,15,2,2,2,2,0,1
"Dec 19, 2024",CHI @ BOS,W,18,3,3,3,0,1,2
"Dec 16, 2024",CHI @ TOR,W,23,8,6,7,1,1,3
"Dec 13, 2024",CHI vs. CHA,W,19,10,7,4,1,1,1
"Dec 08, 2024",CHI vs. PHI,L,20,3,2,2,1,0,0
"Dec 06, 2024",CHI vs. IND,L,17,9,2,4,1,1,0
"Dec 02, 2024",CHI vs. BKN,W,13,5,3,2,1,0,0
"Nov 29, 2024",CHI vs. BOS,L,22,2,3,5,2,0,0
"Nov 27, 2024",CHI @ ORL,L,15,6,1,3,4,2,2
"Oct 28, 2024",CHI @ MEM,W,18,6,1,6,0,1,0
"Oct 26, 2024",CHI vs. OKC,L,16,3,5,1,0,0,2
"Oct 23, 2024",CHI @ NOP,L,14,5,2,4,0,0,1
