GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",SAS vs. TOR,W,17,11,3,0,1,0,0
"Apr 11, 2025",SAS @ PHX,L,23,15,2,2,1,0,1
"Apr 08, 2025",SAS @ LAC,L,4,9,0,0,0,0,0
"Apr 06, 2025",SAS @ POR,L,23,17,4,2,0,0,2
"Apr 02, 2025",SAS @ DEN,W,20,13,1,2,1,0,0
"Apr 01, 2025",SAS vs. ORL,L,1,0,0,1,0,0,0
"Mar 30, 2025",SAS vs. GSW,L,13,13,1,3,0,0,1
"Mar 25, 2025",SAS @ DET,L,5,5,1,0,0,0,0
"Mar 23, 2025",SAS @ TOR,W,10,4,1,1,0,0,1
"Mar 14, 2025",SAS vs. CHA,L,7,7,0,1,1,0,1
"Mar 07, 2025",SAS @ SAC,L,2,0,0,0,0,0,0
"Mar 04, 2025",SAS vs. BKN,W,2,0,0,0,0,0,0
"Mar 02, 2025",SAS vs. OKC,L,2,3,1,0,0,0,0
"Feb 26, 2025",SAS @ HOU,L,6,0,2,0,0,0,0
"Feb 23, 2025",SAS @ NOP,L,2,0,1,0,0,0,0
"Feb 21, 2025",SAS vs. DET,L,3,2,1,0,0,0,0
"Feb 12, 2025",SAS @ BOS,L,0,0,0,0,0,0,0
"Feb 03, 2025",SAS @ MEM,L,2,0,0,0,0,0,0
"Jan 31, 2025",SAS vs. MIL,W,4,3,2,0,0,0,0
"Jan 25, 2025",SAS vs. IND,L,5,0,0,0,0,0,2
"Jan 23, 2025",SAS @ IND,W,5,3,0,0,0,0,0
"Jan 19, 2025",SAS @ MIA,L,2,0,0,0,0,0,0
"Jan 17, 2025",SAS vs. MEM,L,4,0,0,0,0,0,0
"Jan 13, 2025",SAS @ LAL,W,2,3,0,0,0,0,0
"Jan 08, 2025",SAS @ MIL,L,3,0,0,0,0,0,0
"Dec 31, 2024",SAS vs. LAC,W,7,5,1,0,0,0,0
"Dec 21, 2024",SAS vs. POR,W,3,0,0,1,0,0,1
"Dec 15, 2024",SAS vs. MIN,L,3,0,0,1,0,0,0
"Dec 13, 2024",SAS @ POR,W,15,2,1,3,0,0,2
"Dec 06, 2024",SAS vs. SAC,L,16,5,0,1,1,0,2
"Dec 05, 2024",SAS vs. CHI,L,2,0,0,0,0,0,1
"Nov 27, 2024",SAS vs. LAL,L,4,0,2,0,0,0,0
"Nov 23, 2024",SAS vs. GSW,W,13,6,2,1,0,0,1
"Nov 21, 2024",SAS vs. UTA,W,8,3,3,2,1,0,1
"Nov 19, 2024",SAS vs. OKC,W,15,3,1,3,0,0,3
"Nov 16, 2024",SAS @ DAL,L,9,2,2,2,0,0,0
"Nov 15, 2024",SAS vs. LAL,L,6,3,1,0,0,0,1
"Nov 13, 2024",SAS vs. WAS,W,13,8,1,2,0,0,1
"Nov 07, 2024",SAS vs. POR,W,22,17,1,3,0,0,2
"Nov 06, 2024",SAS @ HOU,L,20,10,4,2,0,0,1
"Nov 04, 2024",SAS @ LAC,L,18,7,0,0,1,0,1
"Nov 02, 2024",SAS vs. MIN,W,14,6,2,1,0,0,2
"Oct 31, 2024",SAS @ UTA,W,17,6,2,1,3,0,1
"Oct 30, 2024",SAS @ OKC,L,20,15,3,0,0,0,1
"Oct 28, 2024",SAS vs. HOU,L,17,15,0,1,1,0,3
"Oct 26, 2024",SAS vs. HOU,W,14,7,3,2,0,2,2
"Oct 24, 2024",SAS @ DAL,L,6,7,2,0,0,0,0
