GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 12, 2025",WAS vs. IND,L,15,12,0,6,0,0,1
"Feb 10, 2025",WAS vs. SAS,L,19,11,5,5,1,0,1
"Feb 08, 2025",WAS vs. ATL,L,23,7,3,4,1,0,2
"Feb 05, 2025",WAS @ BKN,W,17,7,1,1,1,0,1
"Feb 03, 2025",WAS @ CHA,W,22,16,4,7,0,0,2
"Feb 01, 2025",WAS @ MIN,W,21,3,5,4,0,0,0
"Jan 05, 2025",WAS vs. NOP,L,15,4,3,5,0,0,1
"Jan 03, 2025",WAS @ NOP,L,25,16,3,3,0,0,1
"Jan 01, 2025",WAS vs. CHI,W,28,12,4,6,0,1,1
"Dec 30, 2024",WAS vs. NYK,L,29,18,6,7,2,0,2
"Dec 28, 2024",WAS vs. NYK,L,30,22,3,7,1,0,5
"Dec 26, 2024",WAS vs. CHA,W,30,11,3,6,2,0,1
"Dec 23, 2024",WAS @ OKC,L,26,12,6,5,0,0,1
"Dec 21, 2024",WAS @ MIL,L,24,5,5,3,0,1,3
"Dec 19, 2024",WAS vs. CHA,W,27,25,1,6,1,0,2
"Dec 05, 2024",WAS vs. DAL,L,25,16,5,2,0,1,2
"Dec 03, 2024",WAS @ CLE,L,22,6,2,1,0,0,1
"Nov 30, 2024",WAS @ MIL,L,30,29,11,3,0,1,1
"Nov 27, 2024",WAS vs. LAC,L,22,17,1,6,2,1,3
"Nov 26, 2024",WAS vs. CHI,L,23,15,6,4,0,0,2
"Nov 24, 2024",WAS @ IND,L,25,15,1,5,1,0,1
"Nov 22, 2024",WAS vs. BOS,L,26,18,10,1,1,0,2
"Nov 18, 2024",WAS @ NYK,L,19,7,1,1,0,0,1
"Nov 17, 2024",WAS vs. DET,L,22,1,2,0,0,0,1
