GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",DET @ MIL,L,19,23,1,2,1,0,1
"Apr 11, 2025",DET vs. MIL,L,27,21,0,0,0,0,0
"Apr 10, 2025",DET vs. NYK,W,27,10,1,2,0,0,0
"Apr 07, 2025",DET vs. SAC,L,30,14,1,2,0,0,0
"Apr 05, 2025",DET vs. MEM,L,33,11,3,0,1,0,0
"Apr 04, 2025",DET @ TOR,W,31,21,4,2,1,0,0
"Apr 02, 2025",DET @ OKC,L,33,11,1,0,0,0,1
"Mar 30, 2025",DET @ MIN,L,38,27,2,0,0,0,1
"Mar 28, 2025",DET vs. CLE,W,36,19,4,4,1,0,1
"Mar 25, 2025",DET vs. SAS,W,25,13,3,3,0,0,1
"Mar 23, 2025",DET vs. NOP,W,29,13,4,2,1,0,0
"Mar 21, 2025",DET @ DAL,L,36,16,1,2,1,1,1
"Mar 19, 2025",DET @ MIA,W,29,16,1,3,0,0,0
"Mar 17, 2025",DET @ NOP,W,24,11,4,3,0,0,3
"Mar 15, 2025",DET vs. OKC,L,28,15,0,2,1,0,4
"Mar 13, 2025",DET vs. WAS,L,29,8,2,2,2,0,2
"Mar 11, 2025",DET vs. WAS,W,22,14,4,2,0,0,0
"Mar 09, 2025",DET @ POR,W,26,10,2,0,1,0,2
"Mar 08, 2025",DET @ GSW,L,28,17,2,1,4,1,1
"Mar 05, 2025",DET @ LAC,L,33,14,0,0,0,0,2
"Mar 03, 2025",DET @ UTA,W,33,15,1,1,0,0,0
"Mar 01, 2025",DET vs. BKN,W,24,18,0,1,0,0,2
"Feb 28, 2025",DET vs. DEN,L,26,16,4,3,2,0,0
"Feb 26, 2025",DET vs. BOS,W,22,26,5,2,1,1,0
"Feb 24, 2025",DET vs. LAC,W,24,9,0,1,0,0,1
"Feb 23, 2025",DET @ ATL,W,34,24,7,3,1,0,1
"Feb 21, 2025",DET @ SAS,W,23,16,0,1,2,0,2
"Feb 12, 2025",DET @ CHI,W,23,14,3,1,2,0,0
"Feb 11, 2025",DET @ CHI,W,16,24,2,0,1,0,0
"Feb 09, 2025",DET vs. CHA,W,26,17,2,0,2,0,0
"Feb 07, 2025",DET vs. PHI,W,38,36,3,1,0,0,1
"Feb 05, 2025",DET vs. CLE,L,25,2,0,1,1,0,1
"Feb 03, 2025",DET vs. ATL,L,24,18,5,2,2,0,1
"Feb 02, 2025",DET vs. CHI,W,28,19,2,5,3,0,2
"Jan 31, 2025",DET vs. DAL,W,22,9,2,0,0,0,0
"Jan 29, 2025",DET @ IND,L,29,20,2,2,1,0,0
"Jan 27, 2025",DET @ CLE,L,23,19,4,2,1,0,1
"Jan 25, 2025",DET @ ORL,L,30,18,5,2,1,0,0
"Jan 22, 2025",DET @ ATL,W,23,19,2,1,0,0,3
"Jan 20, 2025",DET @ HOU,W,30,17,0,1,2,0,2
"Jan 18, 2025",DET vs. PHX,L,25,14,2,1,2,0,1
"Jan 16, 2025",DET vs. IND,L,26,3,2,0,0,0,2
"Jan 13, 2025",DET @ NYK,W,18,22,2,1,1,0,0
"Jan 11, 2025",DET vs. TOR,W,27,18,3,2,1,0,2
"Jan 09, 2025",DET vs. GSW,L,36,21,4,2,0,0,1
"Jan 08, 2025",DET @ BKN,W,33,23,2,5,2,0,1
"Jan 06, 2025",DET vs. POR,W,29,5,3,1,2,0,1
"Jan 04, 2025",DET vs. MIN,W,33,23,2,1,3,0,1
"Jan 03, 2025",DET vs. CHA,W,31,12,2,3,1,0,1
"Jan 01, 2025",DET vs. ORL,W,22,2,6,1,0,0,4
"Dec 28, 2024",DET @ DEN,L,19,14,2,1,0,0,0
"Dec 26, 2024",DET @ SAC,W,27,22,2,2,0,0,0
"Dec 23, 2024",DET @ LAL,W,26,21,5,0,2,0,0
"Dec 21, 2024",DET @ PHX,W,27,18,2,0,3,0,2
"Dec 19, 2024",DET vs. UTA,L,35,26,2,4,1,0,0
"Dec 16, 2024",DET vs. MIA,W,41,28,3,4,0,1,2
"Dec 12, 2024",DET @ BOS,L,16,5,4,3,0,0,0
"Dec 07, 2024",DET @ NYK,W,26,23,4,1,1,0,2
"Dec 04, 2024",DET @ BOS,L,33,23,4,1,2,0,0
"Dec 03, 2024",DET vs. MIL,L,18,4,3,0,0,0,0
"Nov 30, 2024",DET vs. PHI,L,27,19,6,4,0,0,1
"Nov 29, 2024",DET @ IND,W,29,25,1,1,2,0,0
"Nov 27, 2024",DET @ MEM,L,20,10,2,3,1,0,0
"Nov 25, 2024",DET vs. TOR,W,33,14,2,5,1,0,3
"Nov 23, 2024",DET @ ORL,L,31,18,1,4,1,0,1
"Nov 21, 2024",DET @ CHA,L,34,16,6,1,0,0,1
"Nov 18, 2024",DET vs. CHI,L,30,21,4,2,1,0,0
"Nov 17, 2024",DET @ WAS,W,29,26,3,1,1,0,0
"Nov 15, 2024",DET @ TOR,W,30,20,3,0,1,0,0
"Nov 13, 2024",DET @ MIL,L,44,26,10,4,0,0,2
"Nov 12, 2024",DET vs. MIA,W,35,21,5,1,1,0,4
"Nov 10, 2024",DET vs. HOU,L,27,15,2,3,1,0,3
"Nov 08, 2024",DET vs. ATL,W,34,22,2,1,0,0,2
"Nov 06, 2024",DET @ CHA,L,24,5,1,5,2,0,0
"Nov 04, 2024",DET vs. LAL,W,28,7,4,1,0,0,1
"Nov 03, 2024",DET @ BKN,W,29,18,1,1,2,0,0
"Nov 01, 2024",DET vs. NYK,L,25,8,0,1,1,0,3
"Oct 30, 2024",DET @ PHI,W,26,11,3,3,0,0,1
"Oct 28, 2024",DET @ MIA,L,19,3,0,1,1,0,1
"Oct 26, 2024",DET vs. BOS,L,20,17,3,0,0,0,1
"Oct 25, 2024",DET @ CLE,L,29,13,4,1,0,1,1
"Oct 23, 2024",DET vs. IND,L,28,14,3,1,0,0,1
