GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 01, 2025",DAL vs. MIL,L,22,18,9,0,0,0,0
"Feb 27, 2025",DAL vs. CHA,W,31,20,11,0,3,2,0
"Feb 23, 2025",DAL @ GSW,L,9,7,7,0,0,0,3
"Feb 21, 2025",DAL vs. NOP,W,12,2,4,2,1,1,2
"Dec 04, 2024",IND @ BKN,L,0,0,0,0,0,0,0
"Dec 03, 2024",IND @ TOR,L,3,0,0,0,0,0,1
"Dec 01, 2024",IND @ MEM,L,3,0,0,0,0,0,0
"Nov 29, 2024",IND vs. DET,L,5,0,1,0,1,0,2
"Nov 27, 2024",IND vs. POR,W,4,2,1,0,0,0,0
"Nov 25, 2024",IND vs. NOP,W,10,6,2,0,1,0,3
"Nov 24, 2024",IND vs. WAS,W,12,15,4,0,0,1,0
"Nov 22, 2024",IND @ MIL,L,2,0,1,0,0,0,0
"Nov 20, 2024",IND @ HOU,L,7,6,4,0,0,0,0
