GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",DEN @ HOU,W,31,18,7,7,2,1,1
"Apr 11, 2025",DEN vs. MEM,W,41,26,16,13,2,0,5
"Apr 09, 2025",DEN @ SAC,W,38,20,12,11,4,0,1
"Apr 06, 2025",DEN vs. IND,L,39,41,15,13,2,1,4
"Apr 04, 2025",DEN @ GSW,L,37,33,12,9,2,0,6
"Apr 01, 2025",DEN vs. MIN,L,53,61,10,10,2,0,4
"Mar 28, 2025",DEN vs. UTA,W,32,27,14,6,4,0,3
"Mar 26, 2025",DEN vs. MIL,W,38,39,10,10,0,0,3
"Mar 15, 2025",DEN vs. WAS,L,39,40,13,9,1,2,3
"Mar 14, 2025",DEN vs. LAL,W,38,28,7,5,3,1,4
"Mar 12, 2025",DEN vs. MIN,L,38,34,8,4,1,0,3
"Mar 10, 2025",DEN @ OKC,W,40,35,18,8,1,1,1
"Mar 09, 2025",DEN @ OKC,L,41,24,13,9,1,3,2
"Mar 07, 2025",DEN vs. PHX,W,45,31,21,22,3,0,4
"Mar 05, 2025",DEN vs. SAC,W,38,22,15,6,1,0,7
"Mar 02, 2025",DEN @ BOS,L,39,20,14,9,2,0,2
"Feb 28, 2025",DEN @ DET,W,34,23,17,15,1,2,7
"Feb 27, 2025",DEN @ MIL,L,38,32,14,10,1,0,5
"Feb 24, 2025",DEN @ IND,W,39,18,9,19,3,1,4
"Feb 22, 2025",DEN vs. LAL,L,35,12,13,10,1,0,6
"Feb 20, 2025",DEN vs. CHA,W,37,29,17,9,1,1,2
"Feb 12, 2025",DEN vs. POR,W,36,26,15,10,2,0,4
"Feb 10, 2025",DEN vs. POR,W,31,40,7,8,3,1,5
"Feb 08, 2025",DEN @ PHX,W,29,26,11,9,0,0,2
"Feb 06, 2025",DEN vs. ORL,W,31,28,10,12,2,0,3
"Feb 05, 2025",DEN vs. NOP,W,36,38,8,10,1,1,1
"Feb 03, 2025",DEN vs. NOP,W,36,27,14,10,1,2,1
"Feb 01, 2025",DEN @ CHA,W,37,28,13,17,4,1,4
"Jan 31, 2025",DEN @ PHI,W,37,28,9,13,2,0,6
"Jan 29, 2025",DEN @ NYK,L,33,17,6,6,2,1,2
"Jan 27, 2025",DEN @ CHI,L,40,33,12,14,1,1,4
"Jan 25, 2025",DEN @ MIN,L,32,20,3,11,0,0,7
"Jan 23, 2025",DEN vs. SAC,W,37,35,22,17,1,2,1
"Jan 21, 2025",DEN vs. PHI,W,30,27,13,10,4,1,2
"Jan 19, 2025",DEN @ ORL,W,30,20,14,10,3,3,2
"Jan 17, 2025",DEN @ MIA,W,31,24,12,10,1,0,2
"Jan 14, 2025",DEN @ DAL,W,29,10,14,10,2,0,1
"Jan 12, 2025",DEN @ DAL,W,39,19,18,9,3,0,4
"Jan 10, 2025",DEN vs. BKN,W,38,35,12,15,4,0,1
"Jan 04, 2025",DEN @ SAS,W,43,46,9,10,2,2,2
"Jan 03, 2025",DEN vs. SAS,L,37,41,18,9,2,0,2
"Jan 01, 2025",DEN vs. ATL,W,30,23,17,15,0,1,2
"Dec 30, 2024",DEN @ UTA,W,38,36,22,11,4,0,2
"Dec 28, 2024",DEN vs. DET,W,37,37,9,8,0,0,2
"Dec 27, 2024",DEN vs. CLE,L,36,27,14,13,3,0,1
"Dec 25, 2024",DEN @ PHX,L,38,25,15,2,2,0,2
"Dec 23, 2024",DEN vs. PHX,W,30,32,2,7,0,0,1
"Dec 22, 2024",DEN @ NOP,W,43,27,13,10,1,1,3
"Dec 19, 2024",DEN @ POR,L,37,34,6,8,1,0,3
"Dec 16, 2024",DEN @ SAC,W,38,20,14,13,2,1,5
"Dec 13, 2024",DEN vs. LAC,W,30,16,7,2,2,0,5
"Dec 08, 2024",DEN @ ATL,W,35,48,14,8,3,0,3
"Dec 07, 2024",DEN @ WAS,L,39,56,16,8,1,0,5
"Dec 05, 2024",DEN @ CLE,L,39,27,20,11,3,0,3
"Dec 03, 2024",DEN vs. GSW,W,40,38,10,6,5,1,4
"Dec 01, 2024",DEN @ LAC,L,39,28,14,11,1,1,5
"Nov 27, 2024",DEN @ UTA,W,34,30,10,7,1,1,1
"Nov 25, 2024",DEN vs. NYK,L,32,22,7,7,1,0,0
"Nov 23, 2024",DEN @ LAL,W,37,34,13,8,2,1,6
"Nov 22, 2024",DEN vs. DAL,L,39,33,17,10,0,0,3
"Nov 10, 2024",DEN vs. DAL,W,38,37,18,15,3,0,4
"Nov 08, 2024",DEN vs. MIA,W,40,30,11,14,2,0,5
"Nov 06, 2024",DEN vs. OKC,W,39,23,20,16,2,2,5
"Nov 04, 2024",DEN vs. TOR,W,38,28,14,13,1,2,7
"Nov 02, 2024",DEN vs. UTA,W,30,27,16,9,1,0,5
"Nov 01, 2024",DEN @ MIN,L,40,26,9,13,3,1,3
"Oct 29, 2024",DEN @ BKN,W,41,29,18,16,0,1,1
"Oct 28, 2024",DEN @ TOR,W,44,40,10,4,1,2,3
"Oct 26, 2024",DEN vs. LAC,L,37,41,9,4,2,1,5
"Oct 24, 2024",DEN vs. OKC,L,35,16,12,13,2,1,3
