GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 29, 2025",BKN @ WAS,W,19,13,5,1,0,0,0
"Mar 26, 2025",BKN vs. TOR,L,28,5,5,2,2,1,4
"Mar 24, 2025",BKN vs. DAL,L,22,6,6,2,0,0,0
"Mar 22, 2025",BKN @ IND,L,26,5,5,1,0,0,2
"Mar 20, 2025",BKN @ IND,L,19,10,3,1,1,0,2
"Mar 18, 2025",BKN @ BOS,L,18,1,2,1,0,0,0
"Mar 11, 2025",BKN @ CLE,L,17,12,1,1,0,0,0
"Mar 10, 2025",BKN vs. LAL,W,23,19,5,0,1,1,0
"Mar 08, 2025",BKN @ CHA,L,18,0,4,1,1,0,0
"Jan 27, 2025",BKN vs. SAC,L,12,6,1,0,0,0,1
"Jan 25, 2025",BKN vs. MIA,L,34,13,4,0,2,1,1
"Jan 22, 2025",BKN vs. PHX,L,34,7,5,0,1,1,3
"Jan 21, 2025",BKN vs. NYK,L,26,10,6,1,1,2,0
"Jan 19, 2025",BKN @ OKC,L,28,9,4,0,1,1,0
"Jan 17, 2025",BKN @ LAL,L,31,11,5,1,0,1,3
"Jan 15, 2025",BKN @ LAC,L,22,4,2,0,0,0,2
"Jan 14, 2025",BKN @ POR,W,29,20,5,2,2,1,2
"Jan 12, 2025",BKN @ UTA,L,32,0,5,1,0,0,0
"Jan 10, 2025",BKN @ DEN,L,30,14,5,2,1,0,0
"Jan 08, 2025",BKN vs. DET,L,37,29,6,3,2,0,1
"Jan 06, 2025",BKN vs. IND,L,29,14,4,1,0,0,1
"Jan 04, 2025",BKN vs. PHI,L,19,3,6,2,1,0,4
"Jan 01, 2025",BKN @ TOR,L,28,5,3,0,1,0,0
"Dec 29, 2024",BKN @ ORL,L,28,13,2,0,0,0,2
"Dec 27, 2024",BKN vs. SAS,L,24,5,5,1,1,0,1
"Dec 26, 2024",BKN @ MIL,W,31,20,4,2,1,0,2
"Dec 23, 2024",BKN @ MIA,L,29,19,5,1,0,0,1
"Dec 21, 2024",BKN vs. UTA,L,29,10,6,1,0,0,0
"Dec 19, 2024",BKN @ TOR,W,37,11,9,1,0,0,0
"Dec 16, 2024",BKN vs. CLE,L,17,2,2,1,0,1,2
"Dec 13, 2024",BKN @ MEM,L,18,12,4,0,0,2,1
"Nov 24, 2024",BKN @ SAC,W,22,18,2,0,1,1,2
"Nov 22, 2024",BKN @ PHI,L,19,2,4,0,0,2,0
"Nov 19, 2024",BKN vs. CHA,W,14,5,3,0,0,0,0
"Nov 17, 2024",BKN @ NYK,L,17,13,2,1,0,0,1
"Nov 15, 2024",BKN @ NYK,L,13,5,1,2,0,0,2
"Nov 13, 2024",BKN vs. BOS,L,18,9,2,2,0,0,1
"Nov 11, 2024",BKN @ NOP,W,20,15,7,1,0,1,1
"Nov 09, 2024",BKN @ CLE,L,14,2,3,1,2,1,1
"Nov 03, 2024",BKN vs. DET,L,17,4,2,1,0,0,0
"Nov 01, 2024",BKN vs. CHI,W,15,7,4,1,0,2,0
"Oct 30, 2024",BKN @ MEM,W,14,5,2,0,0,0,0
"Oct 29, 2024",BKN vs. DEN,L,16,0,3,1,0,1,0
"Oct 27, 2024",BKN vs. MIL,W,21,13,4,0,0,0,1
"Oct 25, 2024",BKN @ ORL,L,16,7,2,0,1,0,1
"Oct 23, 2024",BKN @ ATL,L,15,7,6,0,1,1,1
