GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",TOR @ SAS,L,38,14,2,1,4,1,1
"Apr 11, 2025",TOR @ DAL,L,36,24,6,0,3,0,0
"Apr 06, 2025",TOR @ BKN,W,30,15,3,2,2,0,4
"Apr 03, 2025",TOR vs. POR,L,21,15,3,1,2,0,0
"Mar 30, 2025",TOR @ PHI,W,25,9,3,2,1,0,2
"Mar 26, 2025",TOR @ BKN,W,22,12,8,2,0,0,1
"Mar 24, 2025",TOR @ WAS,W,30,9,4,3,0,0,2
"Mar 23, 2025",TOR vs. SAS,L,30,2,7,3,0,0,0
"Mar 20, 2025",TOR @ GSW,L,26,9,5,1,0,1,2
"Mar 16, 2025",TOR @ POR,L,25,19,3,2,1,0,0
"Feb 28, 2025",TOR @ CHI,L,1,3,0,0,0,0,0
"Feb 26, 2025",TOR @ IND,L,31,10,4,0,1,0,3
"Feb 25, 2025",TOR vs. BOS,L,24,8,5,1,1,0,0
"Feb 23, 2025",TOR vs. PHX,W,19,5,2,0,1,0,0
"Feb 21, 2025",TOR vs. MIA,L,18,2,3,2,1,0,2
"Feb 12, 2025",TOR vs. CLE,L,25,15,3,0,0,1,0
"Feb 11, 2025",TOR @ PHI,W,27,11,4,1,0,0,2
"Feb 09, 2025",TOR @ HOU,L,32,11,5,2,0,0,1
"Feb 07, 2025",TOR @ OKC,L,30,8,8,1,2,0,0
"Feb 05, 2025",TOR vs. MEM,L,22,14,3,2,2,0,0
"Feb 04, 2025",TOR vs. NYK,L,23,7,3,0,1,1,0
"Feb 02, 2025",TOR vs. LAC,W,20,12,5,3,1,3,0
"Jan 31, 2025",TOR vs. CHI,L,22,4,2,1,1,1,1
"Jan 29, 2025",TOR @ WAS,W,24,12,3,1,3,1,2
"Jan 27, 2025",TOR vs. NOP,W,12,2,1,0,0,0,1
"Jan 15, 2025",TOR vs. BOS,W,12,5,4,1,0,0,0
"Jan 13, 2025",TOR vs. GSW,W,25,12,3,0,0,2,0
"Jan 08, 2025",TOR @ NYK,L,9,4,0,1,1,0,0
"Jan 06, 2025",TOR vs. MIL,L,24,2,4,1,1,1,0
"Jan 03, 2025",TOR vs. ORL,L,33,15,3,1,0,0,0
"Jan 01, 2025",TOR vs. BKN,W,37,14,3,2,1,2,1
"Dec 31, 2024",TOR @ BOS,L,25,2,3,1,0,1,3
"Dec 29, 2024",TOR vs. ATL,L,18,3,4,3,0,0,2
"Dec 26, 2024",TOR @ MEM,L,25,10,0,2,0,0,0
"Dec 23, 2024",TOR @ NYK,L,20,4,2,1,0,0,0
"Dec 22, 2024",TOR vs. HOU,L,32,15,5,1,1,0,1
"Dec 19, 2024",TOR vs. BKN,L,36,20,5,1,1,0,0
"Dec 16, 2024",TOR vs. CHI,L,31,15,3,0,0,1,0
"Dec 12, 2024",TOR @ MIA,L,30,13,3,0,1,0,0
"Dec 09, 2024",TOR vs. NYK,L,32,7,5,4,1,0,1
"Dec 07, 2024",TOR vs. DAL,L,20,4,2,0,0,0,1
"Dec 05, 2024",TOR vs. OKC,L,22,5,0,2,0,0,0
"Dec 03, 2024",TOR vs. IND,W,36,13,3,2,2,1,1
"Dec 01, 2024",TOR vs. MIA,W,38,7,5,3,0,1,0
"Nov 29, 2024",TOR @ MIA,L,32,13,5,3,0,0,0
"Nov 27, 2024",TOR @ NOP,W,28,24,6,2,1,1,0
"Nov 25, 2024",TOR @ DET,L,24,0,1,1,1,0,1
"Nov 24, 2024",TOR @ CLE,L,27,9,5,1,0,0,1
"Nov 21, 2024",TOR vs. MIN,W,27,4,0,1,1,0,1
"Nov 18, 2024",TOR vs. IND,W,33,11,4,6,1,3,2
"Nov 16, 2024",TOR @ BOS,L,39,13,6,3,0,1,1
"Nov 15, 2024",TOR vs. DET,L,36,9,3,1,2,0,1
"Nov 12, 2024",TOR @ MIL,L,35,8,7,1,2,1,3
"Nov 10, 2024",TOR @ LAL,L,33,16,6,1,0,1,2
"Nov 09, 2024",TOR @ LAC,L,36,21,7,3,2,0,0
"Nov 06, 2024",TOR @ SAC,L,32,12,2,2,1,0,0
"Nov 04, 2024",TOR @ DEN,L,33,16,5,4,2,0,0
"Nov 02, 2024",TOR vs. SAC,W,36,22,5,2,2,1,1
"Nov 01, 2024",TOR vs. LAL,L,34,8,2,3,1,0,0
"Oct 30, 2024",TOR @ CHA,L,29,10,3,3,0,2,2
"Oct 28, 2024",TOR vs. DEN,L,29,15,7,0,1,1,0
"Oct 26, 2024",TOR @ MIN,L,31,19,2,2,2,0,4
"Oct 25, 2024",TOR vs. PHI,W,26,12,8,1,2,0,1
"Oct 23, 2024",TOR vs. CLE,L,25,3,6,1,1,1,0
