GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",UTA @ MIN,L,25,18,12,2,3,1,3
"Apr 11, 2025",UTA vs. OKC,L,25,10,14,0,1,0,1
"Apr 09, 2025",UTA vs. POR,W,19,17,10,0,0,0,0
"Mar 31, 2025",UTA @ CHA,L,24,6,11,1,2,0,1
"Mar 28, 2025",UTA @ DEN,L,26,7,10,1,1,0,2
"Mar 25, 2025",UTA vs. MEM,L,18,6,3,0,0,0,0
"Mar 19, 2025",UTA vs. WAS,W,18,4,10,2,0,0,1
"Mar 05, 2025",UTA @ WAS,L,19,6,13,0,0,0,0
"Mar 03, 2025",UTA vs. DET,L,6,1,3,1,0,0,1
"Mar 02, 2025",UTA vs. NOP,L,20,16,13,1,1,0,0
"Feb 08, 2025",UTA @ LAC,L,8,2,3,1,1,0,0
"Jan 17, 2025",UTA @ NOP,L,12,8,6,0,0,0,0
"Jan 12, 2025",UTA vs. BKN,W,18,3,5,0,2,0,0
"Nov 27, 2024",UTA vs. DEN,L,16,3,9,0,2,0,1
