GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",DEN @ HOU,W,17,9,4,0,1,1,0
"Apr 11, 2025",DEN vs. MEM,W,20,8,5,1,0,1,0
"Apr 09, 2025",DEN @ SAC,W,25,7,4,1,0,1,1
"Apr 06, 2025",DEN vs. IND,L,22,3,1,0,0,3,2
"Apr 04, 2025",DEN @ GSW,L,33,4,3,0,0,0,1
"Apr 01, 2025",DEN vs. MIN,L,45,7,3,0,0,4,1
"Mar 28, 2025",DEN vs. UTA,W,27,8,5,4,1,3,0
"Mar 26, 2025",DEN vs. MIL,W,34,12,7,2,0,3,0
"Mar 24, 2025",DEN vs. CHI,L,39,24,6,0,0,4,0
"Mar 23, 2025",DEN @ HOU,W,21,9,5,3,1,2,0
"Mar 21, 2025",DEN @ POR,L,27,12,5,0,0,0,0
"Mar 19, 2025",DEN @ LAL,L,25,12,2,2,0,1,3
"Mar 17, 2025",DEN @ GSW,W,35,13,5,1,1,4,1
"Mar 15, 2025",DEN vs. WAS,L,23,2,3,3,1,2,1
"Mar 14, 2025",DEN vs. LAL,W,16,4,1,1,2,1,0
"Mar 12, 2025",DEN vs. MIN,L,16,0,3,1,0,1,1
"Mar 10, 2025",DEN @ OKC,W,24,16,1,0,0,2,2
"Mar 09, 2025",DEN @ OKC,L,6,0,0,0,0,0,0
"Mar 07, 2025",DEN vs. PHX,W,24,11,2,2,0,1,0
"Mar 05, 2025",DEN vs. SAC,W,17,2,3,1,0,0,0
"Jan 31, 2025",DEN @ PHI,W,27,6,4,3,0,0,1
"Jan 29, 2025",DEN @ NYK,L,19,4,1,0,0,0,1
"Jan 27, 2025",DEN @ CHI,L,24,4,5,3,3,1,2
"Jan 25, 2025",DEN @ MIN,L,18,2,3,3,1,3,0
"Jan 23, 2025",DEN vs. SAC,W,25,6,6,1,1,4,0
"Jan 21, 2025",DEN vs. PHI,W,18,3,1,1,1,1,0
"Jan 19, 2025",DEN @ ORL,W,12,4,2,1,0,3,1
"Jan 17, 2025",DEN @ MIA,W,18,3,1,2,1,0,0
"Jan 15, 2025",DEN vs. HOU,L,23,10,3,0,0,3,1
"Jan 14, 2025",DEN @ DAL,W,27,9,5,1,1,1,1
"Jan 12, 2025",DEN @ DAL,W,33,10,6,1,1,1,2
"Jan 10, 2025",DEN vs. BKN,W,35,10,7,5,2,2,5
"Jan 08, 2025",DEN vs. LAC,W,24,9,4,1,1,2,1
"Jan 07, 2025",DEN vs. BOS,L,34,14,4,0,1,4,1
"Jan 04, 2025",DEN @ SAS,W,34,8,8,3,0,2,1
"Jan 03, 2025",DEN vs. SAS,L,19,2,2,2,2,2,0
"Jan 01, 2025",DEN vs. ATL,W,24,11,0,1,2,1,2
"Dec 30, 2024",DEN @ UTA,W,26,13,4,1,0,1,1
"Dec 28, 2024",DEN vs. DET,W,23,5,1,3,2,1,0
"Dec 27, 2024",DEN vs. CLE,L,26,18,1,2,1,1,0
"Dec 25, 2024",DEN @ PHX,L,24,2,3,2,0,1,0
"Dec 23, 2024",DEN vs. PHX,W,21,4,6,1,0,1,2
"Dec 22, 2024",DEN @ NOP,W,18,5,5,5,0,2,1
"Dec 19, 2024",DEN @ POR,L,17,8,2,1,0,0,1
"Dec 16, 2024",DEN @ SAC,W,17,9,4,1,1,0,1
"Dec 13, 2024",DEN vs. LAC,W,26,14,5,0,2,0,0
"Dec 08, 2024",DEN @ ATL,W,18,2,1,0,1,2,0
"Dec 07, 2024",DEN @ WAS,L,26,4,2,2,1,1,1
"Dec 05, 2024",DEN @ CLE,L,18,4,4,1,2,0,1
"Dec 03, 2024",DEN vs. GSW,W,18,7,1,2,0,1,1
"Dec 01, 2024",DEN @ LAC,L,29,13,5,2,1,1,1
"Nov 27, 2024",DEN @ UTA,W,28,9,3,2,1,1,0
"Nov 25, 2024",DEN vs. NYK,L,22,6,0,0,0,0,1
"Nov 23, 2024",DEN @ LAL,W,35,11,5,2,0,1,1
"Nov 22, 2024",DEN vs. DAL,L,40,15,5,3,0,3,2
"Nov 19, 2024",DEN @ MEM,W,25,15,5,2,1,1,4
"Nov 17, 2024",DEN @ MEM,L,28,7,5,2,1,1,0
"Nov 15, 2024",DEN @ NOP,L,29,18,5,0,1,0,0
"Nov 10, 2024",DEN vs. DAL,W,40,16,5,1,0,1,0
"Nov 08, 2024",DEN vs. MIA,W,33,16,5,1,1,1,0
"Nov 06, 2024",DEN vs. OKC,W,33,10,3,3,1,3,2
"Nov 04, 2024",DEN vs. TOR,W,31,16,3,1,2,2,1
"Nov 02, 2024",DEN vs. UTA,W,20,8,4,1,3,0,2
"Nov 01, 2024",DEN @ MIN,L,14,2,1,0,1,0,0
"Oct 29, 2024",DEN @ BKN,W,20,7,2,0,0,0,0
"Oct 28, 2024",DEN @ TOR,W,15,6,2,2,0,1,1
"Oct 26, 2024",DEN vs. LAC,L,12,1,0,0,1,0,0
"Oct 24, 2024",DEN vs. OKC,L,15,2,6,1,0,2,0
