GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",IND @ CLE,W,29,13,5,6,3,2,0
"Apr 11, 2025",IND vs. ORL,L,17,10,1,3,1,0,1
"Apr 04, 2025",IND vs. UTA,W,2,0,0,0,0,0,0
"Mar 10, 2025",IND @ CHI,L,8,2,2,3,1,0,1
"Feb 26, 2025",IND vs. TOR,W,4,0,1,1,0,0,1
"Jan 29, 2025",IND vs. DET,W,2,3,0,0,0,0,0
"Jan 25, 2025",IND @ SAS,W,3,0,2,1,1,0,0
"Jan 23, 2025",IND vs. SAS,L,2,0,1,0,0,0,1
"Jan 18, 2025",IND vs. PHI,W,1,0,0,0,0,0,0
"Jan 14, 2025",IND vs. CLE,L,1,2,0,0,1,0,0
"Jan 10, 2025",IND vs. GSW,W,2,0,0,0,0,0,1
