GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 11, 2025",BKN @ MIN,L,32,11,2,3,3,0,0
"Apr 10, 2025",BKN vs. ATL,L,13,0,1,4,1,0,1
"Apr 08, 2025",BKN vs. NOP,W,31,0,4,10,3,0,1
"Apr 06, 2025",BKN vs. TOR,L,36,14,4,5,3,0,2
"Apr 03, 2025",BKN vs. MIN,L,18,2,2,2,3,0,0
"Mar 28, 2025",BKN vs. LAC,L,7,6,0,1,1,0,1
"Mar 16, 2025",BKN vs. ATL,W,15,5,3,1,0,0,0
"Mar 15, 2025",BKN vs. BOS,L,19,0,2,3,0,0,0
"Mar 10, 2025",BKN vs. LAL,W,9,3,1,0,0,0,0
"Mar 01, 2025",BKN @ DET,L,27,3,1,1,3,0,1
"Feb 28, 2025",BKN vs. POR,L,11,0,2,0,2,0,1
"Feb 26, 2025",BKN vs. OKC,L,14,2,2,1,1,0,2
"Feb 24, 2025",BKN @ WAS,L,7,0,0,1,0,0,0
"Feb 22, 2025",BKN @ PHI,W,10,2,0,0,0,0,1
"Feb 12, 2025",BKN vs. PHI,W,0,0,0,0,0,0,0
"Feb 10, 2025",BKN vs. CHA,W,5,0,0,0,0,0,1
"Feb 05, 2025",BKN vs. WAS,L,14,1,0,2,1,0,1
"Feb 04, 2025",BKN vs. HOU,W,22,2,2,4,2,0,1
"Jan 29, 2025",BKN @ CHA,W,10,2,0,2,2,0,0
"Jan 27, 2025",BKN vs. SAC,L,12,0,1,2,0,0,0
"Jan 22, 2025",BKN vs. PHX,L,21,4,3,3,1,0,0
"Jan 19, 2025",BKN @ OKC,L,5,3,0,2,1,0,0
"Jan 15, 2025",BKN @ LAC,L,21,5,4,3,2,0,0
"Jan 14, 2025",BKN @ POR,W,1,0,0,1,0,0,0
"Jan 12, 2025",BKN @ UTA,L,12,4,1,2,0,0,0
"Jan 10, 2025",BKN @ DEN,L,12,3,1,2,0,0,1
"Jan 08, 2025",BKN vs. DET,L,24,2,1,5,2,1,1
"Jan 06, 2025",BKN vs. IND,L,18,9,0,0,0,0,0
"Jan 04, 2025",BKN vs. PHI,L,18,7,1,0,1,1,4
"Jan 01, 2025",BKN @ TOR,L,4,1,0,1,0,0,0
"Dec 27, 2024",BKN vs. SAS,L,14,0,0,1,0,0,1
"Dec 26, 2024",BKN @ MIL,W,1,0,0,0,0,0,0
"Dec 23, 2024",BKN @ MIA,L,2,0,0,0,0,0,0
"Dec 19, 2024",BKN @ TOR,W,4,0,0,0,0,0,1
"Oct 30, 2024",GSW vs. NOP,W,1,2,1,0,0,0,0
"Oct 29, 2024",GSW vs. NOP,W,3,0,0,1,1,0,0
