GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",PHX @ SAC,L,30,12,10,3,1,1,1
"Apr 11, 2025",PHX vs. SAS,W,34,26,11,1,1,0,0
"Apr 09, 2025",PHX vs. OKC,L,27,13,7,0,2,0,1
"Apr 08, 2025",PHX vs. GSW,L,25,12,4,0,4,0,2
"Apr 06, 2025",PHX @ NYK,L,34,4,8,2,1,0,2
"Apr 04, 2025",PHX @ BOS,L,25,5,1,0,1,0,1
"Apr 01, 2025",PHX @ MIL,L,23,5,3,1,0,0,0
"Mar 30, 2025",PHX vs. HOU,L,19,2,2,0,0,1,2
"Mar 28, 2025",PHX @ MIN,L,22,9,3,1,0,1,2
"Mar 26, 2025",PHX vs. BOS,L,22,6,5,0,3,0,0
"Mar 24, 2025",PHX vs. MIL,W,30,12,9,0,0,0,2
"Mar 21, 2025",PHX vs. CLE,W,26,10,9,1,1,1,0
"Mar 19, 2025",PHX vs. CHI,W,29,16,5,0,1,1,0
"Mar 17, 2025",PHX vs. TOR,W,24,17,6,0,0,1,1
"Mar 16, 2025",PHX @ LAL,L,23,13,3,1,3,2,0
"Mar 14, 2025",PHX vs. SAC,W,33,16,5,3,4,0,1
"Mar 12, 2025",PHX @ HOU,L,17,4,2,0,0,2,0
"Mar 10, 2025",PHX @ MEM,L,0,0,0,0,0,0,0
"Mar 09, 2025",PHX @ DAL,W,2,0,1,0,1,0,0
"Mar 02, 2025",PHX vs. MIN,L,11,5,3,1,0,1,1
"Feb 28, 2025",PHX vs. NOP,W,17,5,2,0,0,0,4
"Feb 27, 2025",PHX vs. NOP,L,14,0,2,0,0,1,0
"Feb 25, 2025",PHX @ MEM,L,6,0,1,0,0,0,0
"Feb 23, 2025",PHX @ TOR,L,7,0,1,0,0,1,0
"Feb 20, 2025",PHX @ SAS,L,0,0,0,0,0,0,0
"Feb 12, 2025",PHX @ HOU,L,10,0,2,0,0,0,1
"Feb 11, 2025",PHX vs. MEM,L,5,0,1,0,0,0,0
"Feb 08, 2025",PHX vs. DEN,L,13,8,2,1,0,0,0
"Feb 07, 2025",PHX vs. UTA,W,15,6,3,0,0,1,0
"Feb 05, 2025",PHX @ OKC,L,11,2,5,0,0,0,0
"Feb 03, 2025",PHX @ POR,L,12,0,4,0,0,0,2
"Feb 01, 2025",PHX @ POR,L,20,2,5,1,0,0,1
"Jan 31, 2025",PHX @ GSW,W,13,4,1,2,0,0,0
"Jan 29, 2025",PHX vs. MIN,L,9,5,4,2,0,0,0
"Jan 25, 2025",PHX vs. WAS,W,2,1,1,0,0,0,0
"Jan 22, 2025",PHX @ BKN,W,23,6,2,3,2,0,0
"Jan 20, 2025",PHX @ CLE,L,20,4,3,1,0,0,0
"Jan 18, 2025",PHX @ DET,W,29,12,8,1,0,0,0
"Jan 16, 2025",PHX @ WAS,W,30,18,11,1,0,1,1
"Jan 14, 2025",PHX @ ATL,L,22,14,1,0,1,1,0
"Jan 12, 2025",PHX vs. CHA,W,27,11,6,2,1,0,0
"Jan 11, 2025",PHX vs. UTA,W,24,10,5,2,0,1,0
"Jan 09, 2025",PHX vs. ATL,W,16,6,7,0,0,1,0
"Jan 07, 2025",PHX @ CHA,L,25,6,4,0,0,1,1
"Jan 06, 2025",PHX @ PHI,W,27,15,4,1,0,0,0
"Jan 04, 2025",PHX @ IND,L,30,13,4,1,0,1,0
"Dec 31, 2024",PHX vs. MEM,L,35,8,9,3,2,2,0
"Dec 28, 2024",PHX @ GSW,L,27,15,4,1,0,2,0
"Dec 27, 2024",PHX vs. DAL,L,21,5,5,1,3,1,0
"Dec 25, 2024",PHX vs. DEN,W,21,5,3,1,0,0,0
"Dec 23, 2024",PHX @ DEN,L,30,5,4,2,0,2,1
"Dec 21, 2024",PHX vs. DET,L,14,5,2,1,1,1,1
"Dec 19, 2024",PHX vs. IND,L,12,2,0,1,0,0,0
"Dec 15, 2024",PHX vs. POR,W,15,4,2,0,0,0,1
"Dec 13, 2024",PHX @ UTA,W,13,13,1,0,1,2,1
"Dec 03, 2024",PHX vs. SAS,W,12,3,4,0,1,0,0
"Nov 30, 2024",PHX vs. GSW,W,20,2,4,2,0,2,2
"Nov 27, 2024",PHX vs. BKN,L,9,0,0,0,0,1,0
"Nov 26, 2024",PHX vs. LAL,W,15,5,4,1,1,0,0
"Nov 20, 2024",PHX vs. NYK,L,22,8,2,3,1,0,0
"Nov 18, 2024",PHX vs. ORL,L,21,5,6,1,0,0,1
"Nov 17, 2024",PHX @ MIN,L,18,2,0,0,1,0,3
"Nov 15, 2024",PHX @ OKC,L,25,9,5,0,1,1,1
"Nov 13, 2024",PHX @ SAC,L,28,10,3,1,1,2,0
"Nov 12, 2024",PHX @ UTA,W,20,8,3,0,0,1,0
"Nov 10, 2024",PHX vs. SAC,L,21,8,2,0,1,1,0
"Nov 06, 2024",PHX vs. MIA,W,9,7,1,1,0,0,1
"Nov 04, 2024",PHX vs. PHI,W,10,0,4,1,0,0,0
"Nov 02, 2024",PHX vs. POR,W,14,0,2,2,1,0,1
"Oct 31, 2024",PHX @ LAC,W,34,16,4,0,1,0,0
"Oct 28, 2024",PHX vs. LAL,W,15,7,1,0,1,1,0
"Oct 26, 2024",PHX vs. DAL,W,21,13,1,1,0,0,1
"Oct 25, 2024",PHX @ LAL,L,14,9,3,1,0,0,0
"Oct 23, 2024",PHX @ LAC,W,9,2,2,1,0,1,0
