GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",POR vs. LAL,W,29,7,2,4,1,1,2
"Apr 11, 2025",POR vs. GSW,L,25,3,8,5,0,0,6
"Mar 07, 2025",POR @ OKC,L,1,0,1,0,0,0,0
"Mar 03, 2025",POR @ PHI,W,1,0,0,0,0,0,0
"Feb 28, 2025",POR @ BKN,W,4,0,0,0,0,0,1
"Jan 31, 2025",SAS vs. MIL,W,4,0,0,0,0,0,0
"Jan 25, 2025",SAS vs. IND,L,2,1,1,0,0,0,0
"Jan 23, 2025",SAS @ IND,W,5,2,0,0,1,0,1
"Jan 19, 2025",SAS @ MIA,L,2,4,1,0,0,0,0
"Dec 31, 2024",SAS vs. LAC,W,6,2,0,1,0,0,0
"Dec 21, 2024",SAS vs. POR,W,3,2,0,0,0,0,0
"Dec 15, 2024",SAS vs. MIN,L,3,6,0,0,0,0,0
"Dec 06, 2024",SAS vs. SAC,L,4,0,2,0,0,0,0
"Dec 05, 2024",SAS vs. CHI,L,2,0,0,0,0,0,0
"Nov 27, 2024",SAS vs. LAL,L,4,0,0,1,0,0,0
"Nov 16, 2024",SAS @ DAL,L,6,0,2,0,0,0,0
"Nov 11, 2024",SAS vs. SAC,W,1,0,0,0,0,0,0
"Nov 07, 2024",SAS vs. POR,W,0,0,1,0,0,0,0
"Nov 06, 2024",SAS @ HOU,L,8,5,2,2,0,0,1
"Nov 02, 2024",SAS vs. MIN,W,1,0,0,0,0,0,0
"Oct 31, 2024",SAS @ UTA,W,0,0,0,1,0,0,0
"Oct 30, 2024",SAS @ OKC,L,3,0,1,1,0,0,0
