GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",HOU vs. DEN,L,17,4,6,1,0,0,1
"Apr 06, 2025",HOU @ GSW,W,17,2,8,1,0,2,0
"Apr 04, 2025",HOU vs. OKC,W,23,8,12,0,2,1,0
"Mar 31, 2025",HOU @ LAL,L,16,4,7,0,1,0,3
"Mar 30, 2025",HOU @ PHX,W,12,6,3,0,0,0,0
"Mar 25, 2025",HOU vs. ATL,W,25,7,7,1,0,0,1
"Mar 23, 2025",HOU vs. DEN,L,22,14,12,2,0,3,1
"Mar 21, 2025",HOU @ MIA,W,20,4,8,1,1,0,1
"Mar 19, 2025",HOU @ ORL,W,23,3,6,0,1,1,4
"Mar 17, 2025",HOU vs. PHI,W,0,0,0,0,0,0,0
"Mar 15, 2025",HOU vs. CHI,W,22,4,9,3,1,0,1
"Mar 12, 2025",HOU vs. PHX,W,11,1,4,1,0,0,0
"Mar 10, 2025",HOU vs. ORL,W,23,11,17,1,0,0,3
"Mar 08, 2025",HOU vs. NOP,W,18,6,8,2,2,2,1
"Mar 06, 2025",HOU @ NOP,W,19,3,8,6,1,0,2
"Mar 04, 2025",HOU @ IND,L,15,3,3,1,0,0,0
"Mar 01, 2025",HOU vs. SAC,L,8,2,2,1,0,0,0
"Feb 26, 2025",HOU vs. SAS,W,19,4,5,5,2,2,1
"Feb 25, 2025",HOU vs. MIL,W,0,0,0,0,0,0,0
"Feb 21, 2025",HOU vs. MIN,W,5,0,0,0,0,0,0
"Feb 13, 2025",HOU vs. GSW,L,6,0,3,0,1,0,1
"Feb 12, 2025",HOU vs. PHX,W,10,5,6,0,0,0,1
"Feb 08, 2025",HOU @ DAL,L,22,2,12,1,0,0,0
"Feb 04, 2025",HOU @ BKN,L,13,4,1,1,0,0,0
"Feb 03, 2025",HOU @ NYK,L,26,8,13,1,0,1,1
"Feb 01, 2025",HOU vs. BKN,L,25,11,7,0,1,3,0
"Jan 30, 2025",HOU @ MEM,L,23,11,10,3,1,0,1
"Jan 27, 2025",HOU @ BOS,W,14,4,4,0,0,0,2
"Jan 25, 2025",HOU @ CLE,W,15,14,4,2,1,1,1
"Jan 22, 2025",HOU vs. CLE,W,19,3,11,2,0,2,1
"Jan 18, 2025",HOU @ POR,W,17,2,9,2,1,1,0
"Jan 16, 2025",HOU @ SAC,L,14,5,5,2,0,2,0
"Jan 15, 2025",HOU @ DEN,W,7,2,3,1,0,1,1
"Jan 13, 2025",HOU vs. MEM,W,13,2,7,1,0,1,2
"Jan 09, 2025",HOU @ MEM,W,12,0,9,0,0,0,2
"Jan 07, 2025",HOU @ WAS,W,11,0,6,0,0,0,1
"Jan 05, 2025",HOU vs. LAL,W,17,8,9,1,1,1,0
"Jan 03, 2025",HOU vs. BOS,L,7,6,4,1,0,0,0
"Jan 01, 2025",HOU vs. DAL,W,7,4,4,0,0,0,0
"Dec 29, 2024",HOU vs. MIA,L,12,4,9,3,0,0,0
"Dec 27, 2024",HOU vs. MIN,L,3,0,1,1,1,0,0
"Dec 26, 2024",HOU @ NOP,W,11,2,5,0,0,1,1
"Dec 23, 2024",HOU @ CHA,W,12,2,8,3,0,1,0
"Dec 19, 2024",HOU vs. NOP,W,10,2,4,1,1,0,2
"Dec 14, 2024",HOU @ OKC,L,6,4,6,0,0,0,1
"Dec 08, 2024",HOU @ LAC,W,10,4,4,0,0,0,1
"Dec 05, 2024",HOU @ GSW,L,18,6,6,3,0,1,0
"Dec 03, 2024",HOU @ SAC,L,11,1,6,0,0,0,1
"Dec 01, 2024",HOU vs. OKC,W,4,1,1,0,0,0,0
"Nov 27, 2024",HOU @ PHI,W,7,2,4,0,0,1,1
"Nov 22, 2024",HOU vs. POR,W,15,1,1,3,0,0,3
"Nov 18, 2024",HOU @ MIL,L,5,2,2,0,0,0,1
"Nov 15, 2024",HOU vs. LAC,W,7,0,0,0,1,0,1
"Nov 11, 2024",HOU vs. WAS,W,15,2,7,1,0,0,4
"Nov 08, 2024",HOU @ OKC,L,16,5,2,1,1,0,3
"Nov 04, 2024",HOU vs. NYK,W,14,4,5,3,0,0,1
"Oct 31, 2024",HOU @ DAL,W,10,0,1,3,1,0,0
"Oct 28, 2024",HOU @ SAS,W,14,6,3,0,0,0,1
