GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",DEN @ HOU,W,6,2,1,0,1,0,0
"Apr 04, 2025",DEN @ GSW,L,1,0,0,0,0,0,0
"Apr 02, 2025",DEN vs. SAS,L,20,7,2,1,0,0,2
"Mar 28, 2025",DEN vs. UTA,W,5,4,0,2,0,0,0
"Mar 12, 2025",DEN vs. MIN,L,5,1,0,1,0,0,0
"Mar 09, 2025",DEN @ OKC,L,1,0,0,0,0,0,0
"Feb 10, 2025",DEN vs. POR,W,4,4,4,0,0,0,0
"Feb 08, 2025",DEN @ PHX,W,6,0,1,1,0,0,2
"Feb 06, 2025",DEN vs. ORL,W,5,2,0,0,0,0,0
"Feb 05, 2025",DEN vs. NOP,W,2,0,0,0,0,0,0
"Jan 15, 2025",DEN vs. HOU,L,6,3,1,1,1,0,0
"Jan 14, 2025",DEN @ DAL,W,3,0,1,0,0,0,0
"Jan 08, 2025",DEN vs. LAC,W,4,0,1,2,0,0,0
"Jan 07, 2025",DEN vs. BOS,L,0,0,0,0,0,0,0
"Dec 23, 2024",DEN vs. PHX,W,4,0,0,1,0,0,0
"Dec 08, 2024",DEN @ ATL,W,3,2,0,0,0,0,0
"Nov 27, 2024",DEN @ UTA,W,2,0,0,0,0,0,0
"Nov 25, 2024",DEN vs. NYK,L,11,2,0,1,0,1,1
"Nov 23, 2024",DEN @ LAL,W,10,3,0,0,0,0,0
"Nov 22, 2024",DEN vs. DAL,L,2,0,0,0,0,0,0
"Nov 19, 2024",DEN @ MEM,W,9,0,0,1,0,0,0
"Nov 17, 2024",DEN @ MEM,L,1,0,0,0,0,0,0
"Nov 02, 2024",DEN vs. UTA,W,4,2,0,0,0,0,0
"Oct 24, 2024",DEN vs. OKC,L,2,0,1,0,0,0,0
