GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",NYK @ BKN,W,14,5,3,4,0,0,3
"Apr 02, 2025",NYK @ CLE,L,15,1,0,3,1,0,0
"Apr 01, 2025",NYK vs. PHI,W,20,7,4,7,1,1,4
"Mar 30, 2025",NYK vs. POR,W,14,0,2,3,0,1,1
"Mar 28, 2025",NYK @ MIL,W,17,5,0,5,0,0,0
"Mar 26, 2025",NYK vs. LAC,L,19,0,1,7,0,0,1
"Mar 25, 2025",NYK vs. DAL,W,19,2,1,9,0,1,0
"Mar 22, 2025",NYK vs. WAS,W,18,4,1,8,3,0,0
"Mar 20, 2025",NYK @ CHA,L,2,0,0,0,0,0,0
"Mar 19, 2025",NYK @ SAS,L,2,2,0,1,0,0,0
"Mar 17, 2025",NYK vs. MIA,W,3,2,0,1,0,0,0
"Mar 10, 2025",NYK @ SAC,W,5,0,0,0,0,0,0
"Feb 11, 2025",NYK @ IND,W,2,0,0,0,0,0,0
"Feb 01, 2025",NYK vs. LAL,L,2,0,0,1,0,0,1
"Jan 27, 2025",NYK vs. MEM,W,4,3,0,3,0,0,0
"Jan 25, 2025",NYK vs. SAC,W,2,0,0,0,0,0,0
"Jan 17, 2025",NYK vs. MIN,L,1,0,1,0,0,0,0
"Jan 12, 2025",NYK vs. MIL,W,3,0,1,2,0,0,0
"Jan 10, 2025",NYK vs. OKC,L,2,2,0,1,1,0,0
"Jan 08, 2025",NYK vs. TOR,W,2,0,0,0,0,0,1
"Jan 04, 2025",NYK @ CHI,L,2,0,0,0,0,0,0
"Jan 01, 2025",NYK vs. UTA,W,12,2,1,4,0,0,0
"Dec 30, 2024",NYK @ WAS,W,2,0,0,0,0,0,0
"Dec 23, 2024",NYK vs. TOR,W,1,0,0,0,0,0,0
"Dec 19, 2024",NYK @ MIN,W,2,0,0,0,0,0,0
"Dec 07, 2024",NYK vs. DET,L,4,3,0,0,1,0,0
"Dec 05, 2024",NYK vs. CHA,W,2,0,0,0,0,0,0
"Dec 03, 2024",NYK vs. ORL,W,3,0,0,0,0,0,0
"Dec 01, 2024",NYK vs. NOP,W,6,2,2,2,0,0,0
"Nov 25, 2024",NYK @ DEN,W,2,2,0,1,0,0,0
"Nov 23, 2024",NYK @ UTA,L,11,3,2,1,1,1,0
"Nov 20, 2024",NYK @ PHX,W,11,3,1,1,1,0,1
"Nov 18, 2024",NYK vs. WAS,W,17,5,0,3,1,0,1
"Nov 15, 2024",NYK vs. BKN,W,7,0,2,0,0,0,0
"Nov 10, 2024",NYK @ IND,L,2,0,0,0,0,0,0
"Nov 08, 2024",NYK vs. MIL,W,16,8,4,2,1,0,1
"Nov 06, 2024",NYK @ ATL,L,9,6,0,1,0,0,1
"Nov 04, 2024",NYK @ HOU,L,6,3,0,0,0,0,0
"Nov 01, 2024",NYK @ DET,W,5,4,1,0,1,0,0
"Oct 25, 2024",NYK vs. IND,W,4,4,0,0,0,0,1
"Oct 22, 2024",NYK @ BOS,L,5,3,0,0,0,0,2
