GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Apr 13, 2025",MIL vs. DET,W,30,20,4,0,1,1,2
"Apr 03, 2025",MIL @ PHI,W,1,0,0,0,0,0,0
"Mar 30, 2025",MIL vs. ATL,L,3,0,1,0,0,0,0
"Mar 28, 2025",MIL vs. NYK,L,1,3,0,0,0,0,0
"Mar 20, 2025",MIL @ LAL,W,3,0,0,0,0,0,0
"Mar 16, 2025",MIL vs. OKC,L,2,0,0,0,0,0,0
"Mar 09, 2025",MIL vs. CLE,L,3,0,0,0,0,0,0
"Mar 05, 2025",MIL vs. DAL,W,5,0,1,0,0,0,0
"Feb 05, 2025",MIL @ CHA,W,4,2,0,0,0,0,0
"Feb 03, 2025",MIL @ OKC,L,27,12,7,3,2,0,3
"Jan 25, 2025",MIL @ LAC,L,1,2,0,0,0,0,0
"Jan 23, 2025",MIL vs. MIA,W,4,6,2,0,0,0,0
"Dec 23, 2024",MIL @ CHI,W,4,2,2,0,0,0,0
"Dec 03, 2024",MIL @ DET,W,5,0,2,1,0,1,1
"Nov 22, 2024",MIL vs. IND,W,1,0,0,0,0,0,0
"Nov 12, 2024",MIL vs. TOR,W,2,3,1,0,0,0,0
"Nov 08, 2024",MIL @ NYK,L,8,10,2,0,0,2,1
"Nov 07, 2024",MIL vs. UTA,W,3,0,0,0,0,0,0
"Oct 31, 2024",MIL @ MEM,L,5,0,0,0,0,0,1
"Oct 28, 2024",MIL @ BOS,L,3,0,1,0,0,0,0
"Oct 27, 2024",MIL @ BKN,L,3,2,1,0,0,0,0
"Oct 25, 2024",MIL vs. CHI,L,2,0,0,0,0,0,0
"Oct 23, 2024",MIL @ PHI,W,2,5,1,0,0,0,0
