GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 04, 2026",OKC @ NYK,W,12,3,4,1,2,0,1
"Mar 03, 2026",OKC @ CHI,W,19,8,4,1,2,0,1
"Mar 01, 2026",OKC @ DAL,W,22,4,6,1,0,1,1
"Feb 27, 2026",OKC vs. DEN,W,28,12,1,1,2,0,1
"Feb 24, 2026",OKC @ TOR,W,23,16,2,4,2,0,4
"Feb 20, 2026",OKC vs. BKN,W,11,0,0,3,1,0,1
"Feb 12, 2026",OKC vs. MIL,L,20,9,3,1,1,0,2
"Feb 11, 2026",OKC @ PHX,W,8,0,1,0,0,0,0
"Feb 09, 2026",OKC @ LAL,W,24,17,1,2,1,0,0
"Feb 07, 2026",OKC vs. HOU,L,26,8,2,1,2,1,1
"Feb 03, 2026",OKC vs. ORL,W,19,6,0,3,1,0,1
"Jan 19, 2026",OKC @ CLE,W,7,1,1,2,2,0,0
"Jan 17, 2026",OKC @ MIA,L,21,5,4,2,1,0,1
"Jan 15, 2026",OKC @ HOU,W,18,5,4,2,2,1,1
"Jan 13, 2026",OKC vs. SAS,W,20,13,2,4,1,0,0
"Jan 11, 2026",OKC vs. MIA,W,14,7,1,2,0,0,0
"Jan 09, 2026",OKC @ MEM,W,24,7,3,2,1,2,1
"Jan 04, 2026",OKC @ PHX,L,22,2,1,3,0,0,0
"Jan 02, 2026",OKC @ GSW,W,11,4,1,2,1,0,0
"Dec 31, 2025",OKC vs. POR,W,9,3,1,0,1,1,1
"Dec 29, 2025",OKC vs. ATL,W,24,16,8,2,2,0,1
"Dec 28, 2025",OKC vs. PHI,W,16,7,1,0,0,0,0
"Dec 25, 2025",OKC vs. SAS,L,20,12,1,0,0,1,1
"Dec 23, 2025",OKC @ SAS,L,19,2,4,1,0,0,2
"Dec 19, 2025",OKC @ MIN,L,22,7,12,1,0,2,0
"Dec 18, 2025",OKC vs. LAC,W,15,4,2,3,4,0,0
"Dec 13, 2025",OKC vs. SAS,L,24,11,8,3,3,0,0
"Dec 10, 2025",OKC vs. PHX,W,13,3,1,1,3,0,2
"Nov 28, 2025",OKC vs. PHX,W,24,4,7,3,2,1,4
"Nov 26, 2025",OKC vs. MIN,W,22,5,2,0,0,0,1
"Nov 23, 2025",OKC vs. POR,W,14,5,2,3,1,0,0
"Nov 21, 2025",OKC @ UTA,W,18,11,0,3,1,0,1
"Nov 19, 2025",OKC vs. SAC,W,21,2,4,5,1,1,0
"Nov 15, 2025",OKC @ CHA,W,2,0,0,0,0,0,0
"Nov 12, 2025",OKC vs. LAL,W,17,10,4,3,2,0,1
"Nov 11, 2025",OKC vs. GSW,W,15,8,2,3,5,0,3
"Nov 09, 2025",OKC @ MEM,W,21,5,4,2,1,0,2
"Nov 07, 2025",OKC @ SAC,W,22,3,2,5,1,0,0
"Nov 04, 2025",OKC @ LAC,W,24,8,1,3,2,0,0
"Nov 02, 2025",OKC vs. NOP,W,12,8,2,0,1,1,1
"Oct 30, 2025",OKC vs. WAS,W,17,0,2,2,3,0,1
"Oct 28, 2025",OKC vs. SAC,W,24,8,2,3,2,1,1
"Oct 21, 2025",OKC vs. HOU,W,30,8,2,3,2,1,0
