GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 21, 2026",CHI vs. DET,L,13,4,2,0,0,0,1
"Feb 19, 2026",CHI vs. TOR,L,31,20,1,1,0,0,2
"Feb 11, 2026",CHI @ BOS,L,28,7,5,1,0,0,2
"Feb 09, 2026",CHI @ BKN,L,34,23,3,7,0,1,5
"Feb 07, 2026",CHI vs. DEN,L,32,15,4,6,0,0,0
"Feb 05, 2026",CHI @ TOR,L,32,22,2,3,0,1,3
"Feb 01, 2026",BOS vs. MIL,W,25,27,3,1,0,0,0
"Jan 30, 2026",BOS vs. SAC,W,26,16,2,1,0,0,0
"Jan 28, 2026",BOS vs. ATL,L,19,12,1,1,1,0,2
"Jan 26, 2026",BOS vs. POR,W,26,12,1,1,2,1,1
"Jan 24, 2026",BOS @ CHI,L,28,21,4,5,2,0,2
"Jan 23, 2026",BOS @ BKN,W,37,10,3,2,2,0,3
"Jan 21, 2026",BOS vs. IND,W,22,9,4,2,1,0,0
"Jan 19, 2026",BOS @ DET,L,25,9,3,0,1,0,2
"Jan 17, 2026",BOS @ ATL,W,24,14,2,1,0,1,2
"Jan 15, 2026",BOS @ MIA,W,34,39,4,4,1,0,2
"Jan 12, 2026",BOS @ IND,L,24,16,3,4,0,0,2
"Jan 10, 2026",BOS vs. SAS,L,25,5,2,3,0,0,1
"Jan 09, 2026",BOS vs. TOR,W,26,15,2,5,0,0,0
"Jan 07, 2026",BOS vs. DEN,L,26,15,4,2,0,0,2
"Jan 05, 2026",BOS vs. CHI,W,27,27,3,3,0,0,3
"Jan 03, 2026",BOS @ LAC,W,19,15,3,4,0,0,0
"Jan 01, 2026",BOS @ SAC,W,30,14,2,4,0,0,2
"Dec 30, 2025",BOS @ UTA,W,28,20,5,4,1,0,1
"Dec 28, 2025",BOS @ POR,L,19,13,3,1,2,0,0
"Dec 26, 2025",BOS @ IND,W,21,8,3,1,0,0,2
"Dec 22, 2025",BOS vs. IND,W,17,11,0,1,0,0,1
"Dec 20, 2025",BOS @ TOR,W,26,15,3,1,2,0,0
"Dec 19, 2025",BOS vs. MIA,W,29,14,4,1,0,0,1
"Dec 15, 2025",BOS vs. DET,L,25,9,0,1,0,0,0
"Dec 11, 2025",BOS @ MIL,L,26,7,0,2,1,0,0
"Dec 07, 2025",BOS @ TOR,W,21,12,3,2,0,0,0
"Dec 05, 2025",BOS vs. LAL,W,16,8,4,2,0,0,0
"Dec 04, 2025",BOS @ WAS,W,25,16,2,3,2,0,0
"Dec 02, 2025",BOS vs. NYK,W,24,12,1,3,0,0,0
"Nov 30, 2025",BOS @ CLE,W,27,18,1,2,1,0,0
"Nov 29, 2025",BOS @ MIN,L,18,5,1,1,0,0,1
"Nov 26, 2025",BOS vs. DET,W,12,5,1,4,0,1,1
"Nov 23, 2025",BOS vs. ORL,W,22,23,5,2,0,0,0
"Nov 21, 2025",BOS vs. BKN,L,33,23,3,4,2,0,4
"Nov 18, 2025",BOS @ BKN,W,26,11,4,5,0,0,3
"Nov 16, 2025",BOS vs. LAC,W,12,0,0,2,0,0,2
"Nov 12, 2025",BOS vs. MEM,W,22,6,4,7,0,0,1
"Nov 11, 2025",BOS @ PHI,L,26,17,4,5,0,0,2
"Nov 09, 2025",BOS @ ORL,W,23,25,1,3,0,0,2
"Nov 07, 2025",BOS @ ORL,L,18,11,2,2,0,1,1
"Nov 05, 2025",BOS vs. WAS,W,30,18,0,2,1,0,1
"Nov 03, 2025",BOS vs. UTA,L,26,15,1,2,0,0,0
"Nov 01, 2025",BOS vs. HOU,L,17,3,1,0,0,0,0
"Oct 31, 2025",BOS @ PHI,W,29,19,4,2,0,1,1
"Oct 29, 2025",BOS vs. CLE,W,26,14,0,2,0,0,1
"Oct 27, 2025",BOS @ NOP,W,32,25,6,1,1,0,2
"Oct 26, 2025",BOS @ DET,L,23,12,1,0,0,0,2
"Oct 24, 2025",BOS @ NYK,L,27,10,1,4,3,0,2
"Oct 22, 2025",BOS vs. PHI,L,32,13,4,1,1,1,0
