GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 05, 2026",DET @ SAS,L,2,0,0,0,0,1,1
"Mar 03, 2026",DET @ CLE,L,31,16,6,6,4,1,1
"Mar 01, 2026",DET @ ORL,W,21,9,11,3,2,3,0
"Feb 27, 2026",DET vs. CLE,W,36,18,8,5,2,1,1
"Feb 25, 2026",DET vs. OKC,W,28,11,4,7,3,2,3
"Feb 23, 2026",DET vs. SAS,L,18,8,4,2,0,0,2
"Feb 21, 2026",DET @ CHI,W,32,8,3,8,3,0,2
"Feb 19, 2026",DET @ NYK,W,31,10,5,4,3,0,1
"Feb 11, 2026",DET @ TOR,W,24,4,4,4,1,1,2
"Feb 09, 2026",DET @ CHA,W,25,6,8,2,2,0,1
"Feb 06, 2026",DET vs. NYK,W,24,2,3,1,2,3,1
"Feb 05, 2026",DET vs. WAS,L,33,13,9,3,4,2,2
"Feb 03, 2026",DET vs. DEN,W,24,10,6,3,2,1,0
"Feb 01, 2026",DET vs. BKN,W,25,9,8,3,3,2,0
"Jan 30, 2026",DET @ GSW,W,29,7,8,2,6,0,2
"Jan 29, 2026",DET @ PHX,L,25,6,4,6,0,0,1
"Jan 27, 2026",DET @ DEN,W,20,14,4,1,5,1,1
"Jan 25, 2026",DET vs. SAC,W,20,5,5,6,2,0,2
"Jan 23, 2026",DET vs. HOU,L,24,12,8,3,2,0,2
"Jan 21, 2026",DET @ NOP,W,28,12,9,3,3,0,0
"Jan 19, 2026",DET vs. BOS,W,28,7,7,2,4,1,1
"Jan 17, 2026",DET vs. IND,W,16,7,7,1,3,1,1
"Jan 15, 2026",DET vs. PHX,W,19,5,6,2,0,0,0
"Jan 10, 2026",DET vs. LAC,L,34,6,3,6,2,3,1
"Jan 07, 2026",DET vs. CHI,W,29,11,8,3,3,2,2
"Jan 05, 2026",DET vs. NYK,W,20,10,7,1,2,0,3
"Jan 04, 2026",DET @ CLE,W,22,8,8,2,1,1,3
"Jan 01, 2026",DET vs. MIA,L,30,12,2,2,1,2,2
"Dec 30, 2025",DET @ LAL,W,22,7,2,3,1,1,0
"Dec 28, 2025",DET @ LAC,L,24,6,6,1,2,1,2
"Dec 26, 2025",DET @ UTA,L,16,8,6,0,1,0,3
"Dec 23, 2025",DET @ SAC,W,36,19,6,2,0,0,0
"Dec 22, 2025",DET @ POR,W,28,18,12,3,4,0,2
"Dec 20, 2025",DET vs. CHA,W,26,14,4,2,3,4,4
"Dec 18, 2025",DET @ DAL,L,9,8,2,2,1,0,0
"Dec 15, 2025",DET @ BOS,W,23,7,6,0,0,0,2
"Dec 12, 2025",DET vs. ATL,W,21,12,6,1,2,2,3
"Dec 06, 2025",DET vs. MIL,W,27,13,6,8,1,0,1
"Dec 05, 2025",DET vs. POR,W,25,15,4,2,1,0,1
"Dec 03, 2025",DET @ MIL,L,26,10,6,5,2,0,2
"Dec 01, 2025",DET vs. ATL,W,30,8,7,1,1,1,1
"Nov 29, 2025",DET @ MIA,W,30,10,8,3,1,0,3
"Nov 28, 2025",DET vs. ORL,L,23,8,7,2,1,0,3
"Nov 26, 2025",DET @ BOS,L,26,8,8,2,1,1,2
"Nov 24, 2025",DET @ IND,W,31,13,3,4,1,0,1
"Nov 22, 2025",DET @ MIL,W,28,6,2,1,2,1,0
"Nov 18, 2025",DET @ ATL,W,24,6,2,0,1,3,0
"Nov 09, 2025",DET @ PHI,W,34,14,5,4,3,0,2
"Nov 07, 2025",DET @ BKN,W,34,14,6,4,3,1,1
"Nov 05, 2025",DET vs. UTA,W,31,18,7,4,1,1,2
"Nov 03, 2025",DET @ MEM,W,27,9,4,1,4,2,2
"Nov 01, 2025",DET vs. DAL,W,28,15,7,1,2,0,2
"Oct 29, 2025",DET vs. ORL,W,29,12,11,6,1,1,1
"Oct 27, 2025",DET vs. CLE,L,15,6,3,0,0,0,1
"Oct 26, 2025",DET vs. BOS,W,36,21,12,3,2,0,1
"Oct 24, 2025",DET @ HOU,W,24,19,2,4,1,1,1
"Oct 22, 2025",DET @ CHI,L,33,11,9,7,1,1,1
