GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",DET @ MIA,L,5,3,0,2,0,0,1
"Mar 05, 2026",DET @ SAS,L,1,0,1,0,0,0,0
"Feb 11, 2026",DET @ TOR,W,4,0,0,0,1,0,0
"Jan 29, 2026",DET @ PHX,L,4,0,1,0,0,0,0
"Jan 25, 2026",DET vs. SAC,W,3,0,0,0,0,0,0
"Nov 14, 2025",DET vs. PHI,W,5,2,0,0,0,0,0
"Nov 12, 2025",DET vs. CHI,W,14,6,6,1,0,0,2
"Nov 10, 2025",DET vs. WAS,W,7,3,2,2,0,0,1
"Nov 09, 2025",DET @ PHI,W,6,0,0,0,0,0,1
"Nov 07, 2025",DET @ BKN,W,15,4,5,1,0,0,1
"Oct 27, 2025",DET vs. CLE,L,7,2,3,0,2,0,0
