GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 25, 2026",OKC @ DET,L,4,4,4,2,0,0,1
"Feb 04, 2026",OKC @ SAS,L,16,3,7,0,0,2,0
"Jan 27, 2026",OKC vs. NOP,W,6,2,0,0,0,0,0
"Jan 23, 2026",OKC vs. IND,L,7,2,0,0,0,0,1
"Jan 21, 2026",OKC @ MIL,W,16,9,6,1,0,1,0
"Jan 11, 2026",OKC vs. MIA,W,2,0,0,0,0,0,0
"Jan 09, 2026",OKC @ MEM,W,16,5,1,0,1,1,0
"Jan 07, 2026",OKC vs. UTA,W,11,3,5,1,0,2,1
"Jan 05, 2026",OKC vs. CHA,L,18,3,4,0,0,0,0
"Jan 04, 2026",OKC @ PHX,L,7,0,1,0,0,0,0
"Jan 02, 2026",OKC @ GSW,W,22,15,11,2,2,0,1
"Dec 31, 2025",OKC vs. POR,W,20,12,7,1,0,1,2
"Dec 29, 2025",OKC vs. ATL,W,11,6,0,0,0,0,0
"Dec 28, 2025",OKC vs. PHI,W,6,4,2,0,1,0,0
"Dec 25, 2025",OKC vs. SAS,L,2,2,0,0,0,0,0
"Dec 23, 2025",OKC @ SAS,L,3,0,0,1,0,0,0
"Dec 22, 2025",OKC vs. MEM,W,25,11,3,2,0,0,2
"Dec 18, 2025",OKC vs. LAC,W,16,4,4,0,0,1,1
"Dec 10, 2025",OKC vs. PHX,W,12,11,2,0,0,1,0
"Dec 07, 2025",OKC @ UTA,W,24,13,6,0,0,1,1
"Dec 05, 2025",OKC vs. DAL,W,22,9,6,3,0,0,0
"Dec 02, 2025",OKC @ GSW,W,3,3,0,0,0,0,0
"Nov 23, 2025",OKC vs. POR,W,9,8,1,2,0,1,0
"Nov 21, 2025",OKC @ UTA,W,9,7,0,1,0,1,0
"Nov 19, 2025",OKC vs. SAC,W,5,2,1,0,0,0,0
"Nov 17, 2025",OKC @ NOP,W,11,7,4,2,0,2,0
"Nov 15, 2025",OKC @ CHA,W,17,7,2,0,0,2,1
"Nov 12, 2025",OKC vs. LAL,W,17,0,5,1,2,1,0
"Nov 05, 2025",OKC @ POR,L,8,0,1,0,0,1,0
"Nov 04, 2025",OKC @ LAC,W,4,2,1,0,0,0,0
"Nov 02, 2025",OKC vs. NOP,W,20,11,5,1,0,0,2
"Oct 30, 2025",OKC vs. WAS,W,4,3,2,1,0,0,0
"Oct 28, 2025",OKC vs. SAC,W,4,2,1,0,0,0,0
"Oct 25, 2025",OKC @ ATL,W,2,0,0,0,0,0,0
"Oct 23, 2025",OKC @ IND,W,1,0,0,0,0,0,0
