GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",DEN vs. NYK,L,22,7,2,3,2,0,2
"Mar 05, 2026",DEN vs. LAL,W,30,8,6,1,0,0,0
"Mar 02, 2026",DEN @ UTA,W,32,4,3,4,1,0,1
"Mar 01, 2026",DEN vs. MIN,L,28,6,4,1,1,0,2
"Feb 27, 2026",DEN @ OKC,L,29,7,3,1,3,0,2
"Feb 25, 2026",DEN vs. BOS,W,28,4,4,5,2,0,3
"Feb 22, 2026",DEN @ GSW,L,29,12,5,2,3,0,2
"Feb 20, 2026",DEN @ POR,W,20,6,2,1,1,0,2
"Feb 19, 2026",DEN @ LAC,L,25,19,5,6,0,0,2
"Feb 11, 2026",DEN vs. MEM,W,29,10,3,2,0,0,0
"Feb 09, 2026",DEN vs. CLE,L,25,1,4,0,2,0,0
"Feb 07, 2026",DEN @ CHI,W,31,10,3,4,3,1,1
"Feb 04, 2026",DEN @ NYK,L,38,10,5,0,3,1,2
"Feb 03, 2026",DEN @ DET,L,23,10,2,0,2,0,0
"Feb 01, 2026",DEN vs. OKC,L,22,9,3,0,0,0,0
"Jan 30, 2026",DEN vs. LAC,W,26,6,2,3,1,0,2
"Jan 29, 2026",DEN vs. BKN,W,33,12,3,3,0,0,2
"Jan 27, 2026",DEN vs. DET,L,23,16,7,2,1,2,1
"Jan 23, 2026",DEN @ MIL,W,26,15,3,3,2,0,2
"Jan 22, 2026",DEN @ WAS,W,18,6,6,2,2,0,1
"Jan 20, 2026",DEN vs. LAL,L,22,4,4,2,0,0,0
"Jan 18, 2026",DEN vs. CHA,L,18,9,0,3,2,2,0
"Jan 17, 2026",DEN vs. WAS,W,25,4,3,4,0,0,2
"Jan 14, 2026",DEN @ DAL,W,24,7,5,1,0,0,1
"Jan 13, 2026",DEN @ NOP,W,24,4,4,2,0,0,1
"Jan 11, 2026",DEN vs. MIL,W,24,7,6,4,0,1,0
"Jan 09, 2026",DEN vs. ATL,L,24,3,3,2,1,0,1
"Jan 07, 2026",DEN @ BOS,W,19,4,1,0,2,0,0
"Jan 05, 2026",DEN @ PHI,W,39,19,6,2,1,0,0
"Jan 04, 2026",DEN @ BKN,L,18,0,4,3,1,0,1
"Jan 02, 2026",DEN @ CLE,L,24,0,3,4,4,0,3
"Dec 31, 2025",DEN @ TOR,W,25,8,7,2,0,0,2
"Dec 29, 2025",DEN @ MIA,L,26,15,5,2,0,0,2
"Dec 27, 2025",DEN @ ORL,L,27,2,3,4,2,0,1
"Dec 25, 2025",DEN vs. MIN,W,28,7,3,3,1,0,3
"Dec 23, 2025",DEN @ DAL,L,26,13,7,3,1,1,2
"Dec 22, 2025",DEN vs. UTA,W,27,15,5,1,2,0,0
"Dec 20, 2025",DEN vs. HOU,L,28,12,12,1,2,1,0
"Dec 18, 2025",DEN vs. ORL,W,34,11,2,2,0,0,2
"Dec 15, 2025",DEN vs. HOU,W,27,2,9,4,3,0,1
"Dec 11, 2025",DEN @ SAC,W,26,8,5,7,1,0,3
"Dec 07, 2025",DEN @ CHA,W,20,0,0,0,0,0,0
"Dec 05, 2025",DEN @ ATL,W,32,13,3,0,3,1,2
"Dec 03, 2025",DEN @ IND,W,26,14,4,0,0,1,2
"Dec 01, 2025",DEN vs. DAL,L,20,7,4,2,0,0,0
"Nov 29, 2025",DEN @ PHX,W,27,4,2,10,1,1,1
"Nov 28, 2025",DEN vs. SAS,L,19,3,4,1,0,0,0
"Nov 24, 2025",DEN @ MEM,W,28,9,3,2,0,0,2
"Nov 22, 2025",DEN vs. SAC,L,27,2,3,3,0,0,1
"Nov 21, 2025",DEN @ HOU,W,21,10,1,3,3,1,0
"Nov 19, 2025",DEN @ NOP,W,27,12,3,4,3,0,2
"Nov 17, 2025",DEN vs. CHI,L,23,0,2,0,0,0,0
"Nov 15, 2025",DEN @ MIN,W,30,7,6,1,0,0,0
"Nov 12, 2025",DEN @ LAC,W,28,2,4,0,0,0,0
"Nov 11, 2025",DEN @ SAC,W,27,14,7,1,2,0,0
"Nov 08, 2025",DEN vs. IND,W,24,6,7,0,1,0,1
"Nov 07, 2025",DEN vs. GSW,W,18,6,1,1,0,0,1
"Nov 05, 2025",DEN vs. MIA,W,28,5,3,2,2,0,3
"Nov 03, 2025",DEN vs. SAC,W,22,13,6,3,0,0,1
"Oct 31, 2025",DEN @ POR,L,20,5,3,0,0,1,0
"Oct 29, 2025",DEN vs. NOP,W,19,5,4,2,2,0,1
"Oct 27, 2025",DEN @ MIN,W,13,2,5,0,0,0,1
"Oct 25, 2025",DEN vs. PHX,W,22,11,3,3,1,1,2
"Oct 23, 2025",DEN @ GSW,L,19,4,5,3,1,0,0
