GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",WAS @ NOP,L,23,9,3,4,0,0,2
"Mar 05, 2026",WAS vs. UTA,L,15,7,1,2,0,1,1
"Mar 03, 2026",WAS @ ORL,L,32,11,3,5,1,0,2
"Mar 02, 2026",WAS vs. HOU,L,28,11,5,4,2,0,0
"Feb 28, 2026",WAS vs. TOR,L,21,12,3,5,1,0,1
"Feb 26, 2026",WAS @ ATL,L,22,2,5,5,1,0,1
"Feb 24, 2026",WAS @ ATL,L,26,3,10,7,1,2,2
"Feb 22, 2026",WAS vs. CHA,L,30,6,3,2,0,0,3
"Feb 20, 2026",WAS vs. IND,W,22,6,5,7,1,0,2
"Feb 19, 2026",WAS vs. IND,W,28,13,4,3,2,0,2
"Feb 11, 2026",WAS @ CLE,L,22,8,3,4,0,0,3
"Feb 08, 2026",WAS vs. MIA,L,29,13,2,5,1,0,3
"Feb 07, 2026",WAS @ BKN,L,22,11,2,4,0,0,3
"Feb 05, 2026",WAS @ DET,W,22,12,0,4,1,0,1
"Feb 03, 2026",WAS vs. NYK,L,25,14,2,1,0,0,2
"Feb 01, 2026",WAS vs. SAC,W,23,6,2,6,0,0,1
"Jan 30, 2026",WAS vs. LAL,L,25,15,3,6,2,0,5
"Jan 29, 2026",WAS vs. MIL,W,29,13,4,6,1,0,3
"Jan 27, 2026",WAS vs. POR,W,28,11,1,1,2,0,3
"Jan 24, 2026",WAS @ CHA,L,32,15,3,8,1,0,2
"Jan 22, 2026",WAS vs. DEN,L,38,13,2,2,3,2,5
"Jan 19, 2026",WAS vs. LAC,L,37,17,6,7,0,1,5
"Jan 17, 2026",WAS @ DEN,L,39,13,4,3,1,0,4
"Jan 16, 2026",WAS @ SAC,L,39,11,2,9,2,0,3
"Jan 14, 2026",WAS @ LAC,L,33,4,5,7,0,0,1
"Jan 11, 2026",WAS @ PHX,L,32,9,4,7,1,0,1
"Jan 09, 2026",WAS vs. NOP,L,29,11,5,4,1,0,2
"Jan 07, 2026",WAS @ PHI,L,40,18,3,7,0,0,6
"Jan 06, 2026",WAS vs. ORL,W,31,6,5,4,1,2,1
"Jan 04, 2026",WAS vs. MIN,L,17,7,0,4,2,0,1
"Jan 02, 2026",WAS vs. BKN,W,26,7,5,4,0,1,3
"Dec 31, 2025",WAS @ MIL,W,24,20,5,5,0,1,2
"Dec 29, 2025",WAS vs. PHX,L,27,10,5,4,0,0,1
"Dec 28, 2025",WAS vs. MEM,W,27,12,4,7,1,0,8
"Dec 26, 2025",WAS vs. TOR,W,22,15,4,4,0,0,0
"Dec 23, 2025",WAS @ CHA,L,15,6,5,2,0,0,1
"Dec 21, 2025",WAS vs. SAS,L,40,21,5,4,0,1,1
"Dec 20, 2025",WAS @ MEM,W,35,14,7,4,0,0,2
"Dec 18, 2025",WAS @ SAS,L,33,15,5,3,1,1,2
"Dec 14, 2025",WAS @ IND,W,36,11,3,5,1,0,1
"Dec 12, 2025",WAS vs. CLE,L,41,27,6,8,1,0,3
"Dec 06, 2025",WAS vs. ATL,L,37,14,2,9,1,0,1
"Dec 04, 2025",WAS vs. BOS,L,28,7,3,2,0,0,1
"Dec 02, 2025",WAS @ PHI,L,25,10,3,3,0,0,4
"Dec 01, 2025",WAS vs. MIL,W,22,5,2,5,0,0,2
"Nov 28, 2025",WAS @ IND,L,27,6,7,3,0,0,1
"Nov 25, 2025",WAS vs. ATL,W,22,10,0,6,0,0,3
"Nov 22, 2025",WAS @ CHI,L,24,8,3,4,0,0,2
"Nov 21, 2025",WAS @ TOR,L,16,7,2,3,0,0,1
"Nov 19, 2025",WAS @ MIN,L,17,3,1,1,0,0,1
"Nov 16, 2025",WAS vs. BKN,L,20,5,4,3,1,0,0
"Nov 12, 2025",WAS @ HOU,L,19,7,1,2,1,0,2
"Nov 10, 2025",WAS @ DET,L,35,11,7,5,0,0,3
"Nov 08, 2025",WAS vs. DAL,L,28,9,3,2,0,0,5
"Nov 07, 2025",WAS vs. CLE,L,28,6,4,11,0,1,2
"Nov 05, 2025",WAS @ BOS,L,31,3,5,6,0,0,3
"Nov 03, 2025",WAS @ NYK,L,25,0,4,7,0,0,5
"Nov 01, 2025",WAS vs. ORL,L,22,7,4,5,1,0,3
"Oct 30, 2025",WAS @ OKC,L,22,3,4,1,0,0,3
"Oct 28, 2025",WAS vs. PHI,L,38,10,5,5,1,1,2
"Oct 26, 2025",WAS vs. CHA,L,26,4,3,5,2,0,1
"Oct 24, 2025",WAS @ DAL,W,26,7,3,3,2,0,2
"Oct 22, 2025",WAS @ MIL,L,29,11,5,2,1,0,1
