GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",MEM vs. LAC,L,16,12,3,4,0,0,0
"Mar 04, 2026",MEM vs. POR,L,28,12,7,7,0,2,0
"Mar 03, 2026",MEM @ MIN,L,24,10,2,4,1,0,1
"Mar 01, 2026",MEM @ IND,W,23,10,3,4,2,0,1
"Feb 27, 2026",MEM @ DAL,W,25,25,2,3,1,0,0
"Feb 25, 2026",MEM vs. GSW,L,21,5,1,2,0,0,2
"Feb 23, 2026",MEM vs. SAC,L,22,7,3,3,1,0,0
"Feb 21, 2026",MEM @ MIA,L,21,0,2,5,0,1,0
"Feb 20, 2026",MEM vs. UTA,W,21,10,3,10,1,0,0
"Feb 11, 2026",MEM @ DEN,L,22,2,2,9,1,0,0
"Feb 09, 2026",MEM @ GSW,L,24,2,4,4,0,0,2
"Feb 06, 2026",MEM @ POR,L,26,18,0,5,2,1,1
"Feb 04, 2026",MEM @ SAC,W,27,20,3,5,0,0,3
"Feb 02, 2026",MEM vs. MIN,W,25,16,4,5,0,0,1
"Jan 31, 2026",MEM vs. MIN,L,25,5,3,5,2,0,1
"Jan 30, 2026",MEM @ NOP,L,24,16,1,3,0,0,1
"Jan 28, 2026",MEM vs. CHA,L,28,4,0,6,1,0,2
"Jan 26, 2026",MEM @ HOU,L,27,5,5,13,1,1,3
"Jan 23, 2026",MEM vs. NOP,L,28,21,5,11,0,1,2
"Jan 21, 2026",MEM vs. ATL,L,21,11,2,4,0,0,2
"Jan 18, 2026",MEM vs. ORL,W,18,10,0,3,0,0,1
"Jan 15, 2026",MEM @ ORL,L,27,7,7,11,0,0,1
"Jan 11, 2026",MEM vs. BKN,W,30,12,4,13,0,0,3
"Jan 09, 2026",MEM vs. OKC,L,30,7,4,11,1,0,0
"Jan 07, 2026",MEM vs. PHX,L,27,14,3,5,2,0,3
"Jan 06, 2026",MEM vs. SAS,W,30,21,8,8,1,0,0
"Jan 04, 2026",MEM @ LAL,L,34,5,2,9,0,0,2
"Jan 02, 2026",MEM @ LAL,L,17,5,2,5,0,0,2
"Dec 30, 2025",MEM vs. PHI,L,19,7,1,5,0,0,2
"Dec 28, 2025",MEM @ WAS,L,27,8,3,7,2,0,2
"Dec 26, 2025",MEM vs. MIL,W,26,19,5,5,1,0,3
"Dec 23, 2025",MEM @ UTA,W,32,11,3,13,0,0,1
"Dec 22, 2025",MEM @ OKC,L,35,14,5,8,1,0,4
"Dec 20, 2025",MEM vs. WAS,L,37,19,4,11,0,0,2
"Dec 15, 2025",MEM @ LAC,W,30,27,3,6,1,0,1
"Dec 12, 2025",MEM vs. UTA,L,25,20,2,4,0,0,0
"Dec 07, 2025",MEM vs. POR,W,32,12,3,6,4,0,4
"Dec 05, 2025",MEM vs. LAC,W,29,17,5,7,1,0,2
"Dec 02, 2025",MEM @ SAS,L,22,21,1,6,0,0,0
"Nov 30, 2025",MEM @ SAC,W,21,16,0,3,1,0,4
"Nov 28, 2025",MEM @ LAC,W,25,10,2,4,1,1,4
"Nov 26, 2025",MEM @ NOP,W,19,11,2,7,1,0,2
"Nov 24, 2025",MEM vs. DEN,L,29,18,2,4,0,0,1
"Nov 22, 2025",MEM @ DAL,W,24,17,4,5,1,0,1
"Nov 20, 2025",MEM vs. SAC,W,24,7,2,6,1,0,0
"Nov 18, 2025",MEM @ SAS,L,24,15,2,3,0,0,1
"Nov 15, 2025",MEM @ CLE,L,20,3,1,3,1,0,0
"Nov 12, 2025",MEM @ BOS,L,29,5,2,3,0,1,0
"Nov 11, 2025",MEM @ NYK,L,19,11,2,4,1,0,0
"Nov 09, 2025",MEM vs. OKC,L,20,9,1,1,0,0,1
"Nov 07, 2025",MEM vs. DAL,W,19,12,2,2,2,0,1
"Nov 05, 2025",MEM vs. HOU,L,19,19,2,2,0,0,0
"Nov 03, 2025",MEM vs. DET,L,15,13,2,3,0,0,3
"Nov 02, 2025",MEM @ TOR,L,26,4,4,4,2,0,2
"Oct 31, 2025",MEM vs. LAL,L,19,12,0,3,2,0,1
"Oct 29, 2025",MEM @ PHX,W,19,6,2,6,1,0,0
"Oct 27, 2025",MEM @ GSW,L,14,11,2,3,1,0,2
"Oct 25, 2025",MEM vs. IND,W,16,8,6,3,0,0,0
"Oct 24, 2025",MEM vs. MIA,L,15,2,2,3,0,0,2
"Oct 22, 2025",MEM vs. NOP,W,12,7,0,2,0,0,0
