GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 04, 2026",ATL @ MIL,W,2,0,1,0,1,1,0
"Feb 26, 2026",ATL vs. WAS,W,3,4,4,0,0,0,0
"Feb 03, 2026",ATL @ MIA,W,11,2,2,0,0,0,1
"Jan 31, 2026",ATL @ IND,L,16,0,4,0,0,0,0
"Jan 29, 2026",ATL vs. HOU,L,26,6,7,2,1,1,1
"Jan 28, 2026",ATL @ BOS,W,13,0,2,1,0,0,0
"Jan 26, 2026",ATL vs. IND,W,17,12,4,1,0,3,0
"Jan 23, 2026",ATL vs. PHX,W,12,2,1,0,0,2,2
"Jan 21, 2026",ATL @ MEM,W,11,5,1,0,1,1,1
"Jan 11, 2026",MEM vs. BKN,W,15,2,7,1,0,1,1
"Jan 09, 2026",MEM vs. OKC,L,14,2,5,1,0,2,2
"Jan 07, 2026",MEM vs. PHX,L,20,2,4,2,0,0,0
"Jan 06, 2026",MEM vs. SAS,W,18,4,6,1,1,3,1
"Jan 04, 2026",MEM @ LAL,L,13,6,2,0,2,0,1
"Jan 02, 2026",MEM @ LAL,L,22,3,2,0,1,1,2
"Dec 30, 2025",MEM vs. PHI,L,20,0,3,2,0,0,0
"Dec 28, 2025",MEM @ WAS,L,25,4,7,1,1,3,0
"Dec 26, 2025",MEM vs. MIL,W,28,4,3,1,3,1,0
"Dec 23, 2025",MEM @ UTA,W,10,2,4,0,2,1,0
"Dec 22, 2025",MEM @ OKC,L,10,0,1,1,0,1,0
"Oct 27, 2025",LAL vs. POR,L,3,0,1,0,0,0,0
"Oct 24, 2025",LAL vs. MIN,W,3,0,0,0,0,0,0
