GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",UTA @ MIL,L,37,13,11,2,2,0,1
"Mar 05, 2026",UTA @ WAS,W,36,13,3,7,2,0,2
"Mar 04, 2026",UTA @ PHI,L,28,9,6,3,0,1,0
"Mar 02, 2026",UTA vs. DEN,L,11,3,1,1,1,0,1
"Feb 28, 2026",UTA vs. NOP,L,21,4,2,2,1,0,0
"Feb 26, 2026",UTA vs. NOP,L,30,6,3,1,0,1,0
"Feb 23, 2026",UTA @ HOU,L,14,2,0,0,0,0,0
"Feb 20, 2026",UTA @ MEM,L,38,5,9,2,1,1,4
"Feb 12, 2026",UTA vs. POR,L,25,9,2,3,2,1,4
"Feb 11, 2026",UTA vs. SAC,W,25,9,5,2,3,0,0
"Feb 09, 2026",UTA @ MIA,W,19,2,1,0,0,1,0
"Feb 07, 2026",UTA @ ORL,L,14,0,2,0,1,0,1
"Feb 05, 2026",UTA @ ATL,L,38,5,4,2,1,3,0
"Feb 03, 2026",UTA @ IND,W,40,14,6,3,3,0,1
"Feb 01, 2026",UTA @ TOR,L,20,10,2,0,1,0,0
"Jan 30, 2026",UTA vs. BKN,L,28,6,2,1,1,1,1
"Jan 27, 2026",UTA vs. LAC,L,25,11,2,0,2,0,2
"Jan 24, 2026",UTA vs. MIA,L,30,5,1,1,1,3,1
"Jan 22, 2026",UTA vs. SAS,L,23,12,7,3,1,0,1
"Jan 20, 2026",UTA vs. MIN,W,29,8,3,1,0,1,1
"Jan 19, 2026",UTA @ SAS,L,24,5,3,0,1,0,1
"Jan 17, 2026",UTA @ DAL,L,28,11,4,2,1,0,3
"Jan 15, 2026",UTA @ DAL,L,31,13,6,0,1,0,1
"Jan 14, 2026",UTA @ CHI,L,31,6,7,2,0,2,0
"Jan 12, 2026",UTA @ CLE,W,21,8,3,2,0,0,2
"Jan 10, 2026",UTA vs. CHA,L,32,15,2,0,0,0,0
"Jan 08, 2026",UTA vs. DAL,W,22,8,3,4,2,0,0
"Jan 07, 2026",UTA @ OKC,L,14,5,3,0,1,2,0
"Jan 05, 2026",UTA @ POR,L,20,8,2,1,1,0,0
"Jan 03, 2026",UTA @ GSW,L,13,6,3,0,0,0,0
"Jan 01, 2026",UTA @ LAC,L,26,18,0,0,0,1,0
"Dec 30, 2025",UTA vs. BOS,L,13,2,0,0,0,0,1
"Dec 27, 2025",UTA @ SAS,W,19,8,6,1,1,0,0
"Dec 23, 2025",UTA vs. MEM,L,9,4,2,0,0,0,0
"Dec 22, 2025",UTA @ DEN,L,8,0,1,1,0,1,1
"Dec 20, 2025",UTA vs. ORL,L,13,0,2,2,0,0,0
"Dec 15, 2025",UTA vs. DAL,W,22,11,1,2,0,0,0
"Dec 07, 2025",UTA vs. OKC,L,8,4,2,0,0,0,0
"Dec 04, 2025",UTA @ BKN,W,8,0,0,0,0,0,1
"Nov 23, 2025",UTA vs. LAL,L,3,0,0,0,0,0,0
"Nov 21, 2025",UTA vs. OKC,L,20,0,2,2,0,0,1
"Nov 18, 2025",UTA @ LAL,L,21,4,0,0,1,1,0
"Nov 16, 2025",UTA vs. CHI,W,19,0,2,0,0,0,0
"Nov 13, 2025",UTA vs. ATL,L,12,2,0,0,0,0,0
"Nov 11, 2025",UTA vs. IND,W,19,2,1,2,1,0,0
"Nov 07, 2025",UTA @ MIN,L,10,5,1,0,1,0,0
"Nov 02, 2025",UTA @ CHA,L,9,0,2,0,0,1,1
"Oct 31, 2025",UTA @ PHX,L,15,8,1,0,0,0,0
"Oct 29, 2025",UTA vs. POR,L,12,4,1,2,0,0,2
"Oct 22, 2025",UTA vs. LAC,W,2,0,0,0,0,0,0
