GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",PHX vs. NOP,W,35,32,4,4,2,0,4
"Mar 05, 2026",PHX vs. CHI,L,32,27,6,2,2,1,4
"Mar 03, 2026",PHX @ SAC,W,31,17,4,6,0,0,3
"Feb 19, 2026",PHX @ SAS,L,9,5,1,0,0,0,1
"Feb 10, 2026",PHX vs. DAL,W,32,19,4,6,2,0,3
"Feb 07, 2026",PHX vs. PHI,L,32,21,2,9,0,0,4
"Jan 23, 2026",PHX @ ATL,L,28,31,4,3,1,0,2
"Jan 20, 2026",PHX @ PHI,W,34,27,3,4,1,0,6
"Jan 19, 2026",PHX @ BKN,W,33,24,4,4,0,0,3
"Jan 17, 2026",PHX @ NYK,W,38,27,4,4,1,0,4
"Jan 13, 2026",PHX @ MIA,L,40,24,9,9,1,0,4
"Jan 11, 2026",PHX vs. WAS,W,26,17,3,8,0,0,1
"Jan 09, 2026",PHX vs. NYK,W,39,31,3,8,1,0,2
"Jan 07, 2026",PHX @ MEM,W,31,13,1,8,2,0,2
"Jan 05, 2026",PHX @ HOU,L,33,27,0,3,0,0,4
"Jan 04, 2026",PHX vs. OKC,W,38,24,6,9,0,0,1
"Jan 02, 2026",PHX vs. SAC,W,28,33,2,5,0,0,5
"Dec 31, 2025",PHX @ CLE,L,33,32,2,4,1,1,1
"Dec 29, 2025",PHX @ WAS,W,35,22,6,5,1,0,2
"Dec 27, 2025",PHX @ NOP,W,34,20,3,4,0,0,4
"Dec 26, 2025",PHX @ NOP,W,36,30,9,5,1,0,4
"Dec 23, 2025",PHX vs. LAL,W,27,21,2,11,2,0,4
"Dec 20, 2025",PHX @ GSW,L,34,38,1,5,3,2,2
"Dec 18, 2025",PHX vs. GSW,W,33,25,2,2,1,0,3
"Dec 14, 2025",PHX vs. LAL,L,31,27,6,7,1,1,1
"Dec 01, 2025",PHX @ LAL,W,10,11,2,3,0,0,1
"Nov 29, 2025",PHX vs. DEN,L,35,24,4,7,1,0,1
"Nov 28, 2025",PHX @ OKC,L,39,21,8,6,1,1,5
"Nov 26, 2025",PHX @ SAC,W,39,19,7,6,1,0,1
"Nov 24, 2025",PHX vs. HOU,L,38,18,3,5,1,1,5
"Nov 23, 2025",PHX vs. SAS,W,38,24,5,7,1,2,2
"Nov 21, 2025",PHX vs. MIN,W,35,16,3,10,1,0,9
"Nov 18, 2025",PHX @ POR,W,29,19,6,5,3,0,1
"Nov 16, 2025",PHX vs. ATL,L,38,27,2,7,1,1,5
"Nov 13, 2025",PHX vs. IND,W,29,33,5,7,0,0,1
"Nov 12, 2025",PHX @ DAL,W,38,26,3,9,2,0,5
"Nov 10, 2025",PHX vs. NOP,W,27,19,0,3,1,0,3
"Nov 08, 2025",PHX @ LAC,W,38,21,10,9,0,0,5
"Nov 06, 2025",PHX vs. LAC,W,37,24,6,7,3,0,3
"Nov 04, 2025",PHX @ GSW,L,39,38,3,4,1,0,5
"Nov 02, 2025",PHX vs. SAS,W,35,28,2,13,1,0,5
"Oct 31, 2025",PHX vs. UTA,W,39,36,6,9,0,1,1
"Oct 29, 2025",PHX vs. MEM,L,36,32,4,3,1,1,3
"Oct 27, 2025",PHX @ UTA,L,44,34,5,10,0,1,2
"Oct 25, 2025",PHX @ DEN,L,37,31,3,7,0,0,9
"Oct 24, 2025",PHX @ LAC,L,28,18,3,7,0,0,3
"Oct 22, 2025",PHX vs. SAC,W,36,31,5,3,1,0,6
