GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 03, 2026",SAC vs. PHX,L,9,2,2,0,1,0,0
"Mar 01, 2026",SAC @ LAL,L,21,6,2,3,0,0,1
"Feb 26, 2026",SAC @ DAL,W,32,15,7,5,4,0,3
"Feb 21, 2026",SAC @ SAS,L,6,0,1,1,0,0,0
"Feb 19, 2026",SAC vs. ORL,L,28,11,5,4,3,0,3
"Feb 11, 2026",SAC @ UTA,L,30,19,5,4,0,1,3
"Feb 09, 2026",SAC @ NOP,L,30,12,3,4,1,0,3
"Feb 07, 2026",SAC vs. CLE,L,27,18,4,4,1,1,1
"Feb 06, 2026",SAC vs. LAC,L,22,14,4,4,1,0,1
"Feb 04, 2026",SAC vs. MEM,L,24,10,6,5,1,1,1
"Feb 01, 2026",SAC @ WAS,L,16,4,3,2,2,0,1
"Jan 30, 2026",SAC @ BOS,L,11,5,3,2,0,0,2
"Jan 25, 2026",SAC @ DET,L,7,2,2,0,0,0,0
"Jan 09, 2026",SAC @ GSW,L,4,2,0,0,0,0,0
"Jan 02, 2026",SAC @ PHX,L,5,0,1,0,0,0,0
"Dec 30, 2025",SAC @ LAC,L,7,4,0,0,0,1,0
"Dec 11, 2025",SAC vs. DEN,L,21,15,1,4,0,0,2
"Nov 12, 2025",SAC vs. ATL,L,22,11,6,3,1,0,2
"Nov 09, 2025",SAC vs. MIN,L,6,0,1,2,1,0,2
"Nov 07, 2025",SAC vs. OKC,L,5,2,1,1,1,0,0
"Nov 05, 2025",SAC vs. GSW,W,5,0,1,1,0,0,0
"Nov 03, 2025",SAC @ DEN,L,3,0,0,0,0,0,0
"Oct 29, 2025",SAC @ CHI,L,12,0,2,1,0,1,0
"Oct 28, 2025",SAC @ OKC,L,9,4,1,1,2,0,1
"Oct 26, 2025",SAC vs. LAL,L,3,0,0,0,1,0,1
