GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",POR @ HOU,L,25,18,13,0,0,1,2
"Mar 04, 2026",POR @ MEM,W,12,7,9,1,1,4,2
"Mar 01, 2026",POR @ ATL,L,31,15,15,5,0,0,3
"Feb 28, 2026",POR @ CHA,L,26,7,8,2,1,2,1
"Feb 24, 2026",POR vs. MIN,L,36,11,16,5,3,2,2
"Feb 22, 2026",POR @ PHX,W,31,23,13,3,1,4,5
"Feb 20, 2026",POR vs. DEN,L,19,15,9,2,0,0,0
"Feb 12, 2026",POR @ UTA,W,31,23,18,7,0,3,0
"Feb 11, 2026",POR @ MIN,L,28,8,9,1,1,2,1
"Feb 09, 2026",POR vs. PHI,W,28,15,7,3,0,4,1
"Feb 07, 2026",POR vs. MEM,W,36,20,19,3,1,2,2
"Feb 06, 2026",POR vs. MEM,W,25,13,17,0,0,0,2
"Feb 03, 2026",POR vs. PHX,L,27,14,15,3,0,2,0
"Feb 01, 2026",POR vs. CLE,L,27,8,12,5,0,4,0
"Jan 30, 2026",POR @ NYK,L,22,7,6,1,0,0,3
"Jan 27, 2026",POR @ WAS,L,30,14,20,2,1,1,2
"Jan 26, 2026",POR @ BOS,L,28,9,15,1,0,5,3
"Jan 23, 2026",POR vs. TOR,L,29,13,16,2,3,0,0
"Jan 22, 2026",POR vs. MIA,W,27,7,8,2,0,1,1
"Jan 18, 2026",POR @ SAC,W,37,21,17,3,0,1,1
"Jan 17, 2026",POR vs. LAL,W,27,18,11,4,0,0,1
"Jan 15, 2026",POR vs. ATL,W,28,9,12,1,0,0,1
"Jan 13, 2026",POR @ GSW,L,22,7,9,1,0,0,3
"Jan 11, 2026",POR vs. NYK,L,30,8,8,1,0,2,1
"Jan 09, 2026",POR vs. HOU,W,33,8,15,6,2,1,2
"Jan 07, 2026",POR vs. HOU,W,31,12,7,3,0,1,0
"Jan 05, 2026",POR vs. UTA,W,33,12,17,2,0,3,4
"Jan 03, 2026",POR @ SAS,W,34,24,12,4,0,0,0
"Jan 02, 2026",POR @ NOP,W,30,11,15,1,0,1,0
"Dec 31, 2025",POR @ OKC,L,17,6,5,0,0,0,1
"Dec 29, 2025",POR vs. DAL,W,29,18,11,1,0,0,0
"Dec 28, 2025",POR vs. BOS,W,34,18,18,1,0,0,2
"Dec 26, 2025",POR vs. LAC,L,25,10,8,4,0,0,1
"Dec 23, 2025",POR vs. ORL,L,34,8,14,1,1,2,2
"Dec 22, 2025",POR vs. DET,L,34,17,10,2,0,3,0
"Dec 20, 2025",POR @ SAC,W,30,14,14,0,1,2,2
"Dec 18, 2025",POR vs. SAC,W,35,19,8,4,0,2,1
"Dec 14, 2025",POR vs. GSW,W,22,3,10,3,1,3,1
"Dec 03, 2025",POR @ CLE,W,25,5,13,2,0,1,2
"Dec 02, 2025",POR @ TOR,L,21,11,11,1,0,0,1
"Nov 26, 2025",POR vs. SAS,L,26,9,11,1,0,1,0
"Nov 24, 2025",POR @ MIL,W,27,14,11,4,1,1,1
"Nov 23, 2025",POR @ OKC,L,20,8,8,2,0,2,2
"Nov 21, 2025",POR @ GSW,W,27,22,10,4,2,0,0
"Nov 19, 2025",POR vs. CHI,L,34,17,21,4,1,2,0
"Nov 18, 2025",POR vs. PHX,L,23,9,12,2,0,5,2
"Nov 16, 2025",POR @ DAL,L,28,16,11,2,0,2,0
"Nov 14, 2025",POR @ HOU,L,24,9,8,0,0,0,1
"Nov 12, 2025",POR @ NOP,W,27,9,10,0,0,3,3
"Nov 10, 2025",POR @ ORL,L,29,2,9,0,0,0,0
"Nov 08, 2025",POR @ MIA,L,21,13,7,0,2,2,0
"Nov 05, 2025",POR vs. OKC,W,25,7,8,0,2,2,1
"Nov 03, 2025",POR vs. LAL,L,18,2,4,0,0,1,0
"Oct 31, 2025",POR vs. DEN,W,24,5,15,1,0,0,0
"Oct 29, 2025",POR @ UTA,W,28,5,7,4,1,3,0
"Oct 27, 2025",POR @ LAL,W,26,16,14,2,1,2,2
"Oct 26, 2025",POR @ LAC,L,24,9,10,3,1,1,1
"Oct 24, 2025",POR vs. GSW,W,22,14,8,2,0,1,0
"Oct 22, 2025",POR vs. MIN,L,30,8,6,1,2,1,1
