GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",MIN vs. ORL,L,29,0,2,4,1,0,1
"Mar 05, 2026",MIN vs. TOR,W,27,16,5,2,2,0,1
"Mar 03, 2026",MIN vs. MEM,W,30,7,4,6,1,0,1
"Mar 01, 2026",MIN @ DEN,W,36,17,3,5,2,0,0
"Feb 26, 2026",MIN @ LAC,W,31,18,3,4,2,0,1
"Feb 24, 2026",MIN @ POR,W,33,19,1,4,2,0,1
"Feb 22, 2026",MIN vs. PHI,L,28,11,6,3,0,0,4
"Feb 20, 2026",MIN vs. DAL,W,31,9,5,9,1,0,1
"Feb 11, 2026",MIN vs. POR,W,29,3,4,5,3,0,1
"Feb 09, 2026",MIN vs. ATL,W,26,10,4,6,2,0,2
"Feb 08, 2026",MIN vs. LAC,L,24,1,4,2,1,0,2
"Feb 06, 2026",MIN vs. NOP,L,26,6,3,2,1,0,2
"Feb 04, 2026",MIN @ TOR,W,31,15,6,5,0,0,1
"Feb 02, 2026",MIN @ MEM,L,34,21,3,4,2,0,1
"Jan 31, 2026",MIN @ MEM,W,18,11,1,5,1,0,2
"Jan 29, 2026",MIN vs. OKC,W,31,11,5,5,2,1,1
"Jan 28, 2026",MIN @ DAL,W,28,8,5,1,5,0,1
"Jan 26, 2026",MIN vs. GSW,W,31,15,4,8,1,3,4
"Jan 25, 2026",MIN vs. GSW,L,32,22,7,0,1,0,5
"Jan 22, 2026",MIN vs. CHI,L,35,11,3,4,2,1,1
"Jan 20, 2026",MIN @ UTA,L,33,15,5,8,2,0,2
"Jan 17, 2026",MIN @ SAS,L,36,11,5,3,2,1,3
"Jan 16, 2026",MIN @ HOU,L,40,8,8,4,1,1,2
"Jan 13, 2026",MIN @ MIL,W,30,11,4,7,0,0,2
"Jan 11, 2026",MIN vs. SAS,W,38,19,9,7,3,1,2
"Jan 10, 2026",MIN @ CLE,L,35,15,3,6,2,0,4
"Jan 08, 2026",MIN vs. CLE,W,34,22,1,4,1,0,1
"Jan 06, 2026",MIN vs. MIA,W,31,12,5,2,0,1,0
"Jan 04, 2026",MIN @ WAS,W,23,5,4,3,3,0,1
"Jan 03, 2026",MIN @ MIA,W,31,11,8,4,2,1,2
"Dec 31, 2025",MIN @ ATL,L,26,6,2,7,1,0,1
"Dec 29, 2025",MIN @ CHI,W,27,12,6,3,0,0,0
"Dec 27, 2025",MIN vs. BKN,L,32,11,5,6,2,0,1
"Dec 25, 2025",MIN @ DEN,L,34,6,8,8,2,1,0
"Dec 23, 2025",MIN vs. NYK,W,32,11,2,8,2,0,1
"Dec 21, 2025",MIN vs. MIL,W,33,18,5,4,2,0,3
"Dec 19, 2025",MIN vs. OKC,W,33,15,4,1,0,0,1
"Dec 17, 2025",MIN vs. MEM,L,37,19,11,4,3,1,1
"Dec 14, 2025",MIN vs. SAC,W,34,18,6,6,4,2,1
"Dec 12, 2025",MIN @ GSW,W,35,21,6,4,0,1,0
"Dec 08, 2025",MIN vs. PHX,L,27,2,4,4,1,0,3
"Dec 06, 2025",MIN vs. LAC,W,25,5,4,4,1,0,0
"Dec 04, 2025",MIN @ NOP,W,32,15,4,3,0,1,1
"Dec 02, 2025",MIN @ NOP,W,38,15,4,5,2,1,1
"Nov 30, 2025",MIN vs. SAS,W,29,18,5,4,0,0,0
"Nov 29, 2025",MIN vs. BOS,W,34,15,3,8,1,0,1
"Nov 26, 2025",MIN @ OKC,L,31,11,5,2,1,0,2
"Nov 24, 2025",MIN @ SAC,L,37,17,4,1,1,0,1
"Nov 21, 2025",MIN @ PHX,L,32,9,2,3,4,0,2
"Nov 19, 2025",MIN vs. WAS,W,36,12,5,6,1,0,2
"Nov 17, 2025",MIN vs. DAL,W,26,14,5,2,0,2,1
"Nov 15, 2025",MIN vs. DEN,L,34,11,5,1,0,0,2
"Nov 14, 2025",MIN vs. SAC,W,30,20,6,5,1,0,2
"Nov 10, 2025",MIN @ UTA,W,37,14,1,2,1,1,1
"Nov 09, 2025",MIN @ SAC,W,28,8,4,4,2,1,0
"Nov 07, 2025",MIN vs. UTA,W,21,3,6,2,1,1,1
"Nov 05, 2025",MIN @ NYK,L,36,21,3,4,1,0,2
"Nov 03, 2025",MIN @ BKN,W,30,25,9,5,0,1,0
"Nov 01, 2025",MIN @ CHA,W,31,18,3,4,1,0,0
"Oct 29, 2025",MIN vs. LAL,L,34,14,4,6,1,0,3
"Oct 27, 2025",MIN vs. DEN,L,30,12,3,4,1,0,1
"Oct 26, 2025",MIN vs. IND,W,38,17,2,3,1,0,1
"Oct 24, 2025",MIN @ LAL,L,28,13,0,4,2,0,0
"Oct 22, 2025",MIN @ POR,W,20,7,4,2,2,2,6
