GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 06, 2026",LAL vs. IND,W,23,4,2,1,0,0,1
"Feb 12, 2026",LAL vs. DAL,W,2,0,0,1,0,0,0
"Feb 10, 2026",LAL vs. SAS,L,20,14,2,0,0,0,1
"Feb 03, 2026",LAL @ BKN,W,6,2,2,0,0,0,0
"Feb 01, 2026",LAL @ NYK,L,1,0,0,0,0,0,0
"Jan 30, 2026",LAL @ WAS,W,17,4,1,3,0,0,1
"Jan 28, 2026",LAL @ CLE,L,12,6,2,0,0,0,1
"Jan 26, 2026",LAL @ CHI,W,0,0,0,0,0,0,0
"Jan 24, 2026",LAL @ DAL,W,8,0,3,1,2,0,0
"Jan 22, 2026",LAL @ LAC,L,10,0,1,1,0,0,0
"Jan 20, 2026",LAL @ DEN,W,11,9,3,0,0,0,0
"Jan 18, 2026",LAL vs. TOR,W,16,3,3,2,0,0,0
"Jan 17, 2026",LAL @ POR,L,29,21,2,4,2,0,2
"Jan 15, 2026",LAL vs. CHA,L,2,0,0,0,0,0,0
"Jan 13, 2026",LAL vs. ATL,W,4,2,1,0,0,0,0
"Jan 07, 2026",LAL @ SAS,L,1,0,0,0,0,0,0
"Dec 28, 2025",LAL vs. SAC,W,3,0,1,0,0,0,1
"Dec 05, 2025",LAL @ BOS,L,7,0,2,3,0,0,0
"Nov 25, 2025",LAL vs. LAC,W,1,2,0,0,1,0,0
