GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 07, 2026",ATL vs. PHI,W,35,15,9,4,2,0,2
"Mar 04, 2026",ATL @ MIL,W,34,14,10,3,0,3,0
"Mar 01, 2026",ATL vs. POR,W,26,12,6,7,2,0,0
"Feb 26, 2026",ATL vs. WAS,W,33,13,4,11,5,1,2
"Feb 24, 2026",ATL vs. WAS,W,24,6,8,7,3,0,0
"Feb 22, 2026",ATL vs. BKN,W,33,7,10,8,3,0,0
"Feb 20, 2026",ATL vs. MIA,L,29,4,7,3,2,0,2
"Feb 19, 2026",ATL @ PHI,W,37,15,7,2,1,0,2
"Feb 11, 2026",ATL @ CHA,L,25,21,3,4,0,0,2
"Feb 07, 2026",ATL vs. CHA,L,31,11,6,3,2,0,1
"Feb 05, 2026",ATL vs. UTA,W,35,11,6,6,0,0,1
"Feb 03, 2026",ATL @ MIA,W,22,2,1,5,1,0,1
"Jan 31, 2026",ATL @ IND,L,29,8,8,7,2,0,2
"Jan 29, 2026",ATL vs. HOU,L,31,4,6,7,3,0,1
"Jan 28, 2026",ATL @ BOS,W,35,15,6,9,5,1,1
"Jan 26, 2026",ATL vs. IND,W,35,22,5,9,1,1,1
"Jan 23, 2026",ATL vs. PHX,W,37,8,8,4,0,0,1
"Jan 21, 2026",ATL @ MEM,W,35,3,7,8,0,0,1
"Jan 19, 2026",ATL vs. MIL,L,30,17,9,10,3,1,2
"Jan 15, 2026",ATL @ POR,L,33,10,5,1,1,0,1
"Jan 13, 2026",ATL @ LAL,L,33,8,8,5,2,0,0
"Jan 11, 2026",ATL @ GSW,W,31,11,7,9,0,1,3
"Jan 09, 2026",ATL @ DEN,W,36,17,11,10,4,0,1
"Jan 07, 2026",ATL vs. NOP,W,35,13,8,8,3,1,2
"Jan 05, 2026",ATL @ TOR,L,39,11,6,3,0,0,2
"Jan 03, 2026",ATL @ TOR,L,34,20,5,12,2,2,1
"Jan 02, 2026",ATL @ NYK,W,38,11,6,8,2,0,2
"Dec 31, 2025",ATL vs. MIN,W,28,11,8,9,2,2,1
"Dec 29, 2025",ATL @ OKC,L,35,13,6,7,1,2,3
"Dec 27, 2025",ATL vs. NYK,L,39,13,8,9,2,0,3
"Dec 26, 2025",ATL vs. MIA,L,36,8,6,3,2,0,3
"Dec 21, 2025",ATL vs. CHI,L,39,8,9,9,2,0,1
"Dec 19, 2025",ATL vs. SAS,L,26,11,6,3,0,0,1
"Dec 18, 2025",ATL @ CHA,L,32,14,3,6,1,0,2
"Dec 14, 2025",ATL vs. PHI,W,39,27,10,4,1,2,3
"Dec 12, 2025",ATL @ DET,L,34,18,10,5,1,1,3
"Dec 06, 2025",ATL @ WAS,W,36,12,6,3,0,0,2
"Dec 05, 2025",ATL vs. DEN,L,34,15,3,8,2,0,3
"Dec 03, 2025",ATL vs. LAC,L,35,15,3,2,2,0,3
"Dec 01, 2025",ATL @ DET,L,37,10,5,5,4,0,1
"Nov 30, 2025",ATL @ PHI,W,44,17,9,8,2,0,4
"Nov 28, 2025",ATL vs. CLE,W,37,10,8,9,3,0,2
"Nov 25, 2025",ATL @ WAS,L,32,11,9,7,0,0,3
"Nov 23, 2025",ATL vs. CHA,W,36,22,9,6,2,0,2
"Nov 22, 2025",ATL @ NOP,W,31,14,8,4,1,1,1
"Nov 20, 2025",ATL @ SAS,L,31,8,6,5,3,0,5
"Nov 18, 2025",ATL vs. DET,L,38,12,9,6,3,1,3
"Nov 16, 2025",ATL @ PHX,W,37,11,7,12,3,0,4
"Nov 13, 2025",ATL @ UTA,W,27,2,2,3,1,0,0
"Nov 12, 2025",ATL @ SAC,W,27,5,6,7,2,0,2
"Nov 10, 2025",ATL @ LAC,W,39,6,3,8,3,1,4
"Nov 08, 2025",ATL vs. LAL,W,36,10,8,13,1,0,2
"Nov 07, 2025",ATL vs. TOR,L,35,7,8,8,2,1,2
"Nov 04, 2025",ATL vs. ORL,W,35,18,6,6,2,0,3
"Nov 02, 2025",ATL @ CLE,L,36,18,4,3,4,1,2
"Oct 31, 2025",ATL @ IND,W,38,18,9,6,3,0,1
"Oct 29, 2025",ATL @ BKN,W,35,7,4,6,3,1,1
"Oct 27, 2025",ATL @ CHI,L,34,2,7,2,3,0,1
"Oct 25, 2025",ATL vs. OKC,L,27,8,4,1,1,1,2
"Oct 24, 2025",ATL @ ORL,W,32,6,9,4,2,1,2
"Oct 22, 2025",ATL vs. TOR,L,23,4,3,2,2,0,3
