GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",CHI @ SAC,L,22,4,5,3,0,0,1
"Mar 05, 2026",CHI @ PHX,W,37,16,6,2,0,1,1
"Mar 03, 2026",CHI vs. OKC,L,29,18,12,2,1,1,1
"Mar 01, 2026",CHI vs. MIL,W,23,12,7,5,3,0,0
"Feb 26, 2026",CHI vs. POR,L,21,6,5,1,0,1,4
"Feb 24, 2026",CHI vs. CHA,L,27,11,4,1,2,0,1
"Feb 22, 2026",CHI vs. NYK,L,30,11,13,1,0,0,1
"Feb 21, 2026",CHI vs. DET,L,24,12,9,8,0,1,3
"Feb 19, 2026",CHI vs. TOR,L,17,8,5,1,0,0,0
"Feb 11, 2026",CHI @ BOS,L,25,13,2,2,0,0,0
"Feb 09, 2026",CHI @ BKN,L,22,3,2,1,1,0,1
"Feb 07, 2026",CHI vs. DEN,L,26,12,2,0,1,2,1
"Feb 05, 2026",CHI @ TOR,L,33,15,11,3,2,0,1
"Jan 30, 2026",NYK vs. POR,W,4,0,2,0,0,0,0
"Jan 28, 2026",NYK @ TOR,W,7,4,5,0,2,0,1
"Jan 27, 2026",NYK vs. SAC,W,3,0,0,0,0,0,0
"Jan 24, 2026",NYK @ PHI,W,3,0,1,1,0,0,0
"Jan 21, 2026",NYK vs. BKN,W,11,2,1,0,1,1,0
"Jan 19, 2026",NYK vs. DAL,L,3,0,0,0,0,0,0
"Jan 17, 2026",NYK vs. PHX,L,9,0,4,2,0,0,0
"Jan 15, 2026",NYK @ GSW,L,4,0,1,0,0,0,0
"Jan 14, 2026",NYK @ SAC,L,6,2,3,0,0,0,0
"Jan 07, 2026",NYK vs. LAC,W,13,8,2,0,0,0,0
"Jan 05, 2026",NYK @ DET,L,9,0,3,2,0,0,0
"Jan 03, 2026",NYK vs. PHI,L,4,0,1,0,0,0,0
"Jan 02, 2026",NYK vs. ATL,L,15,8,4,1,0,0,2
"Dec 31, 2025",NYK @ SAS,L,9,2,2,1,0,0,1
"Dec 29, 2025",NYK @ NOP,W,16,9,2,1,0,0,2
"Dec 19, 2025",NYK vs. PHI,L,4,3,0,1,0,0,0
"Dec 18, 2025",NYK @ IND,W,11,3,3,0,0,0,2
"Dec 13, 2025",NYK @ ORL,W,4,0,2,0,0,0,0
"Dec 09, 2025",NYK @ TOR,W,7,0,2,0,0,0,0
"Dec 07, 2025",NYK vs. ORL,W,11,8,2,0,0,0,1
"Dec 05, 2025",NYK vs. UTA,W,9,11,2,0,0,0,1
"Dec 03, 2025",NYK vs. CHA,W,9,0,1,0,0,1,0
"Dec 02, 2025",NYK @ BOS,L,8,1,2,0,1,0,0
"Nov 30, 2025",NYK vs. TOR,W,10,7,4,1,0,0,0
"Nov 28, 2025",NYK vs. MIL,W,6,3,1,1,0,0,1
"Nov 26, 2025",NYK @ CHA,W,12,0,4,0,0,0,1
"Nov 24, 2025",NYK @ BKN,W,12,3,0,2,0,1,0
"Nov 22, 2025",NYK @ ORL,L,14,4,1,0,0,0,1
"Nov 19, 2025",NYK @ DAL,W,17,4,2,1,0,1,0
"Nov 17, 2025",NYK @ MIA,L,10,0,3,0,0,0,0
"Nov 14, 2025",NYK vs. MIA,W,6,3,0,1,0,0,0
"Nov 12, 2025",NYK vs. ORL,L,5,6,0,1,1,0,0
"Nov 11, 2025",NYK vs. MEM,W,15,2,6,1,0,0,0
"Nov 09, 2025",NYK vs. BKN,W,10,5,2,0,0,0,0
"Nov 05, 2025",NYK vs. MIN,W,9,5,1,0,0,0,0
"Nov 03, 2025",NYK vs. WAS,W,14,1,3,0,0,0,1
"Nov 02, 2025",NYK vs. CHI,W,2,0,1,0,0,0,0
"Oct 31, 2025",NYK @ CHI,L,3,3,2,0,0,1,0
"Oct 26, 2025",NYK @ MIA,L,16,2,6,0,1,0,1
"Oct 24, 2025",NYK vs. BOS,W,13,3,5,1,0,0,0
"Oct 22, 2025",NYK vs. CLE,W,12,0,1,0,0,0,0
