GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 01, 2026",DEN vs. OKC,L,3,5,1,0,0,0,0
"Jan 30, 2026",DEN vs. LAC,W,2,0,1,1,0,0,0
"Jan 29, 2026",DEN vs. BKN,W,13,0,3,1,0,0,1
"Jan 23, 2026",DEN @ MIL,W,12,0,4,3,0,0,0
"Jan 18, 2026",DEN vs. CHA,L,21,1,2,2,0,0,0
"Jan 13, 2026",DEN @ NOP,W,3,0,0,0,0,0,0
"Jan 11, 2026",DEN vs. MIL,W,13,2,3,2,0,0,1
"Jan 09, 2026",DEN vs. ATL,L,27,10,4,4,1,0,2
"Jan 05, 2026",DEN @ PHI,W,19,14,3,1,0,1,1
"Dec 29, 2025",DEN @ MIA,L,6,2,1,0,0,0,0
"Dec 22, 2025",DEN vs. UTA,W,3,0,1,0,0,0,0
"Dec 20, 2025",DEN vs. HOU,L,5,2,1,0,0,0,0
"Dec 11, 2025",DEN @ SAC,W,7,8,0,0,0,0,0
"Dec 03, 2025",DEN @ IND,W,2,0,0,0,0,0,0
"Nov 29, 2025",DEN @ PHX,W,1,0,1,1,0,0,0
"Nov 22, 2025",DEN vs. SAC,L,8,2,1,2,0,0,0
"Nov 12, 2025",DEN @ LAC,W,3,0,1,0,1,0,0
"Nov 08, 2025",DEN vs. IND,W,3,0,3,0,0,0,0
"Nov 07, 2025",DEN vs. GSW,W,4,0,1,0,0,0,0
"Oct 29, 2025",DEN vs. NOP,W,6,0,4,0,0,0,0
"Oct 27, 2025",DEN @ MIN,W,1,0,1,0,0,0,0
