GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 05, 2026",UTA @ WAS,W,29,27,3,11,0,0,3
"Mar 04, 2026",UTA @ PHI,L,26,18,0,5,3,1,3
"Mar 02, 2026",UTA vs. DEN,L,20,10,2,6,0,0,2
"Feb 28, 2026",UTA vs. NOP,L,33,21,3,7,2,1,2
"Feb 26, 2026",UTA vs. NOP,L,27,11,1,7,1,0,4
"Feb 23, 2026",UTA @ HOU,L,30,17,1,3,2,0,0
"Feb 20, 2026",UTA @ MEM,L,25,24,2,5,4,2,4
"Feb 12, 2026",UTA vs. POR,L,36,15,2,9,3,0,4
"Feb 11, 2026",UTA vs. SAC,W,27,12,1,14,1,0,4
"Feb 09, 2026",UTA @ MIA,W,34,13,3,9,2,0,4
"Feb 07, 2026",UTA @ ORL,L,32,20,2,10,2,0,5
"Feb 05, 2026",UTA @ ATL,L,48,25,7,11,3,0,2
"Feb 03, 2026",UTA @ IND,W,48,17,5,22,3,0,2
"Feb 01, 2026",UTA @ TOR,L,30,19,4,7,2,1,3
"Jan 30, 2026",UTA vs. BKN,L,27,10,2,7,1,0,4
"Jan 28, 2026",UTA vs. GSW,L,30,12,3,6,4,0,3
"Jan 27, 2026",UTA vs. LAC,L,29,12,4,9,0,0,1
"Jan 24, 2026",UTA vs. MIA,L,28,16,6,9,0,1,2
"Jan 22, 2026",UTA vs. SAS,L,20,7,3,4,0,0,6
"Jan 20, 2026",UTA vs. MIN,W,26,18,4,10,1,1,1
"Jan 19, 2026",UTA @ SAS,L,23,10,1,2,2,0,1
"Jan 17, 2026",UTA @ DAL,L,22,9,1,4,1,0,2
"Jan 15, 2026",UTA @ DAL,L,29,10,5,12,1,0,1
"Jan 14, 2026",UTA @ CHI,L,22,8,0,4,1,0,4
"Jan 12, 2026",UTA @ CLE,W,19,7,3,8,0,0,1
"Jan 10, 2026",UTA vs. CHA,L,34,17,1,9,2,0,1
"Jan 08, 2026",UTA vs. DAL,W,18,7,1,6,0,1,4
"Jan 07, 2026",UTA @ OKC,L,18,6,1,5,0,0,2
"Jan 05, 2026",UTA @ POR,L,30,10,3,8,1,0,0
"Jan 03, 2026",UTA @ GSW,L,22,8,5,7,3,1,1
"Jan 01, 2026",UTA @ LAC,L,37,16,6,10,0,1,5
"Dec 30, 2025",UTA vs. BOS,L,24,7,6,8,0,1,2
"Dec 27, 2025",UTA @ SAS,W,15,7,1,4,0,0,4
"Dec 26, 2025",UTA vs. DET,W,29,9,1,9,2,1,5
"Dec 23, 2025",UTA vs. MEM,L,26,8,3,9,1,0,5
"Dec 22, 2025",UTA @ DEN,L,24,2,2,9,2,0,2
"Dec 20, 2025",UTA vs. ORL,L,28,18,5,9,1,0,3
"Dec 18, 2025",UTA vs. LAL,L,28,18,0,13,0,0,3
"Dec 15, 2025",UTA vs. DAL,W,31,10,3,8,2,1,0
"Dec 12, 2025",UTA @ MEM,W,24,5,2,8,0,0,2
"Dec 07, 2025",UTA vs. OKC,L,6,0,0,1,0,0,0
"Dec 05, 2025",UTA @ NYK,L,24,13,0,7,0,0,0
"Dec 04, 2025",UTA @ BKN,W,15,3,1,3,0,0,2
"Dec 01, 2025",UTA vs. HOU,W,12,3,0,4,1,0,1
"Nov 30, 2025",UTA vs. HOU,L,17,2,2,4,1,0,2
"Nov 28, 2025",UTA vs. SAC,W,24,9,1,7,0,2,1
"Nov 24, 2025",UTA @ GSW,L,21,2,3,3,2,0,2
"Nov 23, 2025",UTA vs. LAL,L,23,10,1,3,1,0,2
"Nov 21, 2025",UTA vs. OKC,L,14,5,1,2,0,1,5
"Nov 18, 2025",UTA @ LAL,L,21,9,2,6,0,0,4
"Nov 16, 2025",UTA vs. CHI,W,37,16,4,9,2,0,3
"Nov 13, 2025",UTA vs. ATL,L,25,10,5,7,0,1,1
"Nov 11, 2025",UTA vs. IND,W,27,14,6,11,0,1,2
"Nov 10, 2025",UTA vs. MIN,L,16,5,3,7,0,0,2
"Nov 07, 2025",UTA @ MIN,L,26,10,0,3,0,0,4
