GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",DET @ MIA,L,22,14,6,1,0,1,2
"Mar 07, 2026",DET vs. BKN,L,20,10,4,0,0,0,0
"Mar 05, 2026",DET @ SAS,L,30,18,5,2,1,1,1
"Mar 03, 2026",DET @ CLE,L,22,4,2,2,1,2,1
"Feb 09, 2026",DET @ CHA,W,11,2,0,0,0,0,0
"Feb 06, 2026",DET vs. NYK,W,21,15,3,0,1,0,2
"Feb 05, 2026",DET vs. WAS,L,29,4,2,0,0,0,2
"Feb 03, 2026",DET vs. DEN,W,23,11,6,3,1,1,0
"Feb 01, 2026",DET vs. BKN,W,21,9,1,1,0,1,1
"Jan 30, 2026",DET @ GSW,W,24,14,5,3,0,2,0
"Jan 29, 2026",DET @ PHX,L,24,11,2,0,1,0,2
"Jan 27, 2026",DET @ DEN,W,20,7,2,0,0,0,0
"Jan 25, 2026",DET vs. SAC,W,24,8,8,0,0,2,0
"Jan 23, 2026",DET vs. HOU,L,25,16,4,2,0,0,0
"Jan 21, 2026",DET @ NOP,W,24,8,6,3,0,2,2
"Jan 19, 2026",DET vs. BOS,W,21,8,5,0,0,1,1
"Jan 17, 2026",DET vs. IND,W,21,7,7,5,1,1,2
"Jan 15, 2026",DET vs. PHX,W,22,4,4,0,0,2,2
"Jan 07, 2026",DET vs. CHI,W,30,31,3,1,1,2,0
"Jan 05, 2026",DET vs. NYK,W,32,7,9,0,0,2,0
"Jan 04, 2026",DET @ CLE,W,31,8,3,2,2,3,4
"Jan 01, 2026",DET vs. MIA,L,30,6,4,2,0,5,2
"Dec 30, 2025",DET @ LAL,W,18,15,2,0,0,1,1
"Dec 28, 2025",DET @ LAC,L,24,8,4,0,0,2,1
"Dec 26, 2025",DET @ UTA,L,26,4,4,1,0,3,1
"Dec 23, 2025",DET @ SAC,W,21,16,3,3,0,1,1
"Dec 22, 2025",DET @ POR,W,21,3,4,0,0,3,0
"Dec 20, 2025",DET vs. CHA,W,24,8,11,0,1,3,5
"Dec 18, 2025",DET @ DAL,L,31,14,8,1,1,2,2
"Dec 15, 2025",DET @ BOS,W,22,7,7,0,0,1,0
"Dec 12, 2025",DET vs. ATL,W,21,17,5,5,0,0,0
"Dec 06, 2025",DET vs. MIL,W,26,19,2,0,0,1,1
"Dec 05, 2025",DET vs. POR,W,22,9,1,1,0,4,1
"Dec 03, 2025",DET @ MIL,L,18,5,4,0,1,2,0
"Dec 01, 2025",DET vs. ATL,W,25,6,10,0,0,5,2
"Nov 29, 2025",DET @ MIA,W,29,9,8,1,0,1,1
"Nov 28, 2025",DET vs. ORL,L,14,8,6,1,0,0,3
"Nov 26, 2025",DET @ BOS,L,20,6,9,1,0,1,1
"Nov 24, 2025",DET @ IND,W,20,9,5,0,1,1,2
"Nov 22, 2025",DET @ MIL,W,23,7,2,1,0,3,0
"Nov 18, 2025",DET @ ATL,W,26,13,9,3,0,0,2
"Nov 17, 2025",DET vs. IND,W,20,10,2,0,0,5,2
"Nov 14, 2025",DET vs. PHI,W,23,14,7,1,0,0,2
"Nov 07, 2025",DET @ BKN,W,9,4,3,1,0,0,1
"Nov 05, 2025",DET vs. UTA,W,31,10,6,1,0,3,1
"Nov 03, 2025",DET @ MEM,W,34,26,14,4,0,4,1
"Nov 01, 2025",DET vs. DAL,W,25,10,4,1,0,2,0
"Oct 29, 2025",DET vs. ORL,W,18,9,4,1,0,2,1
"Oct 27, 2025",DET vs. CLE,L,26,4,9,3,1,1,3
"Oct 26, 2025",DET vs. BOS,W,21,9,6,1,1,1,0
"Oct 24, 2025",DET @ HOU,W,17,4,4,0,0,2,1
"Oct 22, 2025",DET @ CHI,L,25,20,10,2,0,4,0
