GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 25, 2026",HOU vs. SAC,W,5,2,2,2,0,0,0
"Feb 07, 2026",HOU @ OKC,W,18,8,4,1,0,0,1
"Feb 05, 2026",HOU vs. CHA,L,8,4,1,3,0,0,1
"Feb 04, 2026",HOU vs. BOS,L,7,2,1,2,0,0,0
"Jan 29, 2026",HOU @ ATL,W,2,0,0,0,0,0,0
"Jan 18, 2026",HOU vs. NOP,W,4,0,0,0,1,0,0
"Jan 16, 2026",HOU vs. MIN,W,4,0,1,0,0,0,0
"Jan 15, 2026",HOU vs. OKC,L,21,5,1,1,0,1,0
"Jan 13, 2026",HOU vs. CHI,W,25,9,7,4,0,1,0
"Jan 01, 2026",HOU @ BKN,W,1,0,1,1,0,0,0
"Dec 29, 2025",HOU vs. IND,W,2,2,0,1,1,0,1
"Dec 27, 2025",HOU vs. CLE,W,5,3,1,1,0,0,1
"Dec 25, 2025",HOU @ LAL,W,3,0,0,1,0,1,1
"Dec 23, 2025",HOU @ LAC,L,5,0,0,1,0,0,1
"Dec 06, 2025",HOU @ DAL,L,9,0,1,2,0,0,0
"Dec 05, 2025",HOU vs. PHX,W,7,0,2,0,0,0,0
"Dec 03, 2025",HOU vs. SAC,W,2,0,0,0,0,0,0
"Nov 30, 2025",HOU @ UTA,W,5,0,0,0,0,0,1
"Nov 26, 2025",HOU @ GSW,W,10,4,0,2,1,0,0
"Nov 24, 2025",HOU @ PHX,W,18,5,1,4,1,0,0
"Nov 14, 2025",HOU vs. POR,W,3,0,0,0,0,0,0
"Nov 12, 2025",HOU vs. WAS,W,3,3,0,0,0,0,0
"Nov 05, 2025",HOU @ MEM,W,2,0,0,0,0,0,0
"Nov 01, 2025",HOU @ BOS,W,8,5,0,1,0,1,0
"Oct 27, 2025",HOU vs. BKN,W,7,3,0,1,1,0,0
