GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",LAL vs. NYK,W,13,6,4,3,0,0,1
"Mar 06, 2026",LAL vs. IND,W,16,8,2,0,0,0,1
"Mar 05, 2026",LAL @ DEN,L,10,2,0,1,0,0,0
"Mar 03, 2026",LAL vs. NOP,W,14,5,2,2,1,0,0
"Mar 01, 2026",LAL vs. SAC,W,22,4,7,1,1,0,0
"Feb 28, 2026",LAL @ GSW,W,27,15,5,3,1,0,1
"Feb 26, 2026",LAL @ PHX,L,28,11,5,1,1,1,0
"Feb 24, 2026",LAL vs. ORL,L,16,3,2,0,0,0,0
"Feb 22, 2026",LAL vs. BOS,L,24,4,3,2,1,1,1
"Feb 20, 2026",LAL vs. LAC,W,14,3,1,1,0,0,0
"Feb 12, 2026",LAL vs. DAL,W,26,11,3,2,0,0,2
"Feb 10, 2026",LAL vs. SAS,L,18,10,2,1,0,0,1
"Feb 09, 2026",LAL vs. OKC,L,24,14,4,1,1,1,1
"Feb 07, 2026",LAL vs. GSW,W,27,2,4,1,0,2,4
"Feb 05, 2026",LAL vs. PHI,W,23,14,0,2,3,0,1
"Feb 03, 2026",LAL @ BKN,W,22,18,5,0,1,0,1
"Feb 01, 2026",LAL @ NYK,L,23,5,2,2,1,1,2
"Jan 30, 2026",LAL @ WAS,W,25,3,6,1,3,1,0
"Jan 28, 2026",LAL @ CLE,L,27,6,0,3,2,1,2
"Jan 26, 2026",LAL @ CHI,W,33,8,5,3,3,0,0
"Jan 24, 2026",LAL @ DAL,W,30,13,6,1,0,1,4
"Jan 22, 2026",LAL @ LAC,L,22,7,5,1,3,4,1
"Jan 20, 2026",LAL @ DEN,W,27,7,1,2,0,0,3
"Jan 18, 2026",LAL vs. TOR,W,19,2,5,2,1,0,0
"Jan 17, 2026",LAL @ POR,L,28,2,5,4,1,0,0
"Jan 15, 2026",LAL vs. CHA,L,37,18,3,3,2,0,2
"Jan 13, 2026",LAL vs. ATL,W,36,17,4,3,1,0,2
"Jan 12, 2026",LAL @ SAC,L,31,2,2,3,1,0,0
"Jan 09, 2026",LAL vs. MIL,L,34,13,2,2,2,0,2
"Jan 07, 2026",LAL @ SAS,L,39,16,7,1,1,0,1
"Jan 06, 2026",LAL @ NOP,W,35,5,5,0,2,0,0
"Jan 04, 2026",LAL vs. MEM,W,35,26,5,4,1,0,0
"Jan 02, 2026",LAL vs. MEM,W,37,21,9,2,2,1,1
"Dec 30, 2025",LAL vs. DET,L,38,9,4,1,4,1,2
"Dec 28, 2025",LAL vs. SAC,W,25,11,2,4,2,1,2
"Dec 25, 2025",LAL vs. HOU,L,23,5,4,1,0,1,1
"Dec 23, 2025",LAL @ PHX,L,29,12,5,1,2,2,2
"Dec 20, 2025",LAL @ LAC,L,37,12,11,6,2,0,0
"Dec 18, 2025",LAL @ UTA,W,28,12,6,4,0,0,1
"Dec 14, 2025",LAL @ PHX,W,21,6,8,1,2,2,0
"Dec 10, 2025",LAL vs. SAS,L,9,0,0,1,1,0,1
"Dec 07, 2025",LAL @ PHI,W,17,4,2,0,0,0,1
"Dec 05, 2025",LAL @ BOS,L,21,6,1,1,3,0,1
"Dec 04, 2025",LAL @ TOR,W,28,14,7,0,2,1,2
"Dec 01, 2025",LAL vs. PHX,L,16,2,2,1,0,0,1
"Nov 30, 2025",LAL vs. NOP,W,26,10,5,2,0,1,1
"Nov 28, 2025",LAL vs. DAL,W,14,0,2,0,0,0,1
"Nov 25, 2025",LAL vs. LAC,W,17,4,1,0,1,0,0
"Nov 23, 2025",LAL @ UTA,W,13,5,1,2,0,1,0
"Nov 18, 2025",LAL vs. UTA,W,26,16,4,2,1,0,0
"Nov 15, 2025",LAL @ MIL,W,37,4,6,1,2,0,1
"Nov 14, 2025",LAL @ NOP,W,22,6,3,0,3,2,2
"Nov 12, 2025",LAL @ OKC,L,22,5,1,2,0,0,1
"Nov 10, 2025",LAL @ CHA,W,25,6,1,3,1,0,0
"Nov 08, 2025",LAL @ ATL,L,23,13,5,2,2,1,2
"Nov 05, 2025",LAL vs. SAS,W,38,8,6,1,0,0,2
"Nov 03, 2025",LAL @ POR,W,36,11,5,6,3,0,1
"Nov 02, 2025",LAL vs. MIA,W,35,25,8,3,4,0,1
"Oct 31, 2025",LAL @ MEM,W,23,13,5,2,3,0,1
"Oct 29, 2025",LAL @ MIN,W,37,27,8,2,1,1,3
"Oct 27, 2025",LAL vs. POR,L,29,3,6,5,0,0,1
"Oct 26, 2025",LAL @ SAC,W,33,11,6,5,1,0,2
"Oct 24, 2025",LAL vs. MIN,W,28,6,0,1,1,0,1
"Oct 21, 2025",LAL vs. GSW,L,16,5,3,0,0,0,0
