GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",NYK @ LAL,L,42,24,6,7,0,0,7
"Mar 06, 2026",NYK @ DEN,W,34,9,3,15,1,0,1
"Mar 04, 2026",NYK vs. OKC,L,39,16,3,15,1,0,3
"Mar 03, 2026",NYK @ TOR,W,37,26,2,10,1,0,1
"Mar 01, 2026",NYK vs. SAS,W,32,24,4,7,0,0,3
"Feb 27, 2026",NYK @ MIL,W,31,27,7,3,0,0,1
"Feb 24, 2026",NYK @ CLE,L,36,20,1,4,0,1,2
"Feb 22, 2026",NYK @ CHI,W,36,19,5,9,0,1,2
"Feb 21, 2026",NYK vs. HOU,W,36,20,3,6,0,0,3
"Feb 19, 2026",NYK vs. DET,L,38,33,6,8,2,0,6
"Feb 11, 2026",NYK @ PHI,W,30,8,4,4,0,0,2
"Feb 10, 2026",NYK vs. IND,L,42,40,5,8,1,0,1
"Feb 08, 2026",NYK @ BOS,W,33,31,3,8,0,0,3
"Feb 06, 2026",NYK @ DET,L,31,12,4,4,2,0,0
"Feb 04, 2026",NYK vs. DEN,W,47,42,8,9,2,0,5
"Feb 03, 2026",NYK @ WAS,W,31,21,1,4,2,0,0
"Feb 01, 2026",NYK vs. LAL,W,37,12,7,13,1,0,1
"Jan 30, 2026",NYK vs. POR,W,34,26,1,3,2,0,1
"Jan 28, 2026",NYK @ TOR,W,30,13,1,4,0,1,4
"Jan 27, 2026",NYK vs. SAC,W,35,28,3,4,0,1,2
"Jan 24, 2026",NYK @ PHI,W,38,31,5,6,0,0,2
"Jan 21, 2026",NYK vs. BKN,W,31,20,4,5,0,0,2
"Jan 19, 2026",NYK vs. DAL,L,34,22,0,6,0,0,2
"Jan 14, 2026",NYK @ SAC,L,5,4,0,0,0,0,1
"Jan 11, 2026",NYK @ POR,W,37,26,6,8,1,0,2
"Jan 09, 2026",NYK @ PHX,L,37,27,3,5,0,0,4
"Jan 07, 2026",NYK vs. LAC,W,33,26,3,7,0,1,2
"Jan 05, 2026",NYK @ DET,L,30,25,3,0,0,0,6
"Jan 03, 2026",NYK vs. PHI,L,35,31,4,4,0,0,4
"Jan 02, 2026",NYK vs. ATL,L,35,24,2,5,1,0,2
"Dec 31, 2025",NYK @ SAS,L,36,29,4,8,2,0,1
"Dec 29, 2025",NYK @ NOP,W,36,28,3,10,0,0,1
"Dec 27, 2025",NYK @ ATL,W,38,34,3,5,0,0,3
"Dec 25, 2025",NYK vs. CLE,W,39,34,1,4,2,0,3
"Dec 21, 2025",NYK vs. MIA,W,38,47,3,8,0,0,0
"Dec 19, 2025",NYK vs. PHI,L,37,22,6,9,0,0,0
"Dec 18, 2025",NYK @ IND,W,34,25,7,7,3,0,3
"Dec 13, 2025",NYK @ ORL,W,39,40,4,8,1,0,2
"Dec 09, 2025",NYK @ TOR,W,39,35,3,4,0,1,3
"Dec 07, 2025",NYK vs. ORL,W,38,30,2,9,0,0,2
"Dec 05, 2025",NYK vs. UTA,W,31,33,2,4,0,0,0
"Dec 03, 2025",NYK vs. CHA,W,37,26,2,5,3,0,2
"Dec 02, 2025",NYK @ BOS,L,39,15,2,11,1,0,3
"Nov 30, 2025",NYK vs. TOR,W,34,18,6,7,0,0,2
"Nov 28, 2025",NYK vs. MIL,W,39,37,1,5,1,0,3
"Nov 26, 2025",NYK @ CHA,W,34,33,2,3,0,0,3
"Nov 24, 2025",NYK @ BKN,W,33,27,3,3,1,0,0
"Nov 22, 2025",NYK @ ORL,L,37,33,3,11,0,0,2
"Nov 19, 2025",NYK @ DAL,W,35,28,3,5,1,1,1
"Nov 12, 2025",NYK vs. ORL,L,37,31,3,6,0,0,2
"Nov 11, 2025",NYK vs. MEM,W,36,32,5,10,0,0,6
"Nov 09, 2025",NYK vs. BKN,W,29,19,0,7,0,0,4
"Nov 05, 2025",NYK vs. MIN,W,33,23,7,10,1,0,4
"Nov 03, 2025",NYK vs. WAS,W,32,16,1,9,1,0,2
"Nov 02, 2025",NYK vs. CHI,W,32,31,5,3,2,0,2
"Oct 31, 2025",NYK @ CHI,L,35,29,2,7,0,0,2
"Oct 28, 2025",NYK @ MIL,L,35,36,4,3,2,0,2
"Oct 26, 2025",NYK @ MIA,L,35,37,5,7,3,0,3
"Oct 24, 2025",NYK vs. BOS,W,35,31,3,5,0,0,1
"Oct 22, 2025",NYK vs. CLE,W,34,23,4,5,0,0,2
