GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Mar 08, 2026",CHI @ SAC,L,20,4,3,0,0,1,0
"Feb 22, 2026",CHI vs. NYK,L,18,12,5,1,1,0,2
"Feb 21, 2026",CHI vs. DET,L,25,15,7,2,0,3,1
"Feb 19, 2026",CHI vs. TOR,L,24,9,10,2,3,1,2
"Feb 05, 2026",CHI @ TOR,L,24,13,9,1,1,0,0
"Feb 03, 2026",CHI @ MIL,L,20,16,5,1,0,0,2
"Jan 29, 2026",CHI vs. MIA,L,15,11,5,0,0,0,1
"Jan 28, 2026",CHI @ IND,L,28,13,11,3,1,0,2
"Jan 26, 2026",CHI vs. LAL,L,37,13,7,0,1,0,1
"Jan 24, 2026",CHI vs. BOS,W,27,14,9,0,0,0,0
"Jan 22, 2026",CHI @ MIN,W,27,17,4,0,1,0,1
"Jan 20, 2026",CHI vs. LAC,W,24,10,9,1,1,2,1
"Jan 18, 2026",CHI vs. BKN,W,31,12,10,3,2,0,1
"Jan 16, 2026",CHI @ BKN,L,35,14,13,4,1,4,1
"Jan 14, 2026",CHI vs. UTA,W,17,12,10,1,0,0,1
"Jan 13, 2026",CHI @ HOU,L,36,14,9,1,0,0,1
"Jan 10, 2026",CHI vs. DAL,W,16,7,9,0,0,2,1
"Jan 03, 2026",CHI vs. CHA,L,15,9,5,1,0,3,1
"Jan 02, 2026",CHI vs. ORL,W,27,11,10,1,2,1,1
"Dec 31, 2025",CHI vs. NOP,W,26,14,14,1,1,2,1
"Dec 29, 2025",CHI vs. MIN,L,26,12,6,1,1,2,1
"Dec 27, 2025",CHI vs. MIL,L,22,6,10,1,0,1,0
"Dec 26, 2025",CHI vs. PHI,W,22,12,8,3,0,1,0
"Dec 23, 2025",CHI @ ATL,W,12,5,4,3,0,0,0
"Dec 21, 2025",CHI @ ATL,W,13,3,5,3,0,0,1
"Dec 19, 2025",CHI @ CLE,W,15,4,4,0,0,0,1
"Dec 17, 2025",CHI vs. CLE,W,16,4,7,1,0,0,1
"Dec 14, 2025",CHI vs. NOP,L,12,6,0,1,1,2,2
"Dec 12, 2025",CHI @ CHA,W,17,5,10,1,1,1,0
"Nov 28, 2025",CHI @ CHA,L,17,6,5,0,0,0,2
"Nov 24, 2025",CHI @ NOP,L,26,13,6,1,0,0,2
"Nov 22, 2025",CHI vs. WAS,W,19,9,9,1,0,1,0
"Nov 21, 2025",CHI vs. MIA,L,24,14,2,2,0,5,1
"Nov 19, 2025",CHI @ POR,W,12,5,1,0,1,2,0
"Nov 17, 2025",CHI @ DEN,W,18,16,8,2,2,0,1
"Nov 16, 2025",CHI @ UTA,L,17,8,8,3,0,1,1
"Nov 12, 2025",CHI @ DET,L,14,9,4,0,0,0,0
"Nov 10, 2025",CHI vs. SAS,L,21,11,12,2,0,0,1
"Nov 08, 2025",CHI @ CLE,L,19,18,11,4,0,1,1
"Nov 07, 2025",CHI @ MIL,L,17,7,5,3,0,0,1
"Nov 04, 2025",CHI vs. PHI,W,17,14,4,0,0,0,4
"Nov 02, 2025",CHI @ NYK,L,16,12,5,0,0,0,0
"Oct 31, 2025",CHI vs. NYK,W,17,10,9,2,1,2,0
"Oct 29, 2025",CHI vs. SAC,W,15,10,5,0,0,0,0
"Oct 27, 2025",CHI vs. ATL,W,7,0,3,0,0,0,2
"Oct 25, 2025",CHI @ ORL,W,17,16,3,1,1,0,2
"Oct 22, 2025",CHI vs. DET,W,14,2,5,1,0,0,0
