GAME_DATE,MATCHUP,WL,MIN,PTS,REB,AST,STL,BLK,TOV
"Feb 11, 2026",OKC @ PHX,W,20,28,4,5,0,0,1
"Feb 09, 2026",OKC @ LAL,W,24,23,3,1,1,0,2
"Jan 17, 2026",OKC @ MIA,L,14,8,3,3,0,0,1
"Jan 15, 2026",OKC @ HOU,W,31,6,5,10,0,1,0
"Jan 13, 2026",OKC vs. SAS,W,30,20,0,3,2,0,3
"Jan 11, 2026",OKC vs. MIA,W,29,18,4,4,2,0,3
"Jan 09, 2026",OKC @ MEM,W,36,26,5,10,1,1,2
"Jan 07, 2026",OKC vs. UTA,W,41,17,6,8,0,0,2
"Jan 05, 2026",OKC vs. CHA,L,28,16,2,4,2,0,2
"Jan 04, 2026",OKC @ PHX,L,34,23,4,7,0,0,4
"Jan 02, 2026",OKC @ GSW,W,21,12,6,2,0,0,1
"Dec 31, 2025",OKC vs. POR,W,26,13,7,7,3,0,2
"Dec 29, 2025",OKC vs. ATL,W,33,20,8,7,1,1,3
"Dec 28, 2025",OKC vs. PHI,W,32,14,4,6,2,0,2
"Dec 25, 2025",OKC vs. SAS,L,29,12,2,6,2,0,1
"Dec 23, 2025",OKC @ SAS,L,32,17,6,8,2,0,3
"Dec 22, 2025",OKC vs. MEM,W,34,24,6,2,0,0,2
"Dec 19, 2025",OKC @ MIN,L,32,17,7,2,2,1,4
"Dec 18, 2025",OKC vs. LAC,W,29,20,1,5,2,0,1
"Dec 13, 2025",OKC vs. SAS,L,33,17,7,4,4,0,2
"Dec 10, 2025",OKC vs. PHX,W,23,15,5,5,1,0,3
"Dec 07, 2025",OKC @ UTA,W,25,25,3,8,2,0,0
"Dec 05, 2025",OKC vs. DAL,W,24,15,8,5,1,0,1
"Dec 02, 2025",OKC @ GSW,W,33,22,3,6,1,1,3
"Nov 30, 2025",OKC @ POR,W,34,16,8,5,0,3,1
"Nov 28, 2025",OKC vs. PHX,W,29,11,4,8,2,1,1
